REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMAGRGWTBC1,1,2049,0.6002657976230497
REGION1,DEMAGRSURBC1,1,2021,0.3734758968072901
REGION1,DEMAGRSURBC1,1,2022,0.3763142042576904
REGION1,DEMAGRSURBC1,1,2023,0.4229275410992551
REGION1,DEMAGRSURBC1,1,2024,0.42278655984750135
REGION1,DEMAGRSURBC1,1,2025,0.42229196518381706
REGION1,DEMAGRSURBC1,1,2026,0.4392597124855948
REGION1,DEMAGRSURBC1,1,2027,0.4446445290577605
REGION1,DEMAGRSURBC1,1,2028,0.4625250591645704
REGION1,DEMAGRSURBC1,1,2029,0.4714287299889145
REGION1,DEMAGRSURBC1,1,2030,0.4772836891442016
REGION1,DEMAGRSURBC1,1,2031,0.48577386452024096
REGION1,DEMAGRSURBC1,1,2032,0.4866743858425368
REGION1,DEMAGRSURBC1,1,2033,0.4959055451433168
REGION1,DEMAGRSURBC1,1,2034,0.4993173293327484
REGION1,DEMAGRSURBC1,1,2035,0.5063253262614245
REGION1,DEMAGRSURBC1,1,2036,0.5237997166903997
REGION1,DEMAGRSURBC1,1,2037,0.5311907147181202
REGION1,DEMAGRSURBC1,1,2038,0.5370271107200392
REGION1,DEMAGRSURBC1,1,2039,0.5364642264752507
REGION1,DEMAGRSURBC1,1,2040,0.5400687159574886
REGION1,DEMAGRSURBC1,1,2041,0.5471752162376852
REGION1,DEMAGRSURBC1,1,2042,0.5531392319280091
REGION1,DEMAGRSURBC1,1,2043,0.5612146317297309
REGION1,DEMAGRSURBC1,1,2044,0.5672157179748185
REGION1,DEMAGRSURBC1,1,2045,0.5738516634897177
REGION1,DEMAGRSURBC1,1,2046,0.5806595064122223
REGION1,DEMAGRSURBC1,1,2047,0.5867742290209571
REGION1,DEMAGRSURBC1,1,2048,0.5934101745358465
REGION1,DEMAGRSURBC1,1,2050,0.60719718689845
REGION1,DEMCOMBIO,1,2021,0.76
REGION1,DEMCOMBIO,1,2022,1.1999999999999995
REGION1,DEMCOMBIO,1,2023,1.6300000000000407
REGION1,DEMCOMBIO,1,2024,2.41
REGION1,DEMCOMBIO,1,2025,3.61
REGION1,DEMCOMBIO,1,2026,4.81
REGION1,DEMCOMBIO,1,2027,6.369999999999999
REGION1,DEMCOMBIO,1,2028,7.85
REGION1,DEMCOMBIO,1,2029,9.759999999999998
REGION1,DEMCOMBIO,1,2030,11.66
REGION1,DEMCOMBIO,1,2031,11.52
REGION1,DEMCOMBIO,1,2032,11.38
REGION1,DEMCOMBIO,1,2033,11.33
REGION1,DEMCOMBIO,1,2034,11.3
REGION1,DEMCOMBIO,1,2035,11.26
REGION1,DEMCOMBIO,1,2036,11.23
REGION1,DEMCOMBIO,1,2037,11.179999999999998
REGION1,DEMCOMBIO,1,2038,11.15
REGION1,DEMCOMBIO,1,2039,11.13
REGION1,DEMCOMBIO,1,2040,11.11
REGION1,DEMCOMBIO,1,2041,11.1
REGION1,DEMCOMBIO,1,2042,11.09
REGION1,DEMCOMBIO,1,2043,11.100000000000009
REGION1,DEMCOMBIO,1,2044,11.11999999999999
REGION1,DEMCOMBIO,1,2045,11.14
REGION1,DEMCOMBIO,1,2046,11.18
REGION1,DEMCOMBIO,1,2047,11.229999999999997
REGION1,DEMCOMBIO,1,2048,11.299999999999995
REGION1,DEMCOMBIO,1,2049,11.36
