REGION,TECHNOLOGY,VALUE
REGION1,DEMAGRGWTBC1,0.6002657976230497
REGION1,DEMAGRSURBC1,14.626122380925594
REGION1,DEMCOMBIO,274.7200000000001
REGION1,DEMCOMELCB02,2302.07
REGION1,DEMCOMRPP,229.76999999999987
REGION1,DEMCOMNGS,2011.4800000000027
REGION1,DEMINDBIO,7342.770000000001
REGION1,DEMINDDSL,3334.4299999999985
REGION1,DEMINDELCB02,4166.859999999996
REGION1,DEMINDNGS,6125.309000000002
REGION1,DEMPUBGWTBC1,23.96
REGION1,DEMPUBSURBC1,6.210000000000001
REGION1,DEMPWRBIO,341.19211110347817
REGION1,DEMPWRHYD,2656.4371791878007
REGION1,DEMPWRNGS,2.74751849664
REGION1,DEMPWRSOL,1165.8794388400495
REGION1,DEMPWRWND,1030.191901274893
REGION1,DEMRESBIO,480.3200000000002
REGION1,DEMRESELCB02,2763.7100000000028
REGION1,DEMRESRPP,19.140000000000004
REGION1,DEMRESNGS,1729.9399999999998
REGION1,DEMTRABIO,1505.9400000000005
REGION1,DEMTRADSL,1967.9137
REGION1,DEMTRAELCB02,589.0399999999994
REGION1,DEMTRAGSL,3014.8899999999994
REGION1,DEMTRAHFO,192.46999999999997
REGION1,DEMTRAJFL,2030.6604
REGION1,DEMTRALPG,52.17000000000003
REGION1,DEMTRANGS,19.34999999999994
REGION1,IMPDSL,5302.343700000003
REGION1,IMPGSL,3014.89
REGION1,IMPHFO,192.4700000000001
REGION1,IMPJFL,2030.6604
REGION1,IMPRPP,248.9099999999999
REGION1,IMPLPG,52.169999999999966
REGION1,LNDAGRBC1C01,8330.851900000005
REGION1,LNDAGRBC1C02,807.7733202622928
REGION1,LNDAGRBC1C03,919.7399274615155
REGION1,LNDAGRBC1C04,327.4629560607591
REGION1,LNDAGRBC1C05,16875.56579328585
REGION1,LNDAGRBC1C06,102.82322000000016
REGION1,LNDAGRBC1C07,392.7446999999997
REGION1,LNDALFHRBC1,364.85833333333306
REGION1,LNDBARBC1,4450.254729000001
REGION1,LNDBLTBC1,132.382593453551
REGION1,LNDBARHIBC1,1.3986366286183196
REGION1,LNDBARHRBC1,6.236280642929925
REGION1,LNDBARIIBC1,0.0018243386784
REGION1,LNDBARIRBC1,0.21000733727328
REGION1,LNDFORBC1,16349.613189084925
REGION1,LNDGRSBC1,4767.127199999995
REGION1,LNDMAIHIBC1,270.28041946964566
REGION1,LNDMAIHRBC1,8.04072909555965
REGION1,LNDOATHIBC1,5.289260838261581
REGION1,LNDOATHRBC1,0.5481103199144025
REGION1,LNDOTHHIBC1,92.87499999999977
REGION1,LNDPEAHIBC1,5.049067091226379
REGION1,LNDPEAHRBC1,0.13953797166187076
REGION1,LNDPTWHIBC1,0.004842105263157495
REGION1,LNDRAPHIBC1,7.490475752741394
REGION1,LNDRAPHRBC1,1.2272113471019528
REGION1,LNDRYEHIBC1,0.10474543319329536
REGION1,LNDRYEHRBC1,0.03640570361492334
REGION1,LNDWATBC1,1291.2743999999984
REGION1,LNDWHEHIBC1,0.0013115525961600002
REGION1,LNDWHEHRBC1,3.4024384474040588
REGION1,MINLNDBC1,27749.999999999964
REGION1,MINNGS,13383.575849409775
REGION1,MINPRCBC1,20075.915147241198
REGION1,PWRBIOB01,0.2978271675289103
REGION1,PWRBIOB02,113.43287653363042
REGION1,PWRHYDB01,11685.347087314258
REGION1,PWRHYDB02,2282.2667925219125
REGION1,PWRNGSB01,0.91583949888
REGION1,PWRSOLB01,0.020837954292582953
REGION1,PWRTRNB01,9856.679933489786
REGION1,PWRWNDB01,5.934358157637253
REGION1,PWRWNDB02,12.823249253610472
REGION1,PWRWNDB03,14.625521256347817
REGION1,PWRWNDB04,31.002437147789077
REGION1,PWRWNDB05,3.7465065679062928
REGION1,PWRWNDB06,1.8618146480881632
REGION1,PWRWNDB07,19.784948843367214
REGION1,PWRWNDB08,2.0222992463456975
REGION1,PWRWNDB11,10.308503051775403
REGION1,RNWBIO,9944.942111103472
REGION1,RNWHYD,2685.1327548024747
REGION1,RNWSOL,1423.104399334676
REGION1,RNWWND,1703.0685650147714
REGION1,BATTERY_STORAGE,2531.640790398076
REGION1,PWRNGSB02,1.25927931096
REGION1,INFLOW01,11685.345994684336
REGION1,PWRSOLB02,9.863634183603459
REGION1,PWRWNDB12,10.091709190172466
REGION1,PWRWNDB13,3.491930997113832
REGION1,PWRWNDB14,6.647829494073135
REGION1,HDG02,2446.3269779661696
REGION1,HDG01,1867.0909220338283
REGION1,PWRSOLB06,121.22605700951198
REGION1,PWRWNDB15,15.955532276875994
REGION1,PWRWNDB16,3.9672864300799344
REGION1,PWRWNDB17,2.6957319402408606
REGION1,PWRWNDB18,9.12010391371169
REGION1,PWRWNDB19,11.213170522604338
REGION1,PWRWNDB23,129.85829420984632
REGION1,PWRWNDB26,49.17549490317876
REGION1,DEMRESHDG,0.3000000000000002
REGION1,DEMTRAHDG,1682.9459999999992
REGION1,DEMINDHDG,2630.171899999999
