REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,ELCB02,2026,1.6554690579686904
REGION1,1,BATTERY_STORAGE,ELCB02,2027,2.80959268807157
REGION1,1,BATTERY_STORAGE,ELCB02,2028,3.268257638011474
REGION1,1,BATTERY_STORAGE,ELCB02,2029,1.1366362310060643
REGION1,1,BATTERY_STORAGE,ELCB02,2030,6.570023519134816
REGION1,1,BATTERY_STORAGE,ELCB02,2031,7.990941115719906
REGION1,1,BATTERY_STORAGE,ELCB02,2032,6.974979380618047
REGION1,1,BATTERY_STORAGE,ELCB02,2033,5.674593561702509
REGION1,1,BATTERY_STORAGE,ELCB02,2034,4.907853493210366
REGION1,1,BATTERY_STORAGE,ELCB02,2035,4.216707967367424
REGION1,1,BATTERY_STORAGE,ELCB02,2036,3.545719957179207
REGION1,1,BATTERY_STORAGE,ELCB02,2037,2.918527832266537
REGION1,1,BATTERY_STORAGE,ELCB02,2038,2.3272393710340253
REGION1,1,BATTERY_STORAGE,ELCB02,2039,1.7211161278566445
REGION1,1,BATTERY_STORAGE,ELCB02,2040,0.9732889821452763
REGION1,1,BATTERY_STORAGE,ELCB02,2041,0.28128177308416136
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2021,0.03376633421771987
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2022,0.03402294846994379
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2023,0.03823730748012532
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2024,0.038224561222319015
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2025,0.03817984441767637
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2026,0.03971391564211545
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2027,0.040200762364035726
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2028,0.04181735920666431
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2029,0.04262234910665374
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2030,0.04315170189583932
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2031,0.04391930725341431
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2032,0.04400072429852689
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2033,0.04483532276346609
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2034,0.045143785628684194
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2035,0.04577738573116291
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2036,0.047357263074037766
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2037,0.04802549069391894
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2038,0.04855316516960122
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2039,0.04850227423474332
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2040,0.04882815978072354
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2041,0.04947066567101198
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2042,0.05000987837202094
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2043,0.05073998344969171
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2044,0.051282547737114936
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2045,0.051882510294330095
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2046,0.052498014270324495
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2047,0.05305085253651652
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2048,0.05365081509372992
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2050,0.05489731284975436
REGION1,1,DEMCOMBIO,BIO,2021,0.06871236999454451
REGION1,1,DEMCOMBIO,BIO,2022,0.10849321578086085
REGION1,1,DEMCOMBIO,BIO,2023,0.1589070383943545
REGION1,1,DEMCOMBIO,BIO,2024,0.23494844327018194
REGION1,1,DEMCOMBIO,BIO,2025,0.35193522000222016
REGION1,1,DEMCOMBIO,BIO,2026,0.4348769732549505
REGION1,1,DEMCOMBIO,BIO,2027,0.6210048064859165
REGION1,1,DEMCOMBIO,BIO,2028,0.7652884977887667
REGION1,1,DEMCOMBIO,BIO,2029,0.9514924507539325
REGION1,1,DEMCOMBIO,BIO,2030,1.1367215139129963
REGION1,1,DEMCOMBIO,BIO,2043,0.8477393303168321
REGION1,1,DEMCOMBIO,BIO,2044,1.005370466235976
REGION1,1,DEMCOMBIO,BIO,2045,0.6639167255582779
REGION1,1,DEMCOMBIO,BIO,2046,1.0107951270250204
REGION1,1,DEMCOMBIO,BIO,2047,1.0747574682212302
REGION1,1,DEMCOMBIO,BIO,2048,1.0216444486031064
REGION1,1,DEMCOMBIO,BIO,2049,1.0270691093921493
REGION1,1,DEMCOMBIO,BIO,2050,1.035206100575714
REGION1,1,DEMCOMELCB02,ELCB02,2021,5.949910265495328
REGION1,1,DEMCOMELCB02,ELCB02,2022,6.400950040477247
REGION1,1,DEMCOMELCB02,ELCB02,2023,6.669105528588389
REGION1,1,DEMCOMELCB02,ELCB02,2024,6.8643316998492185
REGION1,1,DEMCOMELCB02,ELCB02,2025,7.052825934170021
REGION1,1,DEMCOMELCB02,ELCB02,2026,7.257028021350892
REGION1,1,DEMCOMELCB02,ELCB02,2027,7.469084034961793
REGION1,1,DEMCOMELCB02,ELCB02,2028,7.639626437442519
REGION1,1,DEMCOMELCB02,ELCB02,2029,7.7843630816531375
REGION1,1,DEMCOMELCB02,ELCB02,2030,7.920123809943714
REGION1,1,DEMCOMELCB02,ELCB02,2031,8.065982443644334
REGION1,1,DEMCOMELCB02,ELCB02,2032,8.21969500377499
REGION1,1,DEMCOMELCB02,ELCB02,2033,8.357699711045576
REGION1,1,DEMCOMELCB02,ELCB02,2034,8.499070386786178
REGION1,1,DEMCOMELCB02,ELCB02,2035,8.641563052016787
REGION1,1,DEMCOMELCB02,ELCB02,2036,8.793031633167432
REGION1,1,DEMCOMELCB02,ELCB02,2037,8.942256235338066
REGION1,1,DEMCOMELCB02,ELCB02,2038,9.083626911078667
REGION1,1,DEMCOMELCB02,ELCB02,2039,9.221631618349257
REGION1,1,DEMCOMELCB02,ELCB02,2040,9.34280648326977
REGION1,1,DEMCOMELCB02,ELCB02,2041,9.462859358700282
REGION1,1,DEMCOMELCB02,ELCB02,2042,9.577302286680766
REGION1,1,DEMCOMELCB02,ELCB02,2043,9.69062322517125
