REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2022,0.011937469875615708
REGION1,DEMAGRGWTBC1,2023,0.013411943630130532
REGION1,DEMAGRGWTBC1,2024,0.013432429016155545
REGION1,DEMAGRGWTBC1,2026,0.013761374531851405
REGION1,DEMAGRGWTBC1,2027,0.013937824809993034
REGION1,DEMAGRGWTBC1,2029,0.014870972071708883
REGION1,DEMAGRGWTBC1,2030,0.015169739260267046
REGION1,DEMAGRGWTBC1,2032,0.01543335356668736
REGION1,DEMAGRGWTBC1,2033,0.015645177881858853
REGION1,DEMAGRGWTBC1,2034,0.01583344804809075
REGION1,DEMAGRGWTBC1,2035,0.016055467560767984
REGION1,DEMAGRGWTBC1,2036,0.016609576735491727
REGION1,DEMAGRGWTBC1,2037,0.0167969323158664
REGION1,DEMAGRGWTBC1,2039,0.017037476430118263
REGION1,DEMAGRGWTBC1,2040,0.017125463214854347
REGION1,DEMAGRGWTBC1,2041,0.017350808815406366
REGION1,DEMAGRGWTBC1,2042,0.01753992647451214
REGION1,DEMAGRGWTBC1,2043,0.017795995671195303
REGION1,DEMAGRGWTBC1,2044,0.017986288829643905
REGION1,DEMAGRGWTBC1,2045,0.018196713239452066
REGION1,DEMAGRGWTBC1,2046,0.01841258847920976
REGION1,DEMAGRGWTBC1,2047,0.01860648502238924
REGION1,DEMAGRGWTBC1,2048,0.018816909432204747
REGION1,DEMAGRGWTBC1,2049,0.01903429977073906
REGION1,DEMAGRGWTBC1,2050,0.01925409263885785
REGION1,DEMAGRSURBC1,2021,0.011842839927666837
REGION1,DEMAGRSURBC1,2025,0.013390787866116428
REGION1,DEMAGRSURBC1,2028,0.01466657048259284
REGION1,DEMAGRSURBC1,2031,0.015472015625369746
REGION1,DEMAGRSURBC1,2038,0.017068209779555893
REGION1,DEMCOMBIO,2021,0.024099437087773616
REGION1,DEMCOMBIO,2022,0.03805174277016895
REGION1,DEMCOMBIO,2023,0.05168695059614616
REGION1,DEMCOMBIO,2024,0.076420583396756
REGION1,DEMCOMBIO,2025,0.11447232616692492
REGION1,DEMCOMBIO,2026,0.15252406893709397
REGION1,DEMCOMBIO,2027,0.20199133453831344
REGION1,DEMCOMBIO,2028,0.26158289786169464
REGION1,DEMCOMBIO,2029,0.3094875078640408
REGION1,DEMCOMBIO,2030,0.3697361005834751
REGION1,DEMCOMBIO,2031,0.3743564928289749
REGION1,DEMCOMBIO,2032,0.3792118952440871
REGION1,DEMCOMBIO,2033,0.38739800697764754
REGION1,DEMCOMBIO,2034,0.38637223996888015
REGION1,DEMCOMBIO,2035,0.3752131757863292
REGION1,DEMCOMBIO,2036,0.4026973998997997
REGION1,DEMCOMBIO,2037,0.3887897161068871
REGION1,DEMCOMBIO,2038,0.4009028595496372
REGION1,DEMCOMBIO,2039,0.39813598889614976
REGION1,DEMCOMBIO,2040,0.3997456801576942
REGION1,DEMCOMBIO,2041,0.46047377118639465
REGION1,DEMCOMBIO,2042,0.3971834652659734
REGION1,DEMCOMBIO,2043,0.38952197313758175
REGION1,DEMCOMBIO,2044,0.39560555826751986
REGION1,DEMCOMBIO,2045,0.3960121313920647
REGION1,DEMCOMBIO,2046,0.3627921096200659
REGION1,DEMCOMBIO,2047,0.36437759890215526
REGION1,DEMCOMBIO,2048,0.3665972838970831
REGION1,DEMCOMBIO,2049,0.364361517963262
REGION1,DEMCOMBIO,2050,0.3630770455986953
REGION1,DEMCOMELCB02,2021,2.8089795139279934
REGION1,DEMCOMELCB02,2022,3.021917429183331
REGION1,DEMCOMELCB02,2023,3.1485148464620014
REGION1,DEMCOMELCB02,2024,3.240682003811327
REGION1,DEMCOMELCB02,2025,3.32967098332102
REGION1,DEMCOMELCB02,2026,3.4260757111231874
REGION1,DEMCOMELCB02,2027,3.5261883130715925
REGION1,DEMCOMELCB02,2028,3.6067021516756
REGION1,DEMCOMELCB02,2029,3.6750329752276873
REGION1,DEMCOMELCB02,2030,3.73912622832693
REGION1,DEMCOMELCB02,2031,3.8079867481856207
REGION1,DEMCOMELCB02,2032,3.8805551421905498
REGION1,DEMCOMELCB02,2033,3.9457077879030034
REGION1,DEMCOMELCB02,2034,4.012449522535273
REGION1,DEMCOMELCB02,2035,4.0797209534741485
REGION1,DEMCOMELCB02,2036,4.151229954865865
REGION1,DEMCOMELCB02,2037,4.221679563644374
REGION1,DEMCOMELCB02,2038,4.288421298276643
REGION1,DEMCOMELCB02,2039,4.3535739439890975
REGION1,DEMCOMELCB02,2040,4.410781145102472
REGION1,DEMCOMELCB02,2041,4.46745864990924
REGION1,DEMCOMELCB02,2042,4.521487673182984
REGION1,DEMCOMELCB02,2043,4.57498700015012
REGION1,DEMCOMELCB02,2044,4.626367541890835
REGION1,DEMCOMELCB02,2045,4.680926261471183
REGION1,DEMCOMELCB02,2046,4.740781944117584
REGION1,DEMCOMELCB02,2047,4.8043455009102205
REGION1,DEMCOMELCB02,2048,4.874795109688728
REGION1,DEMCOMELCB02,2049,4.947363503693657
REGION1,DEMCOMELCB02,2050,5.026288253377849
REGION1,DEMCOMRPP,2021,0.19945455168696896
REGION1,DEMCOMRPP,2022,0.20325972596398584
REGION1,DEMCOMRPP,2023,0.20579650881533043
REGION1,DEMCOMRPP,2024,0.20801619381025688
REGION1,DEMCOMRPP,2025,0.20991878094876537
REGION1,DEMCOMRPP,2026,0.21245556380011
REGION1,DEMCOMRPP,2027,0.2159436402207088
REGION1,DEMCOMRPP,2028,0.21879752092847143
REGION1,DEMCOMRPP,2029,0.221017205923398
REGION1,DEMCOMRPP,2030,0.22355398877474256
REGION1,DEMCOMRPP,2031,0.22672496733892336
REGION1,DEMCOMRPP,2032,0.23053014161594015
REGION1,DEMCOMRPP,2033,0.23370112018012096
REGION1,DEMCOMRPP,2034,0.23687209874430168
REGION1,DEMCOMRPP,2035,0.24036017516490052
REGION1,DEMCOMRPP,2036,0.24384825158549936
REGION1,DEMCOMRPP,2037,0.24733632800609812
REGION1,DEMCOMRPP,2038,0.250824404426697
REGION1,DEMCOMRPP,2039,0.2539953829908777
REGION1,DEMCOMRPP,2040,0.2568492636986404
REGION1,DEMCOMRPP,2041,0.2597031444064031
REGION1,DEMCOMRPP,2042,0.26255702511416573
REGION1,DEMCOMRPP,2043,0.2654109058219284
REGION1,DEMCOMRPP,2044,0.26858188438610914
REGION1,DEMCOMRPP,2045,0.27175286295029
REGION1,DEMCOMRPP,2046,0.2752409393708888
REGION1,DEMCOMRPP,2047,0.27904611364790566
REGION1,DEMCOMRPP,2048,0.2834854836377586
REGION1,DEMCOMRPP,2049,0.2879248536276118
REGION1,DEMCOMRPP,2050,0.292998419330301
REGION1,DEMCOMNGS,2021,2.349695116057932
REGION1,DEMCOMNGS,2022,2.4781197479072503
REGION1,DEMCOMNGS,2023,2.523781839231456
REGION1,DEMCOMNGS,2024,2.463216148655605
REGION1,DEMCOMNGS,2025,2.4207250358955816
REGION1,DEMCOMNGS,2026,2.387112663115265
REGION1,DEMCOMNGS,2027,2.3183024282725437
REGION1,DEMCOMNGS,2028,2.238076670598772
REGION1,DEMCOMNGS,2029,2.174467059869704
REGION1,DEMCOMNGS,2030,2.0931629502157105
REGION1,DEMCOMNGS,2031,2.068429317415101
REGION1,DEMCOMNGS,2032,2.0719553137769946
REGION1,DEMCOMNGS,2033,2.034816944634785
REGION1,DEMCOMNGS,2034,2.02910918321926
REGION1,DEMCOMNGS,2035,2.0537848741383176
REGION1,DEMCOMNGS,2036,2.0161081711061186
REGION1,DEMCOMNGS,2037,2.0078636268392485
REGION1,DEMCOMNGS,2038,2.0018387675673046
