REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2023,-0.043500000000199525
REGION1,LNDAGRBC1C01,2036,-0.37040000000294526
REGION1,LNDAGRBC1C02,2023,-0.048600000000010544
REGION1,LNDAGRBC1C02,2036,-0.3481479487718673
REGION1,LNDAGRBC1C05,2021,-1094.7727207191017
REGION1,LNDAGRBC1C05,2022,-1094.9617795579445
REGION1,LNDAGRBC1C05,2023,-1643.0664871294175
REGION1,LNDAGRBC1C05,2024,-2189.9421996213455
REGION1,LNDAGRBC1C05,2025,-2189.6867178674675
REGION1,LNDAGRBC1C05,2026,-2735.833245639564
REGION1,LNDAGRBC1C05,2027,-3282.212831498314
REGION1,LNDAGRBC1C05,2028,-3826.6795990019255
REGION1,LNDAGRBC1C05,2029,-3824.9064554055262
REGION1,LNDAGRBC1C05,2030,-4369.877687020417
REGION1,LNDAGRBC1C05,2031,-4367.434021135615
REGION1,LNDAGRBC1C05,2032,-4367.0668553124415
REGION1,LNDAGRBC1C05,2033,-4365.183323454451
REGION1,LNDAGRBC1C05,2034,-4364.038541138852
REGION1,LNDAGRBC1C05,2035,-4362.25400723384
REGION1,LNDAGRBC1C05,2036,-4358.780437356892
REGION1,LNDAGRBC1C05,2037,-4357.173573646661
REGION1,LNDAGRBC1C05,2038,-4355.441354682332
REGION1,LNDAGRBC1C05,2039,-4354.416907998159
REGION1,LNDAGRBC1C05,2040,-4353.095114875229
REGION1,LNDAGRBC1C05,2041,-4351.07372490152
REGION1,LNDAGRBC1C05,2042,-4349.215219707336
REGION1,LNDAGRBC1C05,2043,-4347.282111073338
REGION1,LNDAGRBC1C05,2044,-4345.4980645829355
REGION1,LNDAGRBC1C05,2045,-4343.6924857213335
REGION1,LNDAGRBC1C05,2046,-4341.9275213831415
REGION1,LNDAGRBC1C05,2047,-4340.110391696526
REGION1,LNDAGRBC1C05,2048,-4338.2891496602315
REGION1,LNDAGRBC1C05,2049,-4336.520082493537
REGION1,LNDAGRBC1C05,2050,-4334.726294955382
REGION1,MINNGS,2021,1318.644000000002
REGION1,MINNGS,2022,1372.499999999999
REGION1,MINNGS,2023,1403.7840000000012
REGION1,MINNGS,2024,1364.7959999999996
REGION1,MINNGS,2025,1429.4159999999997
REGION1,MINNGS,2026,1502.208
REGION1,MINNGS,2027,1453.464000000003
REGION1,MINNGS,2028,1403.975404439194
REGION1,MINNGS,2029,1452.1635817198232
REGION1,MINNGS,2030,1518.2073274204654
REGION1,MINNGS,2031,1538.0058100180922
REGION1,MINNGS,2032,1556.5891371366472
REGION1,MINNGS,2033,1605.1680437889631
REGION1,MINNGS,2034,1650.2752854558605
REGION1,MINNGS,2035,1684.75501320529
REGION1,MINNGS,2036,1715.2962084850153
REGION1,MINNGS,2037,1740.063069571116
REGION1,MINNGS,2038,1766.5230299602572
REGION1,MINNGS,2039,1797.6838819925597
REGION1,MINNGS,2040,1834.6511291200009
REGION1,MINNGS,2041,1875.6720980774005
REGION1,MINNGS,2042,1904.122649969316
REGION1,MINNGS,2043,1930.7686532596847
REGION1,MINNGS,2044,1960.2155644593672
REGION1,MINNGS,2045,1992.208941020656
REGION1,MINNGS,2046,2032.4814264408683
REGION1,MINNGS,2047,2068.66921363075
REGION1,MINNGS,2048,2106.6037888103565
REGION1,MINNGS,2049,2146.208852562644
