REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,1,COMELCB02,2021,1.414458584
REGION1,1,COMELCB02,2022,1.52168324
REGION1,1,COMELCB02,2023,1.585431232
REGION1,1,COMELCB02,2024,1.631841904
REGION1,1,COMELCB02,2025,1.676652208
REGION1,1,COMELCB02,2026,1.725196704
REGION1,1,COMELCB02,2027,1.775608296
REGION1,1,COMELCB02,2028,1.816150952
REGION1,1,COMELCB02,2029,1.850558864
REGION1,1,COMELCB02,2030,1.882832952
REGION1,1,COMELCB02,2031,1.917507592
REGION1,1,COMELCB02,2032,1.954049328
REGION1,1,COMELCB02,2033,1.986856872
REGION1,1,COMELCB02,2034,2.0204646
REGION1,1,COMELCB02,2035,2.054339056
REGION1,1,COMELCB02,2036,2.090347336
REGION1,1,COMELCB02,2037,2.12582216
REGION1,1,COMELCB02,2038,2.159429888
REGION1,1,COMELCB02,2039,2.192237432
REGION1,1,COMELCB02,2040,2.221044056
REGION1,1,COMELCB02,2041,2.249583952
REGION1,1,COMELCB02,2042,2.276790208
REGION1,1,COMELCB02,2043,2.303729736
REGION1,1,COMELCB02,2044,2.329602352
REGION1,1,COMELCB02,2045,2.357075336
REGION1,1,COMELCB02,2046,2.3872156
REGION1,1,COMELCB02,2047,2.41922296
REGION1,1,COMELCB02,2048,2.454697784
REGION1,1,COMELCB02,2049,2.49123952
REGION1,1,COMELCB02,2050,2.530981992
REGION1,1,INDELCB02,2021,2.366410816
REGION1,1,INDELCB02,2022,2.497374264
REGION1,1,INDELCB02,2023,2.659011432
REGION1,1,INDELCB02,2024,2.744097664
REGION1,1,INDELCB02,2025,2.828917168
REGION1,1,INDELCB02,2026,2.918271048
REGION1,1,INDELCB02,2027,2.966282088
REGION1,1,INDELCB02,2028,3.074573656
REGION1,1,INDELCB02,2029,3.257549064
REGION1,1,INDELCB02,2030,3.397314536
REGION1,1,INDELCB02,2031,3.478399848
REGION1,1,INDELCB02,2032,3.673111288
REGION1,1,INDELCB02,2033,3.864621992
REGION1,1,INDELCB02,2034,3.915033584
REGION1,1,INDELCB02,2035,3.959043704
REGION1,1,INDELCB02,2036,3.99958636
REGION1,1,INDELCB02,2037,4.036394824
REGION1,1,INDELCB02,2038,4.071869648
REGION1,1,INDELCB02,2039,4.110011752
REGION1,1,INDELCB02,2040,4.1476204
REGION1,1,INDELCB02,2041,4.180694672
REGION1,1,INDELCB02,2042,4.213235488
REGION1,1,INDELCB02,2043,4.244442664
REGION1,1,INDELCB02,2044,4.275116384
REGION1,1,INDELCB02,2045,4.306590288
REGION1,1,INDELCB02,2046,4.338064192
REGION1,1,INDELCB02,2047,4.365270448
REGION1,1,INDELCB02,2048,4.390876336
REGION1,1,INDELCB02,2049,4.417815864
REGION1,1,INDELCB02,2050,4.444221936
REGION1,1,RESELCB02,2021,1.753203144
REGION1,1,RESELCB02,2022,1.877498392
REGION1,1,RESELCB02,2023,1.95511624
REGION1,1,RESELCB02,2024,2.002593824
REGION1,1,RESELCB02,2025,2.049537952
REGION1,1,RESELCB02,2026,2.094348256
REGION1,1,RESELCB02,2027,2.138358376
REGION1,1,RESELCB02,2028,2.180768128
REGION1,1,RESELCB02,2029,2.220777328
REGION1,1,RESELCB02,2030,2.260253072
REGION1,1,RESELCB02,2031,2.303463008
REGION1,1,RESELCB02,2032,2.3472064
REGION1,1,RESELCB02,2033,2.389616152
REGION1,1,RESELCB02,2034,2.43255936
REGION1,1,RESELCB02,2035,2.474435656
REGION1,1,RESELCB02,2036,2.514711584
REGION1,1,RESELCB02,2037,2.552853688
REGION1,1,RESELCB02,2038,2.588861968
REGION1,1,RESELCB02,2039,2.622202968
REGION1,1,RESELCB02,2040,2.654743784
REGION1,1,RESELCB02,2041,2.6872846
REGION1,1,RESELCB02,2042,2.719025232
REGION1,1,RESELCB02,2043,2.750499136
REGION1,1,RESELCB02,2044,2.781439584
REGION1,1,RESELCB02,2045,2.812913488
REGION1,1,RESELCB02,2046,2.844387392
REGION1,1,RESELCB02,2047,2.876394752
REGION1,1,RESELCB02,2048,2.909469024
REGION1,1,RESELCB02,2049,2.94334348
REGION1,1,RESELCB02,2050,2.97801812
REGION1,1,TRAELCB02,2021,0.017870776
REGION1,1,TRAELCB02,2022,0.028273168
REGION1,1,TRAELCB02,2023,0.046410672
REGION1,1,TRAELCB02,2024,0.075750752
REGION1,1,TRAELCB02,2025,0.115493224
REGION1,1,TRAELCB02,2026,0.159236616
REGION1,1,TRAELCB02,2027,0.20271328
REGION1,1,TRAELCB02,2028,0.245923216
REGION1,1,TRAELCB02,2029,0.28939988
REGION1,1,TRAELCB02,2030,0.331809632
REGION1,1,TRAELCB02,2031,0.37075192
REGION1,1,TRAELCB02,2032,0.41209476
REGION1,1,TRAELCB02,2033,0.454504512
REGION1,1,TRAELCB02,2034,0.497981176
REGION1,1,TRAELCB02,2035,0.542524752
REGION1,1,TRAELCB02,2036,0.58413432
REGION1,1,TRAELCB02,2037,0.62280988
REGION1,1,TRAELCB02,2038,0.658284704
REGION1,1,TRAELCB02,2039,0.691092248
REGION1,1,TRAELCB02,2040,0.722032696
REGION1,1,TRAELCB02,2041,0.751106048
REGION1,1,TRAELCB02,2042,0.77884576
REGION1,1,TRAELCB02,2043,0.804985104
REGION1,1,TRAELCB02,2044,0.830324264
REGION1,1,TRAELCB02,2045,0.854596512
REGION1,1,TRAELCB02,2046,0.878335304
REGION1,1,TRAELCB02,2047,0.901807368
REGION1,1,TRAELCB02,2048,0.924745976
REGION1,1,TRAELCB02,2049,0.947684584
REGION1,1,TRAELCB02,2050,0.969823008
REGION1,2,COMELCB02,2021,1.603632503
REGION1,2,COMELCB02,2022,1.725197705
REGION1,2,COMELCB02,2023,1.797471544
REGION1,2,COMELCB02,2024,1.850089318
REGION1,2,COMELCB02,2025,1.900892686
REGION1,2,COMELCB02,2026,1.955929668
REGION1,2,COMELCB02,2027,2.013083457
REGION1,2,COMELCB02,2028,2.059048409
REGION1,2,COMELCB02,2029,2.098058138
REGION1,2,COMELCB02,2030,2.134648659
REGION1,2,COMELCB02,2031,2.173960789
REGION1,2,COMELCB02,2032,2.215389726
REGION1,2,COMELCB02,2033,2.252585049
REGION1,2,COMELCB02,2034,2.290687575
REGION1,2,COMELCB02,2035,2.329092502
REGION1,2,COMELCB02,2036,2.369916637
REGION1,2,COMELCB02,2037,2.41013597
REGION1,2,COMELCB02,2038,2.448238496
REGION1,2,COMELCB02,2039,2.485433819
REGION1,2,COMELCB02,2040,2.518093127
REGION1,2,COMELCB02,2041,2.550450034
REGION1,2,COMELCB02,2042,2.581294936
REGION1,2,COMELCB02,2043,2.611837437
REGION1,2,COMELCB02,2044,2.641170334
REGION1,2,COMELCB02,2045,2.672317637
REGION1,2,COMELCB02,2046,2.70648895
REGION1,2,COMELCB02,2047,2.74277707
REGION1,2,COMELCB02,2048,2.782996403
REGION1,2,COMELCB02,2049,2.82442534
REGION1,2,COMELCB02,2050,2.869483089
REGION1,2,INDELCB02,2021,2.682901672
REGION1,2,INDELCB02,2022,2.831380563
REGION1,2,INDELCB02,2023,3.014635569
REGION1,2,INDELCB02,2024,3.111101488
REGION1,2,INDELCB02,2025,3.207265006
REGION1,2,INDELCB02,2026,3.308569341
REGION1,2,INDELCB02,2027,3.363001521
REGION1,2,INDELCB02,2028,3.485776327
REGION1,2,INDELCB02,2029,3.693223413
REGION1,2,INDELCB02,2030,3.851681537
REGION1,2,INDELCB02,2031,3.943611441
REGION1,2,INDELCB02,2032,4.164364171
REGION1,2,INDELCB02,2033,4.381488089
REGION1,2,INDELCB02,2034,4.438641878
REGION1,2,INDELCB02,2035,4.488538043
REGION1,2,INDELCB02,2036,4.534502995
REGION1,2,INDELCB02,2037,4.576234333
REGION1,2,INDELCB02,2038,4.616453666
REGION1,2,INDELCB02,2039,4.659697009
REGION1,2,INDELCB02,2040,4.70233555
REGION1,2,INDELCB02,2041,4.739833274
REGION1,2,INDELCB02,2042,4.776726196
REGION1,2,INDELCB02,2043,4.812107113
REGION1,2,INDELCB02,2044,4.846883228
REGION1,2,INDELCB02,2045,4.882566546
REGION1,2,INDELCB02,2046,4.918249864
REGION1,2,INDELCB02,2047,4.949094766
REGION1,2,INDELCB02,2048,4.978125262
REGION1,2,INDELCB02,2049,5.008667763
REGION1,2,INDELCB02,2050,5.038605462
REGION1,2,RESELCB02,2021,1.987681773
REGION1,2,RESELCB02,2022,2.128600639
REGION1,2,RESELCB02,2023,2.21659933
REGION1,2,RESELCB02,2024,2.270426708
REGION1,2,RESELCB02,2025,2.323649284
REGION1,2,RESELCB02,2026,2.374452652
REGION1,2,RESELCB02,2027,2.424348817
REGION1,2,RESELCB02,2028,2.472430576
REGION1,2,RESELCB02,2029,2.517790726
REGION1,2,RESELCB02,2030,2.562546074
REGION1,2,RESELCB02,2031,2.611535036
REGION1,2,RESELCB02,2032,2.6611288
