REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2041,1.7443818040918296e-07
REGION1,LNDAGRBC1C01,2042,3.838931230987543e-07
REGION1,LNDAGRBC1C01,2043,4.4582481882406947e-07
REGION1,LNDAGRBC1C01,2044,4.97973507673716e-07
REGION1,LNDAGRBC1C01,2045,5.576873462844825e-07
REGION1,LNDAGRBC1C01,2046,6.113138005027443e-07
REGION1,LNDAGRBC1C01,2047,6.693445384529854e-07
REGION1,LNDAGRBC1C01,2048,7.142154147267997e-07
REGION1,LNDAGRBC1C01,2049,7.702293998391525e-07
REGION1,LNDAGRBC1C01,2050,8.18639547747545e-07
REGION1,LNDAGRBC1C02,2042,4.5977709865814486e-08
REGION1,LNDAGRBC1C02,2043,1.5951530214389882e-07
REGION1,LNDAGRBC1C02,2044,3.289366289221524e-07
REGION1,LNDAGRBC1C02,2045,3.717915641967221e-07
REGION1,LNDAGRBC1C02,2046,4.0390376104257044e-07
REGION1,LNDAGRBC1C02,2047,4.403582489799111e-07
REGION1,LNDAGRBC1C02,2048,4.761436098156042e-07
REGION1,LNDAGRBC1C02,2049,9.1900038576357e-07
REGION1,LNDAGRBC1C02,2050,1.091129156921862e-07
REGION1,LNDAGRBC1C03,2037,1.7926460309450504e-06
REGION1,LNDAGRBC1C03,2038,2.5212209467507965e-06
REGION1,LNDAGRBC1C03,2039,1.9753530552971614e-06
REGION1,LNDAGRBC1C03,2040,3.501639767428567e-06
REGION1,LNDAGRBC1C03,2041,1.0447386624422068e-05
REGION1,LNDAGRBC1C03,2042,1.1337155357931757e-05
REGION1,LNDAGRBC1C03,2043,2.292915296154788e-05
REGION1,LNDAGRBC1C03,2044,2.0067335904927066e-05
REGION1,LNDAGRBC1C03,2045,1.7346754165945815e-05
REGION1,LNDAGRBC1C03,2046,2.66692030811844e-05
REGION1,LNDAGRBC1C03,2047,1.236384389867582e-05
REGION1,LNDAGRBC1C03,2048,2.66010103909096e-05
REGION1,LNDAGRBC1C03,2049,2.124797380379313e-05
REGION1,LNDAGRBC1C03,2050,2.662797130517036e-05
REGION1,LNDAGRBC1C04,2046,3.1664798738242984e-07
REGION1,LNDAGRBC1C04,2047,6.458587651720319e-07
REGION1,LNDAGRBC1C04,2048,6.891552247340392e-07
REGION1,LNDAGRBC1C04,2049,9.302239102734782e-07
REGION1,LNDAGRBC1C04,2050,1.4623561151964296e-06
REGION1,LNDAGRBC1C06,2037,7.405163886703737e-09
REGION1,LNDAGRBC1C06,2038,1.4457700919465016e-08
REGION1,LNDAGRBC1C06,2039,2.11744028565073e-08
REGION1,LNDAGRBC1C06,2040,3.007774019361295e-08
REGION1,LNDAGRBC1C06,2041,3.366350849906928e-08
REGION1,LNDAGRBC1C06,2042,3.946564817037871e-08
REGION1,LNDAGRBC1C06,2043,1.0610045218719874e-07
REGION1,LNDAGRBC1C06,2044,4.138859486471007e-08
REGION1,LNDAGRBC1C06,2046,7.095606612928615e-08
REGION1,LNDAGRBC1C06,2047,6.458587651717191e-08
REGION1,LNDAGRBC1C06,2048,8.144561746857887e-08
