REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMCOMBIO,2021,5.191788388086192
REGION1,DEMCOMBIO,2022,7.807200583588251
REGION1,DEMCOMBIO,2023,10.099791231149895
REGION1,DEMCOMBIO,2024,14.22173348937843
REGION1,DEMCOMBIO,2025,20.288661488502783
REGION1,DEMCOMBIO,2026,25.745537992269718
REGION1,DEMCOMBIO,2027,32.47184971997982
REGION1,DEMCOMBIO,2028,38.11079020734725
REGION1,DEMCOMBIO,2029,45.127244455409034
REGION1,DEMCOMBIO,2030,51.34501076796139
REGION1,DEMCOMBIO,2031,48.3128746260652
REGION1,DEMCOMBIO,2032,45.45308475897993
REGION1,DEMCOMBIO,2033,43.098455964452434
REGION1,DEMCOMBIO,2034,40.9374650021697
REGION1,DEMCOMBIO,2035,38.85005106822016
REGION1,DEMCOMBIO,2036,36.901469465965675
REGION1,DEMCOMBIO,2037,34.98778176054754
REGION1,DEMCOMBIO,2038,33.23228270126117
REGION1,DEMCOMBIO,2039,31.59302211958456
REGION1,DEMCOMBIO,2040,30.034524943189588
REGION1,DEMCOMBIO,2041,28.578563016536258
REGION1,DEMCOMBIO,2042,27.193158631779312
REGION1,DEMCOMBIO,2043,25.92159910796944
REGION1,DEMCOMBIO,2044,24.73171875423596
REGION1,DEMCOMBIO,2045,23.596381202654015
REGION1,DEMCOMBIO,2046,22.55343608153132
REGION1,DEMCOMBIO,2047,21.57552493360565
REGION1,DEMCOMBIO,2048,20.676201649471587
REGION1,DEMCOMBIO,2049,19.796177896164913
REGION1,DEMCOMBIO,2050,19.002870297710317
REGION1,DEMCOMRPP,2021,43.88964193075083
REGION1,DEMCOMRPP,2022,42.59710875556261
REGION1,DEMCOMRPP,2023,41.074992322056474
REGION1,DEMCOMRPP,2024,39.54097140401945
REGION1,DEMCOMRPP,2025,38.00250155264353
REGION1,DEMCOMRPP,2026,36.63023455656906
REGION1,DEMCOMRPP,2027,35.45869187352318
REGION1,DEMCOMRPP,2028,34.21648471118243
REGION1,DEMCOMRPP,2029,32.917722351544704
REGION1,DEMCOMRPP,2030,31.710042027517943
REGION1,DEMCOMRPP,2031,30.628409388281415
REGION1,DEMCOMRPP,2032,29.659478688352447
REGION1,DEMCOMRPP,2033,28.635666199404945
REGION1,DEMCOMRPP,2034,27.642104608070653
REGION1,DEMCOMRPP,2035,26.713476500181734
REGION1,DEMCOMRPP,2036,25.810608655157395
REGION1,DEMCOMRPP,2037,24.933153447300487
REGION1,DEMCOMRPP,2038,24.080737944828662
REGION1,DEMCOMRPP,2039,23.22397338367075
REGION1,DEMCOMRPP,2040,22.36658752841489
REGION1,DEMCOMRPP,2041,21.538195397732853
REGION1,DEMCOMRPP,2042,20.737979870135224
REGION1,DEMCOMRPP,2043,19.96513589981961
REGION1,DEMCOMRPP,2044,19.24158856135543
REGION1,DEMCOMRPP,2045,18.541678076214776
REGION1,DEMCOMRPP,2046,17.885399311167884
REGION1,DEMCOMRPP,2047,17.269202758204667
REGION1,DEMCOMRPP,2048,16.708514356964237
REGION1,DEMCOMRPP,2049,16.16206566115217
REGION1,DEMCOMRPP,2050,15.663675971160696
REGION1,DEMCOMNGS,2021,363.740402889596
REGION1,DEMCOMNGS,2022,365.3532868815872
REGION1,DEMCOMNGS,2023,354.36697563178944
REGION1,DEMCOMNGS,2024,329.39321962052503
REGION1,DEMCOMNGS,2025,308.29628740413443
REGION1,DEMCOMNGS,2026,289.53858697036134
REGION1,DEMCOMNGS,2027,267.80231381766
REGION1,DEMCOMNGS,2028,246.22372431952408
REGION1,DEMCOMNGS,2029,226.75746784881088
REGION1,DEMCOMNGS,2030,208.87159187441128
REGION1,DEMCOMNGS,2031,196.5747460769701
REGION1,DEMCOMNGS,2032,184.97539672310796
REGION1,DEMCOMNGS,2033,175.40169504188296
REGION1,DEMCOMNGS,2034,166.58065207343742
REGION1,DEMCOMNGS,2035,158.17717950401922
REGION1,DEMCOMNGS,2036,150.12546757524314
REGION1,DEMCOMNGS,2037,142.39195624356856
REGION1,DEMCOMNGS,2038,135.2044670706086
REGION1,DEMCOMNGS,2039,128.6029832439769
REGION1,DEMCOMNGS,2040,122.26534897286214
REGION1,DEMCOMNGS,2041,116.31368483852854
REGION1,DEMCOMNGS,2042,110.70445921523256
REGION1,DEMCOMNGS,2043,105.49994089662457
REGION1,DEMCOMNGS,2044,100.6359498929832
REGION1,DEMCOMNGS,2045,96.05684941047011
REGION1,DEMCOMNGS,2046,91.78712459229865
REGION1,DEMCOMNGS,2047,87.81666810029363
REGION1,DEMCOMNGS,2048,84.10825279606809
REGION1,DEMCOMNGS,2049,80.59145507127509
REGION1,DEMCOMNGS,2050,77.30234865962369
REGION1,DEMINDBIO,2021,1269.460573892182
REGION1,DEMINDBIO,2022,1273.289355178385
REGION1,DEMINDBIO,2023,1212.0369096473814
REGION1,DEMINDBIO,2024,1179.5187094842186
REGION1,DEMINDBIO,2025,1147.6863054202636
REGION1,DEMINDBIO,2026,1121.3493158795227
REGION1,DEMINDBIO,2027,1107.0504872351687
REGION1,DEMINDBIO,2028,1089.9685999301305
REGION1,DEMINDBIO,2029,1084.4409748536502
REGION1,DEMINDBIO,2030,1082.1203212794885
REGION1,DEMINDBIO,2031,1042.1238034575474
REGION1,DEMINDBIO,2032,998.2104519300768
REGION1,DEMINDBIO,2033,960.1864302336346
REGION1,DEMINDBIO,2034,924.3172407658035
REGION1,DEMINDBIO,2035,888.3412654116022
REGION1,DEMINDBIO,2036,851.6254533832881
REGION1,DEMINDBIO,2037,814.5768975360397
REGION1,DEMINDBIO,2038,777.8440483744519
REGION1,DEMINDBIO,2039,742.4785980071656
REGION1,DEMINDBIO,2040,708.8796697212574
REGION1,DEMINDBIO,2041,676.5138034437001
REGION1,DEMINDBIO,2042,645.5739228651803
REGION1,DEMINDBIO,2043,616.1167110500519
REGION1,DEMINDBIO,2044,588.4013951097721
REGION1,DEMINDBIO,2045,562.2462680819107
REGION1,DEMINDBIO,2046,537.5302842830807
REGION1,DEMINDBIO,2047,513.7779944563517
REGION1,DEMINDBIO,2048,491.105532983909
REGION1,DEMINDBIO,2049,469.7061434975616
REGION1,DEMINDBIO,2050,449.28096229634576
REGION1,DEMINDDSL,2021,656.5877160599337
REGION1,DEMINDDSL,2022,621.2994389564204
REGION1,DEMINDDSL,2023,608.2720979853482
REGION1,DEMINDDSL,2024,591.9579487516115
REGION1,DEMINDDSL,2025,575.3699005805925
REGION1,DEMINDDSL,2026,557.3114510996909
REGION1,DEMINDDSL,2027,528.8412489161145
REGION1,DEMINDDSL,2028,501.5766994397621
REGION1,DEMINDDSL,2029,487.60463213928944
REGION1,DEMINDDSL,2030,473.91369449961775
REGION1,DEMINDDSL,2031,454.73366899964674
REGION1,DEMINDDSL,2032,433.00003059847097
REGION1,DEMINDDSL,2033,415.52921749240033
REGION1,DEMINDDSL,2034,398.74043186899775
REGION1,DEMINDDSL,2035,381.81704008508575
REGION1,DEMINDDSL,2036,365.1425048449916
REGION1,DEMINDDSL,2037,348.9405778190855
REGION1,DEMINDDSL,2038,333.3645451786196
REGION1,DEMINDDSL,2039,318.96186991835214
REGION1,DEMINDDSL,2040,305.8219062175375
REGION1,DEMINDDSL,2041,293.646537246632
REGION1,DEMINDDSL,2042,282.13285650079416
REGION1,DEMINDDSL,2043,271.3758565907136
REGION1,DEMINDDSL,2044,261.3584111665368
REGION1,DEMINDDSL,2045,252.1231875947996
REGION1,DEMINDDSL,2046,243.35589810967
REGION1,DEMINDDSL,2047,234.85188066712684
REGION1,DEMINDDSL,2048,226.6606779491617
REGION1,DEMINDDSL,2049,218.80392794745873
REGION1,DEMINDDSL,2050,211.1649210844055
REGION1,DEMINDNGS,2021,1071.929713616749
REGION1,DEMINDNGS,2022,1071.375723028195
REGION1,DEMINDNGS,2023,1054.6858799806291
REGION1,DEMINDNGS,2024,976.0521536077805
REGION1,DEMINDNGS,2025,1017.8139024687453
REGION1,DEMINDNGS,2026,1060.8850749738942
REGION1,DEMINDNGS,2027,978.9747830790286
