REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,CCS01,CO2CCS,2021,56.3888887222222
REGION1,CCS01,CO2CCS,2022,58.06519838696017
REGION1,CCS01,CO2CCS,2023,59.05475518904894
REGION1,CCS01,CO2CCS,2024,58.61358488479341
REGION1,CCS01,CO2CCS,2025,59.771252045749584
REGION1,CCS01,CO2CCS,2026,60.94976881004612
REGION1,CCS01,CO2CCS,2027,60.40580305730333
REGION1,CCS01,CO2CCS,2028,59.823704667252116
REGION1,CCS01,CO2CCS,2029,61.258616015084186
REGION1,CCS01,CO2CCS,2030,62.91014257609617
REGION1,CCS01,CO2CCS,2031,62.95842893726388
REGION1,CCS01,CO2CCS,2032,62.82130671608811
REGION1,CCS01,CO2CCS,2033,63.24481946194462
REGION1,CCS01,CO2CCS,2034,63.66593080258595
REGION1,CCS01,CO2CCS,2035,63.89446278635028
REGION1,CCS01,CO2CCS,2036,64.01742677142794
REGION1,CCS01,CO2CCS,2037,64.03083715971812
REGION1,CCS01,CO2CCS,2038,64.03910439606534
REGION1,CCS01,CO2CCS,2039,64.13071524045297
REGION1,CCS01,CO2CCS,2040,64.34206920667798
REGION1,CCS01,CO2CCS,2041,64.62762638295047
REGION1,CCS01,CO2CCS,2042,64.77944525049087
REGION1,CCS01,CO2CCS,2043,64.94655803031846
REGION1,CCS01,CO2CCS,2044,65.20144928580292
REGION1,CCS01,CO2CCS,2045,65.54361639178767
REGION1,CCS01,CO2CCS,2046,66.02918574318613
REGION1,CCS01,CO2CCS,2047,66.48519123652632
REGION1,CCS01,CO2CCS,2048,66.98656467488793
REGION1,CCS01,CO2CCS,2049,67.53898237516749
REGION1,CCS01,CO2CCS,2050,68.105732712377
REGION1,DEMAGRGWTBC1,AGRWATBC1,2022,0.37646004999741634
REGION1,DEMAGRGWTBC1,AGRWATBC1,2023,0.4229590543197958
REGION1,DEMAGRGWTBC1,AGRWATBC1,2024,0.42360508145348064
REGION1,DEMAGRGWTBC1,AGRWATBC1,2026,0.43397870723646514
REGION1,DEMAGRGWTBC1,AGRWATBC1,2027,0.4395432432079397
REGION1,DEMAGRGWTBC1,AGRWATBC1,2029,0.46897097525341064
REGION1,DEMAGRGWTBC1,AGRWATBC1,2030,0.4783928973117808
REGION1,DEMAGRGWTBC1,AGRWATBC1,2032,0.4867062380790519
REGION1,DEMAGRGWTBC1,AGRWATBC1,2033,0.4933863296823
REGION1,DEMAGRGWTBC1,AGRWATBC1,2034,0.49932361764458916
REGION1,DEMAGRGWTBC1,AGRWATBC1,2035,0.5063252249963784
REGION1,DEMAGRGWTBC1,AGRWATBC1,2036,0.5237996119304663
REGION1,DEMAGRGWTBC1,AGRWATBC1,2037,0.5297080575131619
REGION1,DEMAGRGWTBC1,AGRWATBC1,2039,0.5372938567002087
REGION1,DEMAGRGWTBC1,AGRWATBC1,2040,0.5400686079437672
REGION1,DEMAGRGWTBC1,AGRWATBC1,2041,0.5471751068026544
REGION1,DEMAGRGWTBC1,AGRWATBC1,2042,0.5531391213001868
REGION1,DEMAGRGWTBC1,AGRWATBC1,2043,0.5612145194868171
REGION1,DEMAGRGWTBC1,AGRWATBC1,2044,0.5672156045316493
REGION1,DEMAGRGWTBC1,AGRWATBC1,2045,0.5738515487193678
REGION1,DEMAGRGWTBC1,AGRWATBC1,2046,0.5806593902803581
