REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2021,0.37347579995890146
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2025,0.4222918861458477
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2028,0.4625249667390479
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2031,0.4879254847616603
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2038,0.5382630636080745
REGION1,1,DEMCOMBIO,BIO,2021,0.7599998480000288
REGION1,1,DEMCOMBIO,BIO,2022,1.199999760000048
REGION1,1,DEMCOMBIO,BIO,2023,1.6299996740000653
REGION1,1,DEMCOMBIO,BIO,2024,2.4099995180000966
REGION1,1,DEMCOMBIO,BIO,2025,3.609999278000145
REGION1,1,DEMCOMBIO,BIO,2026,4.809999038000195
REGION1,1,DEMCOMBIO,BIO,2027,6.369998726000273
REGION1,1,DEMCOMBIO,BIO,2028,8.249278266966403
REGION1,1,DEMCOMBIO,BIO,2029,9.75999804800039
REGION1,1,DEMCOMBIO,BIO,2030,11.65999766800047
REGION1,1,DEMCOMBIO,BIO,2031,11.805706357854554
REGION1,1,DEMCOMBIO,BIO,2032,11.958826328417445
REGION1,1,DEMCOMBIO,BIO,2033,12.216983548047091
REGION1,1,DEMCOMBIO,BIO,2034,12.184634959658606
REGION1,1,DEMCOMBIO,BIO,2035,11.83272271159768
REGION1,1,DEMCOMBIO,BIO,2036,12.699465203240084
REGION1,1,DEMCOMBIO,BIO,2037,12.260872487146791
REGION1,1,DEMCOMBIO,BIO,2038,12.64287257875736
REGION1,1,DEMCOMBIO,BIO,2039,12.55561654582898
REGION1,1,DEMCOMBIO,BIO,2040,12.606379769453044
REGION1,1,DEMCOMBIO,BIO,2041,14.521500848134142
REGION1,1,DEMCOMBIO,BIO,2042,12.52557776062774
REGION1,1,DEMCOMBIO,BIO,2043,12.2839649448667
REGION1,1,DEMCOMBIO,BIO,2044,12.475816885524504
REGION1,1,DEMCOMBIO,BIO,2045,12.488638575580152
REGION1,1,DEMCOMBIO,BIO,2046,11.4410119689784
REGION1,1,DEMCOMBIO,BIO,2047,11.491011958978426
REGION1,1,DEMCOMBIO,BIO,2048,11.561011944978413
REGION1,1,DEMCOMBIO,BIO,2049,11.490504830489431
REGION1,1,DEMCOMBIO,BIO,2050,11.449997710000394
REGION1,1,DEMCOMELCB02,ELCB02,2021,46.934286226233525
REGION1,1,DEMCOMELCB02,ELCB02,2022,50.492193649002886
REGION1,1,DEMCOMELCB02,ELCB02,2023,52.60746696751501
REGION1,1,DEMCOMELCB02,ELCB02,2024,54.14745674751966
REGION1,1,DEMCOMELCB02,ELCB02,2025,55.63434343166208
REGION1,1,DEMCOMELCB02,ELCB02,2026,57.24513733948303
REGION1,1,DEMCOMELCB02,ELCB02,2027,58.91788485914324
REGION1,1,DEMCOMELCB02,ELCB02,2028,60.26316328765305
REGION1,1,DEMCOMELCB02,ELCB02,2029,61.404879848690975
REGION1,1,DEMCOMELCB02,ELCB02,2030,62.4757922819126
REGION1,1,DEMCOMELCB02,ELCB02,2031,63.626359358927566
REGION1,1,DEMCOMELCB02,ELCB02,2032,64.8388800477818
REGION1,1,DEMCOMELCB02,ELCB02,2033,65.9274935129575
REGION1,1,DEMCOMELCB02,ELCB02,2034,67.0426585260643
REGION1,1,DEMCOMELCB02,ELCB02,2035,68.16667405514815
REGION1,1,DEMCOMELCB02,ELCB02,2036,69.3614937120483
REGION1,1,DEMCOMELCB02,ELCB02,2037,70.53861233699439
REGION1,1,DEMCOMELCB02,ELCB02,2038,71.65377735010121
REGION1,1,DEMCOMELCB02,ELCB02,2039,72.7423908152769
REGION1,1,DEMCOMELCB02,ELCB02,2040,73.69824654079703
REGION1,1,DEMCOMELCB02,ELCB02,2041,74.6452517503401
REGION1,1,DEMCOMELCB02,ELCB02,2042,75.548004379998
REGION1,1,DEMCOMELCB02,ELCB02,2043,76.44190649367886
REGION1,1,DEMCOMELCB02,ELCB02,2044,77.30040654345157
REGION1,1,DEMCOMELCB02,ELCB02,2045,78.2120096890865
REGION1,1,DEMCOMELCB02,ELCB02,2046,79.21211799449182
REGION1,1,DEMCOMELCB02,ELCB02,2047,80.2741799117364
REGION1,1,DEMCOMELCB02,ELCB02,2048,81.45129853668249
REGION1,1,DEMCOMELCB02,ELCB02,2049,82.6638192255367
REGION1,1,DEMCOMELCB02,ELCB02,2050,83.9825461061154
REGION1,1,DEMCOMNGS,NGS,2021,74.09998518000296
REGION1,1,DEMCOMNGS,NGS,2022,78.14998437000304
REGION1,1,DEMCOMNGS,NGS,2023,79.5899840820032
REGION1,1,DEMCOMNGS,NGS,2024,77.67998446400316
REGION1,1,DEMCOMNGS,NGS,2025,76.33998473200306
REGION1,1,DEMCOMNGS,NGS,2026,75.27998494400302
REGION1,1,DEMCOMNGS,NGS,2027,73.10998537800293
REGION1,1,DEMCOMNGS,NGS,2028,70.57998588400287
REGION1,1,DEMCOMNGS,NGS,2029,68.57399320005099
REGION1,1,DEMCOMNGS,NGS,2030,66.00998679800264
REGION1,1,DEMCOMNGS,NGS,2031,65.22998695400263
REGION1,1,DEMCOMNGS,NGS,2032,65.3411827752713
REGION1,1,DEMCOMNGS,NGS,2033,64.16998716600257
REGION1,1,DEMCOMNGS,NGS,2034,63.98998720200257
