REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,1,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,2,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,3,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,4,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,5,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,6,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,7,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,8,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,9,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,10,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,11,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,12,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,13,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,14,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,15,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,16,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,17,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,18,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,19,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,20,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,21,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,22,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,23,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,24,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,25,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,26,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,27,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,28,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,29,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,30,0.37347579995890146
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,1,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,2,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,3,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,4,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,5,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,6,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,7,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,8,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,9,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,10,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,11,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,12,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,13,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,14,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,15,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,16,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,17,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,18,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,19,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,20,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,21,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,22,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,23,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,24,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,25,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,26,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,27,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,28,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,29,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2025,30,0.4222918861458477
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,1,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,2,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,3,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,4,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,5,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,6,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,7,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,8,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,9,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,10,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,11,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,12,0.4625249667390479
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,13,0.4625249667390479
