REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2022,0.3764601252894268
REGION1,DEMAGRGWTBC1,2023,0.42295913891160736
REGION1,DEMAGRGWTBC1,2024,0.4236051661744975
REGION1,DEMAGRGWTBC1,2026,0.4339787940322073
REGION1,DEMAGRGWTBC1,2027,0.4395433311165888
REGION1,DEMAGRGWTBC1,2029,0.4689710690476064
REGION1,DEMAGRGWTBC1,2030,0.47839299299036103
REGION1,DEMAGRGWTBC1,2032,0.4867063354203002
REGION1,DEMAGRGWTBC1,2033,0.4933864283595668
REGION1,DEMAGRGWTBC1,2034,0.4993237175093136
REGION1,DEMAGRGWTBC1,2035,0.5063253262614241
REGION1,DEMAGRGWTBC1,2036,0.5237997166903894
REGION1,DEMAGRGWTBC1,2037,0.5297081634547744
REGION1,DEMAGRGWTBC1,2039,0.5372939641589809
REGION1,DEMAGRGWTBC1,2040,0.5400687159574894
REGION1,DEMAGRGWTBC1,2041,0.5471752162376766
REGION1,DEMAGRGWTBC1,2042,0.5531392319280121
REGION1,DEMAGRGWTBC1,2043,0.5612146317297217
REGION1,DEMAGRGWTBC1,2044,0.5672157179747711
REGION1,DEMAGRGWTBC1,2045,0.5738516634896782
REGION1,DEMAGRGWTBC1,2046,0.5806595064122368
REGION1,DEMAGRGWTBC1,2047,0.5867742290209474
REGION1,DEMAGRGWTBC1,2048,0.5934101745358601
REGION1,DEMAGRGWTBC1,2049,0.6002657976230659
REGION1,DEMAGRGWTBC1,2050,0.6071971868984344
REGION1,DEMAGRSURBC1,2021,0.3734758746540613
REGION1,DEMAGRSURBC1,2025,0.42229197060422496
REGION1,DEMAGRSURBC1,2028,0.4625250592440412
REGION1,DEMAGRSURBC1,2031,0.48792558234675737
REGION1,DEMAGRSURBC1,2038,0.5382631712606873
REGION1,DEMCOMBIO,2021,0.7599999999999993
REGION1,DEMCOMBIO,2022,1.1999999999999962
REGION1,DEMCOMBIO,2023,1.6300000000000003
REGION1,DEMCOMBIO,2024,2.4099999999999935
REGION1,DEMCOMBIO,2025,3.6100000000000008
REGION1,DEMCOMBIO,2026,4.809999999999998
REGION1,DEMCOMBIO,2027,6.369999999999999
REGION1,DEMCOMBIO,2028,7.850000000000015
REGION1,DEMCOMBIO,2029,9.76
REGION1,DEMCOMBIO,2030,11.660000000000002
REGION1,DEMCOMBIO,2031,11.519999999999994
REGION1,DEMCOMBIO,2032,11.379999999999992
REGION1,DEMCOMBIO,2033,11.329999999999998
REGION1,DEMCOMBIO,2034,11.299999999999992
REGION1,DEMCOMBIO,2035,11.260000000000003
REGION1,DEMCOMBIO,2036,11.229999999999997
REGION1,DEMCOMBIO,2037,11.179999999999993
REGION1,DEMCOMBIO,2038,11.15
REGION1,DEMCOMBIO,2039,11.129999999999976
REGION1,DEMCOMBIO,2040,11.110000000000012
REGION1,DEMCOMBIO,2041,11.099999999999998
REGION1,DEMCOMBIO,2042,11.090000000000003
REGION1,DEMCOMBIO,2043,11.1
REGION1,DEMCOMBIO,2044,11.119999999999996
REGION1,DEMCOMBIO,2045,11.14
REGION1,DEMCOMBIO,2046,11.179999999999987
REGION1,DEMCOMBIO,2047,11.229999999999986
REGION1,DEMCOMBIO,2048,11.299999999999995
REGION1,DEMCOMBIO,2049,11.359999999999983
REGION1,DEMCOMBIO,2050,11.45
REGION1,DEMCOMELCB02,2021,53.02999469699999
REGION1,DEMCOMELCB02,2022,57.049994295000005
REGION1,DEMCOMELCB02,2023,59.439994056
REGION1,DEMCOMELCB02,2024,61.179993882
REGION1,DEMCOMELCB02,2025,62.859993714
REGION1,DEMCOMELCB02,2026,64.67999353200001
