REGION,TECHNOLOGY,VALUE
REGION1,DEMAGRGWTBC1,12.931426341224954
REGION1,DEMAGRSURBC1,2.284481658109771
REGION1,DEMCOMBIO,274.7199999999999
REGION1,DEMCOMELCB02,2302.0697697930013
REGION1,DEMCOMRPP,229.76999999999964
REGION1,DEMCOMNGS,2011.479999999996
REGION1,DEMINDBIO,7342.77000000001
REGION1,DEMINDDSL,3334.430000000008
REGION1,DEMINDELCB02,4166.859583313993
REGION1,DEMINDNGS,8755.479999999996
REGION1,DEMPUBGWTBC1,29.250000000000064
REGION1,DEMPUBSURBC1,0.9200000000000006
REGION1,DEMPWRBIO,171.44691200038608
REGION1,DEMPWRGEO,815.3499779848622
REGION1,DEMPWRHYD,1470.214145867284
REGION1,DEMPWRNGS,819.4252666542162
REGION1,DEMPWRSOL,102.30285576332528
REGION1,DEMPWRWND,370.9424909292888
REGION1,DEMRESBIO,480.31999999999954
REGION1,DEMRESELCB02,2763.709723628997
REGION1,DEMRESRPP,19.140000000000015
REGION1,DEMRESNGS,1729.9399999999998
REGION1,DEMTRABIO,1505.9399999999982
REGION1,DEMTRADSL,2741.5700000000074
REGION1,DEMTRAELCB02,589.0399410960006
REGION1,DEMTRAGSL,3014.890000000005
REGION1,DEMTRAHFO,192.47000000000008
REGION1,DEMTRAJFL,2939.949999999992
REGION1,DEMTRALPG,52.17
REGION1,DEMTRANGS,19.350000000000005
REGION1,IMPDSL,6076.00000000001
REGION1,IMPGSL,3014.8899999999912
REGION1,IMPHFO,192.47000000000048
REGION1,IMPJFL,2939.949999999996
REGION1,IMPRPP,248.90999999999988
REGION1,IMPLPG,52.1700000000001
REGION1,LNDAGRBC1C01,8330.85189999994
REGION1,LNDAGRBC1C02,807.775018493596
REGION1,LNDAGRBC1C03,919.7399282570589
REGION1,LNDAGRBC1C04,327.4651276531606
REGION1,LNDAGRBC1C05,16875.574505351957
REGION1,LNDAGRBC1C06,102.82321999999972
REGION1,LNDAGRBC1C07,392.7446999999996
REGION1,LNDALFHRBC1,364.8583333333329
REGION1,LNDBARBC1,4450.254728999991
REGION1,LNDBLTBC1,131.73900283919812
REGION1,LNDBARHIBC1,0.77645549313007
REGION1,LNDBARHRBC1,6.197944262724144
REGION1,LNDFORBC1,16350.25677890374
REGION1,LNDGRSBC1,4767.127200000001
REGION1,LNDMAIHIBC1,270.2804138834508
REGION1,LNDMAIHRBC1,8.040735528146785
REGION1,LNDOATHIBC1,5.289261058761278
REGION1,LNDOATHRBC1,0.5481100832805654
REGION1,LNDOTHHIBC1,92.87499999999974
REGION1,LNDPEAHIBC1,5.049067165146754
REGION1,LNDPEAHRBC1,0.13953788636912
REGION1,LNDPTWHIBC1,0.0048421052631578
REGION1,LNDRAPHIBC1,7.490476151608775
REGION1,LNDRAPHRBC1,1.2272109254422063
REGION1,LNDRYEHIBC1,0.10474545968476633
REGION1,LNDRYEHRBC1,0.03640567657280333
REGION1,LNDWATBC1,1291.274399999995
REGION1,LNDWHEHIBC1,0.007507010708928
REGION1,LNDWHEHRBC1,3.3962429892910437
REGION1,MINLNDBC1,27749.999999999767
REGION1,MINNGS,13335.675266654243
REGION1,MINPRCBC1,20075.923513564056
REGION1,PWRBIOB01,0.110663939448
REGION1,PWRBIOB02,57.03830672734741
REGION1,PWRHYDB01,9470.633776535233
REGION1,PWRHYDB02,989.1515893179416
REGION1,PWRNGSB01,273.14175555140525
REGION1,PWRSOLB01,0.014292232103061703
REGION1,PWRTRNB01,9821.679017832003
REGION1,PWRWNDB01,2.9174500850321823
REGION1,PWRWNDB02,6.307611136896913
REGION1,PWRWNDB03,8.88642515134628
REGION1,PWRWNDB04,18.44296780853541
REGION1,PWRWNDB05,2.3587002999787368
REGION1,PWRWNDB06,0.8878065608060601
REGION1,PWRWNDB07,12.002985837747202
REGION1,PWRWNDB08,0.9927712021335011
REGION1,PWRWNDB11,1.973525829189638
REGION1,RNWBIO,9775.196912000396
REGION1,RNWGEO,815.3499779848622
REGION1,RNWHYD,1470.2141458672832
REGION1,RNWSOL,144.45511760482228
REGION1,RNWWND,370.94249092928857
REGION1,PWRNGSB02,0.41975977032000006
REGION1,INFLOW01,9470.633776535233
REGION1,PWRSOLB02,4.897958018782433
REGION1,PWRWNDB12,1.2967638372179695
REGION1,PWRWNDB13,1.385213500156425
REGION1,PWRWNDB14,2.0054888612780664
REGION1,HDG01,4.519999999999997
REGION1,CCS01,1894.6315469127048
REGION1,PWRWNDB15,4.704104386920943
REGION1,PWRWNDB16,1.2552242091560404
REGION1,PWRWNDB17,1.7294391185371667
REGION1,PWRWNDB18,2.787625254934452
REGION1,PWRWNDB19,2.1810442565053374
REGION1,PWRGEOB01,39.85810476456477
REGION1,DEMRESHDG,0.30000000000000004
REGION1,DEMTRAHDG,0.6600000000000004
REGION1,DEMINDHDG,3.559999999999995
