REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2021,0.011255435067254542
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2025,0.012726604787957027
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2028,0.01393910858665621
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2031,0.014704603650351377
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2038,0.016221626574489886
REGION1,1,DEMCOMBIO,BIO,2021,0.022904105008220002
REGION1,1,DEMCOMBIO,BIO,2022,0.0361643763287685
REGION1,1,DEMCOMBIO,BIO,2023,0.04912327784657721
REGION1,1,DEMCOMBIO,BIO,2024,0.07263012246027674
REGION1,1,DEMCOMBIO,BIO,2025,0.10879449878904524
REGION1,1,DEMCOMBIO,BIO,2026,0.1449588751178138
REGION1,1,DEMCOMBIO,BIO,2027,0.19197256434521331
REGION1,1,DEMCOMBIO,BIO,2028,0.2486083861277541
REGION1,1,DEMCOMBIO,BIO,2029,0.2941369274739838
REGION1,1,DEMCOMBIO,BIO,2030,0.351397189994534
REGION1,1,DEMCOMBIO,BIO,2031,0.35578841078465706
REGION1,1,DEMCOMBIO,BIO,2032,0.36040298523997705
REGION1,1,DEMCOMBIO,BIO,2033,0.3681830658315554
REGION1,1,DEMCOMBIO,BIO,2034,0.367208176866423
REGION1,1,DEMCOMBIO,BIO,2035,0.35660260226732665
REGION1,1,DEMCOMBIO,BIO,2036,0.38272360886476886
REGION1,1,DEMCOMBIO,BIO,2037,0.36950574618798476
REGION1,1,DEMCOMBIO,BIO,2038,0.38101807771597446
REGION1,1,DEMCOMBIO,BIO,2039,0.3783884438469
REGION1,1,DEMCOMBIO,BIO,2040,0.3799182944218718
REGION1,1,DEMCOMBIO,BIO,2041,0.4376342721355486
REGION1,1,DEMCOMBIO,BIO,2042,0.37748316538878046
REGION1,1,DEMCOMBIO,BIO,2043,0.37020168326995456
REGION1,1,DEMCOMBIO,BIO,2044,0.37598352257745005
REGION1,1,DEMCOMBIO,BIO,2045,0.37636992967501753
REGION1,1,DEMCOMBIO,BIO,2046,0.34479762098290995
REGION1,1,DEMCOMBIO,BIO,2047,0.3463044699966094
REGION1,1,DEMCOMBIO,BIO,2048,0.34841405861578706
REGION1,1,DEMCOMBIO,BIO,2049,0.34628918667228353
REGION1,1,DEMCOMBIO,BIO,2050,0.34506842413699745
REGION1,1,DEMCOMELCB02,ELCB02,2021,1.414457941064569
REGION1,1,DEMCOMELCB02,ELCB02,2022,1.5216825483261112
REGION1,1,DEMCOMELCB02,ELCB02,2023,1.5854305113497642
REGION1,1,DEMCOMELCB02,ELCB02,2024,1.6318411622540139
REGION1,1,DEMCOMELCB02,ELCB02,2025,1.6766514458857031
REGION1,1,DEMCOMELCB02,ELCB02,2026,1.725195919820033
REGION1,1,DEMCOMELCB02,ELCB02,2027,1.7756074889056832
REGION1,1,DEMCOMELCB02,ELCB02,2028,1.8161501264772115
REGION1,1,DEMCOMELCB02,ELCB02,2029,1.8505580228372585
REGION1,1,DEMCOMELCB02,ELCB02,2030,1.8828320961672251
REGION1,1,DEMCOMELCB02,ELCB02,2031,1.9175067204060323
REGION1,1,DEMCOMELCB02,ELCB02,2032,1.95404843979616
REGION1,1,DEMCOMELCB02,ELCB02,2033,1.9868559688836465
REGION1,1,DEMCOMELCB02,ELCB02,2034,2.020463681607413
REGION1,1,DEMCOMELCB02,ELCB02,2035,2.05433812220994
