REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,-1.2670246796187001e-13
REGION1,CO2,2022,7.623459155614576e-14
REGION1,CO2,2023,-5.073502382102468e-14
REGION1,CO2,2024,3.2962905705826405e-07
REGION1,CO2,2025,-1.1643810915451525e-13
REGION1,CO2,2026,-1.7693072533984944e-08
REGION1,CO2,2027,-1.888259084934299e-07
REGION1,CO2,2028,6.541724108825517e-07
REGION1,CO2,2029,-8.414603138947631e-08
REGION1,CO2,2030,-1.739950511894621e-07
REGION1,CO2,2031,1.2497569492177577e-07
REGION1,CO2,2032,4.175785500730358e-07
REGION1,CO2,2033,4.919383725652312e-07
REGION1,CO2,2034,5.476141715266176e-07
REGION1,CO2,2035,7.483511862975585e-07
REGION1,CO2,2036,9.031327930176993e-07
REGION1,CO2,2037,1.0302228156213768e-06
REGION1,CO2,2038,1.1750043901190884e-06
REGION1,CO2,2039,1.339810403686156e-06
REGION1,CO2,2040,1.5980461349552385e-06
REGION1,CO2,2041,1.8230967422023289e-06
REGION1,CO2,2042,1.8051305128705987e-06
REGION1,CO2,2043,1.762160517892802e-06
REGION1,CO2,2044,1.863053824467404e-06
REGION1,CO2,2045,1.8980327279164745e-06
REGION1,CO2,2046,1.997063857461529e-06
REGION1,CO2,2047,2.004124084483685e-06
REGION1,CO2,2048,2.0457467967353437e-06
REGION1,CO2,2049,2.053818697033685e-06
REGION1,CO2,2050,2.0634691019437695e-06
