REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMCOMBIO,CO2,1,2021,0.05319999999999937
REGION1,DEMCOMBIO,CO2,1,2022,0.08399999999999971
REGION1,DEMCOMBIO,CO2,1,2023,0.11410000000000048
REGION1,DEMCOMBIO,CO2,1,2024,0.16869999999999993
REGION1,DEMCOMBIO,CO2,1,2025,0.2527000000000002
REGION1,DEMCOMBIO,CO2,1,2026,0.3367000000000002
REGION1,DEMCOMBIO,CO2,1,2027,0.44590000000000046
REGION1,DEMCOMBIO,CO2,1,2028,0.5494999999999999
REGION1,DEMCOMBIO,CO2,1,2029,0.6832000000000009
REGION1,DEMCOMBIO,CO2,1,2030,0.8161999999999998
REGION1,DEMCOMBIO,CO2,1,2031,0.8063999999999996
REGION1,DEMCOMBIO,CO2,1,2032,0.7965999999999996
REGION1,DEMCOMBIO,CO2,1,2033,0.7930999999999983
REGION1,DEMCOMBIO,CO2,1,2034,0.7909999999999998
REGION1,DEMCOMBIO,CO2,1,2035,0.7882000000000001
REGION1,DEMCOMBIO,CO2,1,2036,0.7860999999999989
REGION1,DEMCOMBIO,CO2,1,2037,0.7826000000000003
REGION1,DEMCOMBIO,CO2,1,2038,0.7805000000000003
REGION1,DEMCOMBIO,CO2,1,2039,0.7791000000000026
REGION1,DEMCOMBIO,CO2,1,2040,0.7776999999999998
REGION1,DEMCOMBIO,CO2,1,2041,0.7770000000000004
REGION1,DEMCOMBIO,CO2,1,2042,0.7763000000000002
REGION1,DEMCOMBIO,CO2,1,2043,0.7770000000000011
REGION1,DEMCOMBIO,CO2,1,2044,0.7784000000000002
REGION1,DEMCOMBIO,CO2,1,2045,0.7798000000000013
REGION1,DEMCOMBIO,CO2,1,2046,0.7826000000000003
REGION1,DEMCOMBIO,CO2,1,2047,0.7861000000000009
REGION1,DEMCOMBIO,CO2,1,2048,0.7910000000000016
REGION1,DEMCOMBIO,CO2,1,2049,0.7952000000000004
REGION1,DEMCOMBIO,CO2,1,2050,0.8015000000000003
REGION1,DEMCOMRPP,CO2,1,2021,0.44973500000000016
REGION1,DEMCOMRPP,CO2,1,2022,0.45831500000000047
REGION1,DEMCOMRPP,CO2,1,2023,0.46403499999999975
REGION1,DEMCOMRPP,CO2,1,2024,0.46904000000000007
REGION1,DEMCOMRPP,CO2,1,2025,0.47333000000000025
REGION1,DEMCOMRPP,CO2,1,2026,0.4790500000000001
REGION1,DEMCOMRPP,CO2,1,2027,0.4869150000000001
REGION1,DEMCOMRPP,CO2,1,2028,0.49335
REGION1,DEMCOMRPP,CO2,1,2029,0.49835499999999994
REGION1,DEMCOMRPP,CO2,1,2030,0.5040750000000002
REGION1,DEMCOMRPP,CO2,1,2031,0.5112250000000002
REGION1,DEMCOMRPP,CO2,1,2032,0.5198050000000004
REGION1,DEMCOMRPP,CO2,1,2033,0.5269550000000003
REGION1,DEMCOMRPP,CO2,1,2034,0.534105
REGION1,DEMCOMRPP,CO2,1,2035,0.5419700000000001
REGION1,DEMCOMRPP,CO2,1,2036,0.5498350000000003
REGION1,DEMCOMRPP,CO2,1,2037,0.5577
REGION1,DEMCOMRPP,CO2,1,2038,0.5655650000000004
REGION1,DEMCOMRPP,CO2,1,2039,0.5727150000000003
REGION1,DEMCOMRPP,CO2,1,2040,0.5791500000000004
REGION1,DEMCOMRPP,CO2,1,2041,0.5855850000000001
REGION1,DEMCOMRPP,CO2,1,2042,0.5920199999999999
REGION1,DEMCOMRPP,CO2,1,2043,0.5984550000000001
REGION1,DEMCOMRPP,CO2,1,2044,0.6056050000000004
