REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2021,0.0001184283992766688
REGION1,DEMAGRGWTBC1,2022,0.0001193284209826713
REGION1,DEMAGRGWTBC1,2024,0.00013406471374097437
REGION1,DEMAGRGWTBC1,2025,0.00013391787812248437
REGION1,DEMAGRGWTBC1,2026,0.00013761374531851467
REGION1,DEMAGRGWTBC1,2027,0.00013947929696639597
REGION1,DEMAGRGWTBC1,2028,0.00014680493624988204
REGION1,DEMAGRGWTBC1,2029,0.00014915486695120863
REGION1,DEMAGRGWTBC1,2030,0.0001515948141759848
REGION1,DEMAGRGWTBC1,2031,0.00015455602833443083
REGION1,DEMAGRGWTBC1,2032,0.0001543305589368939
REGION1,DEMAGRGWTBC1,2033,0.00015645249559738769
REGION1,DEMAGRGWTBC1,2034,0.00015833536429132007
REGION1,DEMAGRGWTBC1,2035,0.00016055467560767978
REGION1,DEMAGRGWTBC1,2036,0.00016609576735490109
REGION1,DEMAGRGWTBC1,2037,0.0001684132534855
REGION1,DEMAGRGWTBC1,2038,0.00017102047226352183
REGION1,DEMAGRGWTBC1,2039,0.0001700860853740434
REGION1,DEMAGRGWTBC1,2040,0.00017125463214843234
REGION1,DEMAGRGWTBC1,2041,0.000173508088154
REGION1,DEMAGRGWTBC1,2042,0.0001753992647451118
REGION1,DEMAGRGWTBC1,2044,0.0001798628882964431
REGION1,DEMAGRGWTBC1,2045,0.0001819671323945
REGION1,DEMAGRGWTBC1,2046,0.0001841258847920862
REGION1,DEMAGRGWTBC1,2047,0.00018606485022400112
REGION1,DEMAGRGWTBC1,2048,0.00018816909432197476
REGION1,DEMAGRGWTBC1,2049,0.00019034299770726544
REGION1,DEMAGRGWTBC1,2050,0.00019254092638858013
REGION1,DEMAGRSURBC1,2023,0.00013410941876450933
REGION1,DEMAGRSURBC1,2043,0.00017795995671201535
REGION1,DEMCOMBIO,2021,0.00024099437087773671
REGION1,DEMCOMBIO,2022,0.0003805174277016895
REGION1,DEMCOMBIO,2023,0.0005168695059614649
REGION1,DEMCOMBIO,2024,0.0007642058339675594
REGION1,DEMCOMBIO,2025,0.0011447232616692497
REGION1,DEMCOMBIO,2026,0.001525240689370943
REGION1,DEMCOMBIO,2027,0.002070009426493548
REGION1,DEMCOMBIO,2028,0.002489218172881889
REGION1,DEMCOMBIO,2029,0.003289147940575326
REGION1,DEMCOMBIO,2030,0.003885422406455236
REGION1,DEMCOMBIO,2031,0.003938945313665048
REGION1,DEMCOMBIO,2032,0.003891076186589258
REGION1,DEMCOMBIO,2033,0.003973354786027372
REGION1,DEMCOMBIO,2034,0.0038637223996888055
REGION1,DEMCOMBIO,2035,0.0037521317578632887
REGION1,DEMCOMBIO,2036,0.003804859631549199
REGION1,DEMCOMBIO,2037,0.003925119673595853
REGION1,DEMCOMBIO,2038,0.0040223653041644635
REGION1,DEMCOMBIO,2039,0.0038099599093664007
REGION1,DEMCOMBIO,2040,0.004433175373279219
REGION1,DEMCOMBIO,2041,0.0038709801600044455
REGION1,DEMCOMBIO,2042,0.004326621843447391
REGION1,DEMCOMBIO,2043,0.004183864576361234
REGION1,DEMCOMBIO,2044,0.0038266701878066985
REGION1,DEMCOMBIO,2045,0.003916798313009
REGION1,DEMCOMBIO,2046,0.0035451540347540755
REGION1,DEMCOMBIO,2047,0.0037780773101613032
REGION1,DEMCOMBIO,2048,0.003634740037217392
REGION1,DEMCOMBIO,2049,0.003653765908602476
REGION1,DEMCOMBIO,2050,0.0037650717771267007
REGION1,DEMCOMELCB02,2021,0.028089795139279936
REGION1,DEMCOMELCB02,2022,0.03021917429183331
REGION1,DEMCOMELCB02,2023,0.03148514846462002
REGION1,DEMCOMELCB02,2024,0.03240682003811327
REGION1,DEMCOMELCB02,2025,0.0332967098332102
REGION1,DEMCOMELCB02,2026,0.034260757111231874
REGION1,DEMCOMELCB02,2027,0.035261883130715925
REGION1,DEMCOMELCB02,2028,0.036067021516756
REGION1,DEMCOMELCB02,2029,0.036750329752276864
REGION1,DEMCOMELCB02,2030,0.0373912622832693
REGION1,DEMCOMELCB02,2031,0.03807986748185621
REGION1,DEMCOMELCB02,2032,0.0388055514219055
REGION1,DEMCOMELCB02,2033,0.03945707787903002
