REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMCOMBIO,2021,2.595894194043068
REGION1,DEMCOMBIO,2022,3.903600291794124
REGION1,DEMCOMBIO,2023,5.049895615574971
REGION1,DEMCOMBIO,2024,11.377386791502785
REGION1,DEMCOMBIO,2025,34.49072453045476
REGION1,DEMCOMBIO,2026,43.76741458685856
REGION1,DEMCOMBIO,2027,55.20214452396572
REGION1,DEMCOMBIO,2028,64.78834335249017
REGION1,DEMCOMBIO,2029,76.71631557419533
REGION1,DEMCOMBIO,2030,87.2865183055343
REGION1,DEMCOMBIO,2031,82.13188686431066
REGION1,DEMCOMBIO,2032,77.2702440902658
REGION1,DEMCOMBIO,2033,73.2673751395691
REGION1,DEMCOMBIO,2034,69.59369050368853
REGION1,DEMCOMBIO,2035,66.04508681597419
REGION1,DEMCOMBIO,2036,62.732498092141526
REGION1,DEMCOMBIO,2037,59.47922899293087
REGION1,DEMCOMBIO,2038,56.49488059214395
REGION1,DEMCOMBIO,2039,53.708137603294006
REGION1,DEMCOMBIO,2040,51.05869240342222
REGION1,DEMCOMBIO,2041,48.58355712811176
REGION1,DEMCOMBIO,2042,46.22836967402478
REGION1,DEMCOMBIO,2043,44.06671848354807
REGION1,DEMCOMBIO,2044,42.04392188220112
REGION1,DEMCOMBIO,2045,40.11384804451193
REGION1,DEMCOMBIO,2046,38.34084133860328
REGION1,DEMCOMBIO,2047,36.67839238712971
REGION1,DEMCOMBIO,2048,35.14954280410175
REGION1,DEMCOMBIO,2049,33.65350242348039
REGION1,DEMCOMBIO,2050,32.30487950610758
REGION1,DEMCOMRPP,2021,21.944820965375417
REGION1,DEMCOMRPP,2022,21.29855437778127
REGION1,DEMCOMRPP,2023,20.537496161028237
REGION1,DEMCOMRPP,2024,31.632777123215547
REGION1,DEMCOMRPP,2025,64.60425263949408
REGION1,DEMCOMRPP,2026,62.27139874616742
REGION1,DEMCOMRPP,2027,60.27977618498933
REGION1,DEMCOMRPP,2028,58.168024009010075
REGION1,DEMCOMRPP,2029,55.96012799762596
REGION1,DEMCOMRPP,2030,53.907071446780485
REGION1,DEMCOMRPP,2031,52.06829596007843
REGION1,DEMCOMRPP,2032,50.42111377019917
REGION1,DEMCOMRPP,2033,48.68063253898837
REGION1,DEMCOMRPP,2034,46.99157783372014
REGION1,DEMCOMRPP,2035,45.412910050308966
REGION1,DEMCOMRPP,2036,43.87803471376756
REGION1,DEMCOMRPP,2037,42.38636086041081
REGION1,DEMCOMRPP,2038,40.9372545062087
REGION1,DEMCOMRPP,2039,39.480754752240365
REGION1,DEMCOMRPP,2040,38.0231987983053
REGION1,DEMCOMRPP,2041,36.6149321761458
REGION1,DEMCOMRPP,2042,35.254565779229864
REGION1,DEMCOMRPP,2043,33.94073102969334
REGION1,DEMCOMRPP,2044,32.710700554304225
REGION1,DEMCOMRPP,2045,31.520852729565085
REGION1,DEMCOMRPP,2046,30.405178828985356
REGION1,DEMCOMRPP,2047,29.357644688948028
REGION1,DEMCOMRPP,2048,28.4044744068392
REGION1,DEMCOMRPP,2049,27.475511623958727
REGION1,DEMCOMRPP,2050,26.628249150973183
REGION1,DEMCOMNGS,2021,181.87020144479808
REGION1,DEMCOMNGS,2022,182.676643440794
REGION1,DEMCOMNGS,2023,177.18348781589472
REGION1,DEMCOMNGS,2024,263.51457569641946
REGION1,DEMCOMNGS,2025,524.1036885870285
REGION1,DEMCOMNGS,2026,492.2155978496143
REGION1,DEMCOMNGS,2027,455.26393349002177
REGION1,DEMCOMNGS,2028,418.58033134319135
REGION1,DEMCOMNGS,2029,385.4876953429785
REGION1,DEMCOMNGS,2030,355.0817061864988
REGION1,DEMCOMNGS,2031,334.1770683308497
REGION1,DEMCOMNGS,2032,314.4581744292836
REGION1,DEMCOMNGS,2033,298.18288157120134
REGION1,DEMCOMNGS,2034,283.1871085248436
REGION1,DEMCOMNGS,2035,268.9012051568325
REGION1,DEMCOMNGS,2036,255.2132948779131
REGION1,DEMCOMNGS,2037,242.066325614067
REGION1,DEMCOMNGS,2038,229.84759402003468
REGION1,DEMCOMNGS,2039,218.6250715147605
REGION1,DEMCOMNGS,2040,207.85109325386557
REGION1,DEMCOMNGS,2041,197.73326422549863
REGION1,DEMCOMNGS,2042,188.19758066589569
REGION1,DEMCOMNGS,2043,179.3498995242615
REGION1,DEMCOMNGS,2044,171.08111481807146
REGION1,DEMCOMNGS,2045,163.29664399779912
REGION1,DEMCOMNGS,2046,156.03811180690786
REGION1,DEMCOMNGS,2047,149.28833577049923
REGION1,DEMCOMNGS,2048,142.9840297533157
REGION1,DEMCOMNGS,2049,137.00547362116765
REGION1,DEMCOMNGS,2050,131.41399272136024
REGION1,DEMINDBIO,2021,634.7302869460908
REGION1,DEMINDBIO,2022,636.6446775891924
REGION1,DEMINDBIO,2023,606.0184548236912
REGION1,DEMINDBIO,2024,943.6149675873776
REGION1,DEMINDBIO,2025,1951.0667192144515
REGION1,DEMINDBIO,2026,1906.2938369951903
REGION1,DEMINDBIO,2027,1881.9858282997843
REGION1,DEMINDBIO,2028,1852.94661988122
REGION1,DEMINDBIO,2029,1843.549657251204
REGION1,DEMINDBIO,2030,1839.6045461751296
REGION1,DEMINDBIO,2031,1771.610465877827
REGION1,DEMINDBIO,2032,1696.957768281129
REGION1,DEMINDBIO,2033,1632.3169313971814
REGION1,DEMINDBIO,2034,1571.3393093018683
REGION1,DEMINDBIO,2035,1510.1801511997242
REGION1,DEMINDBIO,2036,1447.7632707515893
REGION1,DEMINDBIO,2037,1384.7807258112673
REGION1,DEMINDBIO,2038,1322.3348822365683
REGION1,DEMINDBIO,2039,1262.213616612182
REGION1,DEMINDBIO,2040,1205.0954385261373
REGION1,DEMINDBIO,2041,1150.0734658542924
REGION1,DEMINDBIO,2042,1097.475668870808
REGION1,DEMINDBIO,2043,1047.3984087850888
REGION1,DEMINDBIO,2044,1000.2823716866126
REGION1,DEMINDBIO,2045,955.818655739249
REGION1,DEMINDBIO,2046,913.8014832812368
REGION1,DEMINDBIO,2047,873.422590575798
REGION1,DEMINDBIO,2048,834.8794060726451
REGION1,DEMINDBIO,2049,798.500443945854
REGION1,DEMINDBIO,2050,763.7776359037885
REGION1,DEMINDDSL,2021,328.2938580299662
REGION1,DEMINDDSL,2022,310.64971947821005
REGION1,DEMINDDSL,2023,304.136048992674
REGION1,DEMINDDSL,2024,473.5663590012899
REGION1,DEMINDDSL,2025,978.1288309870079
REGION1,DEMINDDSL,2026,947.4294668694735
REGION1,DEMINDDSL,2027,899.0301231573966
REGION1,DEMINDDSL,2028,852.6803890475991
REGION1,DEMINDDSL,2029,828.9278746367944
REGION1,DEMINDDSL,2030,805.6532806493509
REGION1,DEMINDDSL,2031,773.0472372993986
REGION1,DEMINDDSL,2032,736.1000520173993
REGION1,DEMINDDSL,2033,706.399669737081
REGION1,DEMINDDSL,2034,677.8587341772964
REGION1,DEMINDDSL,2035,649.088968144646
REGION1,DEMINDDSL,2036,620.7422582364854
REGION1,DEMINDDSL,2037,593.1989822924468
REGION1,DEMINDDSL,2038,566.7197268036537
REGION1,DEMINDDSL,2039,542.2351788611977
REGION1,DEMINDDSL,2040,519.8972405698139
REGION1,DEMINDDSL,2041,499.199113319276
REGION1,DEMINDDSL,2042,479.62585605135007
REGION1,DEMINDDSL,2043,461.3389562042125
REGION1,DEMINDDSL,2044,444.3092989831124
REGION1,DEMINDDSL,2045,428.6094189111601
REGION1,DEMINDDSL,2046,413.70502678643896
REGION1,DEMINDDSL,2047,399.2481971341145
REGION1,DEMINDDSL,2048,385.3231525135752
REGION1,DEMINDDSL,2049,371.96667751067986
REGION1,DEMINDDSL,2050,358.98036584348955
REGION1,DEMINDNGS,2021,535.9648568083744
REGION1,DEMINDNGS,2022,535.6878615140978
REGION1,DEMINDNGS,2023,527.3429399903147
REGION1,DEMINDNGS,2024,780.8417228862237
REGION1,DEMINDNGS,2025,1730.283634196866
REGION1,DEMINDNGS,2026,1803.5046274556205
REGION1,DEMINDNGS,2027,1664.2571312343473
REGION1,DEMINDNGS,2028,1533.5293578736523
REGION1,DEMINDNGS,2029,1563.4138325411946
REGION1,DEMINDNGS,2030,1599.562129247347
REGION1,DEMINDNGS,2031,1517.296065116476
REGION1,DEMINDNGS,2032,1430.4553542153192
REGION1,DEMINDNGS,2033,1384.364096582395
REGION1,DEMINDNGS,2034,1340.657956813817
REGION1,DEMINDNGS,2035,1284.403656104908
REGION1,DEMINDNGS,2036,1224.72677571878
REGION1,DEMINDNGS,2037,1162.5453193183473
REGION1,DEMINDNGS,2038,1105.4748134374013
REGION1,DEMINDNGS,2039,1054.6362490279844
REGION1,DEMINDNGS,2040,1008.6094836605602
REGION1,DEMINDNGS,2041,966.2102131814122
REGION1,DEMINDNGS,2042,925.7116394205805
REGION1,DEMINDNGS,2043,887.3926076827116
REGION1,DEMINDNGS,2044,852.1181650236606
REGION1,DEMINDNGS,2045,819.3553365289667
REGION1,DEMINDNGS,2046,788.5937485680448
REGION1,DEMINDNGS,2047,759.4671506890984
REGION1,DEMINDNGS,2048,731.7957064442018
REGION1,DEMINDNGS,2049,705.5058121119853
REGION1,DEMINDNGS,2050,680.384695422532
