REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,CCS01,CO2CCS,2021,56.388888722222305
REGION1,CCS01,CO2CCS,2022,58.06519838696017
REGION1,CCS01,CO2CCS,2023,59.05475518904894
REGION1,CCS01,CO2CCS,2024,58.61358494765383
REGION1,CCS01,CO2CCS,2025,59.771252045749634
REGION1,CCS01,CO2CCS,2026,60.94976881004618
REGION1,CCS01,CO2CCS,2027,60.40580305730332
REGION1,CCS01,CO2CCS,2028,59.82370353925593
REGION1,CCS01,CO2CCS,2029,61.25861601508415
REGION1,CCS01,CO2CCS,2030,62.910142576096234
REGION1,CCS01,CO2CCS,2031,62.95842893726381
REGION1,CCS01,CO2CCS,2032,62.82130671608809
REGION1,CCS01,CO2CCS,2033,63.24481946194478
REGION1,CCS01,CO2CCS,2034,63.66593080258595
REGION1,CCS01,CO2CCS,2035,63.894462786350246
REGION1,CCS01,CO2CCS,2036,64.01742677142785
REGION1,CCS01,CO2CCS,2037,64.03083715971815
REGION1,CCS01,CO2CCS,2038,64.03910439606538
REGION1,CCS01,CO2CCS,2039,64.1307152404531
REGION1,CCS01,CO2CCS,2040,64.34206920667808
REGION1,CCS01,CO2CCS,2041,64.62762638295045
REGION1,CCS01,CO2CCS,2042,64.77944525049091
REGION1,CCS01,CO2CCS,2043,64.94655803031858
REGION1,CCS01,CO2CCS,2044,65.20144928580271
REGION1,CCS01,CO2CCS,2045,65.5436163917875
REGION1,CCS01,CO2CCS,2046,66.02918574318613
REGION1,CCS01,CO2CCS,2047,66.48519123652643
REGION1,CCS01,CO2CCS,2048,66.98656467488806
REGION1,CCS01,CO2CCS,2049,67.53898237516752
REGION1,CCS01,CO2CCS,2050,68.1057327123769
REGION1,DEMAGRGWTBC1,AGRWATBC1,2021,0.373475799958902
REGION1,DEMAGRGWTBC1,AGRWATBC1,2022,0.37631410841095153
REGION1,DEMAGRGWTBC1,AGRWATBC1,2024,0.4227864812535361
REGION1,DEMAGRGWTBC1,AGRWATBC1,2025,0.422323420447066
REGION1,DEMAGRGWTBC1,AGRWATBC1,2026,0.43397870723646725
REGION1,DEMAGRGWTBC1,AGRWATBC1,2027,0.43986191091322574
REGION1,DEMAGRGWTBC1,AGRWATBC1,2028,0.4629640469576274
REGION1,DEMAGRGWTBC1,AGRWATBC1,2029,0.4703747884173308
REGION1,DEMAGRGWTBC1,AGRWATBC1,2030,0.47806940598538494
REGION1,DEMAGRGWTBC1,AGRWATBC1,2031,0.48740789095546033
REGION1,DEMAGRGWTBC1,AGRWATBC1,2032,0.4866968506633878
REGION1,DEMAGRGWTBC1,AGRWATBC1,2033,0.49338859011592096
REGION1,DEMAGRGWTBC1,AGRWATBC1,2034,0.4993264048291062
REGION1,DEMAGRGWTBC1,AGRWATBC1,2035,0.5063252249963782
REGION1,DEMAGRGWTBC1,AGRWATBC1,2036,0.5237996119304151
REGION1,DEMAGRGWTBC1,AGRWATBC1,2037,0.5311080361920012
REGION1,DEMAGRGWTBC1,AGRWATBC1,2038,0.5393301613302417
REGION1,DEMAGRGWTBC1,AGRWATBC1,2039,0.5363834788355826
REGION1,DEMAGRGWTBC1,AGRWATBC1,2040,0.5400686079437633
REGION1,DEMAGRGWTBC1,AGRWATBC1,2041,0.5471751068026617
REGION1,DEMAGRGWTBC1,AGRWATBC1,2042,0.5531391213001837
