REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2023,0.4229274630157566
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2043,0.5612145194870116
REGION1,1,DEMCOMBIO,BIO,2021,0.7599998479999752
REGION1,1,DEMCOMBIO,BIO,2022,1.199999760000048
REGION1,1,DEMCOMBIO,BIO,2023,1.6299996740000495
REGION1,1,DEMCOMBIO,BIO,2024,2.4099995180000957
REGION1,1,DEMCOMBIO,BIO,2025,3.6099992780001458
REGION1,1,DEMCOMBIO,BIO,2026,4.809999038000205
REGION1,1,DEMCOMBIO,BIO,2027,6.527981727390053
REGION1,1,DEMCOMBIO,BIO,2028,7.849998430000324
REGION1,1,DEMCOMBIO,BIO,2029,10.372656945398347
REGION1,1,DEMCOMBIO,BIO,2030,12.253068100997233
REGION1,1,DEMCOMBIO,BIO,2031,12.421857941174096
REGION1,1,DEMCOMBIO,BIO,2032,12.270897862027809
REGION1,1,DEMCOMBIO,BIO,2033,12.53037165321592
REGION1,1,DEMCOMBIO,BIO,2034,12.184634959658618
REGION1,1,DEMCOMBIO,BIO,2035,11.832722711597668
REGION1,1,DEMCOMBIO,BIO,2036,11.999005334053551
REGION1,1,DEMCOMBIO,BIO,2037,12.378257402651885
REGION1,1,DEMCOMBIO,BIO,2038,12.684931223213049
REGION1,1,DEMCOMBIO,BIO,2039,12.01508957017788
REGION1,1,DEMCOMBIO,BIO,2040,13.980461857173315
REGION1,1,DEMCOMBIO,BIO,2041,12.20752303259002
REGION1,1,DEMCOMBIO,BIO,2042,13.644434645495693
REGION1,1,DEMCOMBIO,BIO,2043,13.194235328012788
REGION1,1,DEMCOMBIO,BIO,2044,12.067787104267206
REGION1,1,DEMCOMBIO,BIO,2045,12.352015159905466
REGION1,1,DEMCOMBIO,BIO,2046,11.179997764000452
REGION1,1,DEMCOMBIO,BIO,2047,11.914544605324686
REGION1,1,DEMCOMBIO,BIO,2048,11.462516181368768
REGION1,1,DEMCOMBIO,BIO,2049,11.522516169368767
REGION1,1,DEMCOMBIO,BIO,2050,11.873530356346771
REGION1,1,DEMCOMELCB02,ELCB02,2021,46.934286226233525
REGION1,1,DEMCOMELCB02,ELCB02,2022,50.492193649002886
REGION1,1,DEMCOMELCB02,ELCB02,2023,52.60746696751501
REGION1,1,DEMCOMELCB02,ELCB02,2024,54.14745674751966
REGION1,1,DEMCOMELCB02,ELCB02,2025,55.63434343166208
REGION1,1,DEMCOMELCB02,ELCB02,2026,57.24513733948303
REGION1,1,DEMCOMELCB02,ELCB02,2027,58.91788485914324
REGION1,1,DEMCOMELCB02,ELCB02,2028,60.26316328765305
REGION1,1,DEMCOMELCB02,ELCB02,2029,61.404879848690975
REGION1,1,DEMCOMELCB02,ELCB02,2030,62.4757922819126
REGION1,1,DEMCOMELCB02,ELCB02,2031,63.626359358927566
REGION1,1,DEMCOMELCB02,ELCB02,2032,64.8388800477818
REGION1,1,DEMCOMELCB02,ELCB02,2033,65.9274935129575
REGION1,1,DEMCOMELCB02,ELCB02,2034,67.0426585260643
REGION1,1,DEMCOMELCB02,ELCB02,2035,68.16667405514815
REGION1,1,DEMCOMELCB02,ELCB02,2036,69.3614937120483
REGION1,1,DEMCOMELCB02,ELCB02,2037,70.53861233699439
REGION1,1,DEMCOMELCB02,ELCB02,2038,71.65377735010121
REGION1,1,DEMCOMELCB02,ELCB02,2039,72.7423908152769
REGION1,1,DEMCOMELCB02,ELCB02,2040,73.69824654079703
REGION1,1,DEMCOMELCB02,ELCB02,2041,74.6452517503401
REGION1,1,DEMCOMELCB02,ELCB02,2042,75.548004379998
REGION1,1,DEMCOMELCB02,ELCB02,2043,76.44190649367886
REGION1,1,DEMCOMELCB02,ELCB02,2044,77.30040654345157
REGION1,1,DEMCOMELCB02,ELCB02,2045,78.2120096890865
REGION1,1,DEMCOMELCB02,ELCB02,2046,79.21211799449182
REGION1,1,DEMCOMELCB02,ELCB02,2047,80.2741799117364
REGION1,1,DEMCOMELCB02,ELCB02,2048,81.45129853668249
REGION1,1,DEMCOMELCB02,ELCB02,2049,82.6638192255367
REGION1,1,DEMCOMELCB02,ELCB02,2050,83.9825461061154
REGION1,1,DEMCOMNGS,NGS,2021,74.099985180003
REGION1,1,DEMCOMNGS,NGS,2022,78.14998437000315
REGION1,1,DEMCOMNGS,NGS,2023,79.5899840820032
REGION1,1,DEMCOMNGS,NGS,2024,77.67998446400316
REGION1,1,DEMCOMNGS,NGS,2025,76.33998473200306
REGION1,1,DEMCOMNGS,NGS,2026,75.27998494400305
REGION1,1,DEMCOMNGS,NGS,2027,73.10998537800293
REGION1,1,DEMCOMNGS,NGS,2028,70.57998588400281
REGION1,1,DEMCOMNGS,NGS,2029,68.24998635000273
REGION1,1,DEMCOMNGS,NGS,2030,66.00998679800264
REGION1,1,DEMCOMNGS,NGS,2031,65.22998695400263
REGION1,1,DEMCOMNGS,NGS,2032,64.44998711000261
REGION1,1,DEMCOMNGS,NGS,2033,64.16998716600257
REGION1,1,DEMCOMNGS,NGS,2034,63.98998720200257
REGION1,1,DEMCOMNGS,NGS,2035,63.799987240002544
REGION1,1,DEMCOMNGS,NGS,2036,64.57095380166561
REGION1,1,DEMCOMNGS,NGS,2037,64.31214666824538
REGION1,1,DEMCOMNGS,NGS,2038,64.15458983531839
REGION1,1,DEMCOMNGS,NGS,2039,63.04998739000252
REGION1,1,DEMCOMNGS,NGS,2040,62.93998741200252
REGION1,1,DEMCOMNGS,NGS,2041,63.94351792460047
REGION1,1,DEMCOMNGS,NGS,2042,63.90124184691409
REGION1,1,DEMCOMNGS,NGS,2043,62.86998742600251
REGION1,1,DEMCOMNGS,NGS,2044,62.96998740600253
REGION1,1,DEMCOMNGS,NGS,2045,63.10998737800253
REGION1,1,DEMCOMNGS,NGS,2046,63.31998733600254
REGION1,1,DEMCOMNGS,NGS,2047,63.60998727800255
REGION1,1,DEMCOMNGS,NGS,2048,63.96998720600256
REGION1,1,DEMCOMNGS,NGS,2049,65.5416729813294
REGION1,1,DEMCOMNGS,NGS,2050,64.81998703600259
REGION1,1,DEMCOMRPP,RPP,2021,6.289998742000254
REGION1,1,DEMCOMRPP,RPP,2022,6.409998718000262
REGION1,1,DEMCOMRPP,RPP,2023,6.4899987020002605
REGION1,1,DEMCOMRPP,RPP,2024,6.559998688000262
REGION1,1,DEMCOMRPP,RPP,2025,6.619998676000268
REGION1,1,DEMCOMRPP,RPP,2026,6.699998660000272
REGION1,1,DEMCOMRPP,RPP,2027,6.809998638000272
REGION1,1,DEMCOMRPP,RPP,2028,6.899998620000277
REGION1,1,DEMCOMRPP,RPP,2029,6.969998606000279
REGION1,1,DEMCOMRPP,RPP,2030,7.04999859000028
REGION1,1,DEMCOMRPP,RPP,2031,7.14999857000029
REGION1,1,DEMCOMRPP,RPP,2032,7.269998546000291
REGION1,1,DEMCOMRPP,RPP,2033,7.3699985260003
REGION1,1,DEMCOMRPP,RPP,2034,7.469998506000301
REGION1,1,DEMCOMRPP,RPP,2035,7.579998484000305
REGION1,1,DEMCOMRPP,RPP,2036,7.689998462000309
REGION1,1,DEMCOMRPP,RPP,2037,7.799998440000314
REGION1,1,DEMCOMRPP,RPP,2038,7.909998418000319
REGION1,1,DEMCOMRPP,RPP,2039,8.009998398000322
REGION1,1,DEMCOMRPP,RPP,2040,8.099998380000326
REGION1,1,DEMCOMRPP,RPP,2041,8.189998362000326
REGION1,1,DEMCOMRPP,RPP,2042,8.279998344000331
REGION1,1,DEMCOMRPP,RPP,2043,8.369998326000335
REGION1,1,DEMCOMRPP,RPP,2044,8.46999830600034
REGION1,1,DEMCOMRPP,RPP,2045,8.569998286000342
REGION1,1,DEMCOMRPP,RPP,2046,8.679998264000348
REGION1,1,DEMCOMRPP,RPP,2047,8.799998240000354
REGION1,1,DEMCOMRPP,RPP,2048,8.939998212000358
REGION1,1,DEMCOMRPP,RPP,2049,9.079998184000367
REGION1,1,DEMCOMRPP,RPP,2050,9.239998152000371
REGION1,1,DEMINDBIO,BIO,2021,185.82996283400752
REGION1,1,DEMINDBIO,BIO,2022,195.70996085800792
REGION1,1,DEMINDBIO,BIO,2023,195.60996087800797
REGION1,1,DEMINDBIO,BIO,2024,199.87996002400808
REGION1,1,DEMINDBIO,BIO,2025,204.20995915800825
REGION1,1,DEMINDBIO,BIO,2026,209.49995810000829
REGION1,1,DEMINDBIO,BIO,2027,217.38711136475544
REGION1,1,DEMINDBIO,BIO,2028,227.83567833728705
REGION1,1,DEMINDBIO,BIO,2029,235.78388650095877
REGION1,1,DEMINDBIO,BIO,2030,248.9106536917424
REGION1,1,DEMINDBIO,BIO,2031,248.53990388592968
REGION1,1,DEMINDBIO,BIO,2032,251.6671514347757
REGION1,1,DEMINDBIO,BIO,2033,253.2434629267904
REGION1,1,DEMINDBIO,BIO,2034,256.482189805652
REGION1,1,DEMINDBIO,BIO,2035,258.89664083853046
REGION1,1,DEMINDBIO,BIO,2036,259.90486536003147
REGION1,1,DEMINDBIO,BIO,2037,260.4748399375735
REGION1,1,DEMINDBIO,BIO,2038,261.16079707684145
REGION1,1,DEMINDBIO,BIO,2039,262.1060874813888
REGION1,1,DEMINDBIO,BIO,2040,262.31164511337505
REGION1,1,DEMINDBIO,BIO,2041,264.74371199045606
REGION1,1,DEMINDBIO,BIO,2042,263.549059605512
REGION1,1,DEMINDBIO,BIO,2043,264.11719128084184
REGION1,1,DEMINDBIO,BIO,2044,265.2773436623455
REGION1,1,DEMINDBIO,BIO,2045,265.43994691201067
REGION1,1,DEMINDBIO,BIO,2046,266.8834793543571
REGION1,1,DEMINDBIO,BIO,2047,267.55045361849994
REGION1,1,DEMINDBIO,BIO,2048,268.3999463200108
REGION1,1,DEMINDBIO,BIO,2049,269.5399460920108
REGION1,1,DEMINDBIO,BIO,2050,270.7099458580109
REGION1,1,DEMINDDSL,DSL,2021,96.38998072200381
REGION1,1,DEMINDDSL,DSL,2022,95.76998084600388
REGION1,1,DEMINDDSL,DSL,2023,98.44998031000397
REGION1,1,DEMINDDSL,DSL,2024,100.59997988000404
REGION1,1,DEMINDDSL,DSL,2025,102.66997946600408
REGION1,1,DEMINDDSL,DSL,2026,104.41997911600411
REGION1,1,DEMINDDSL,DSL,2027,104.03997919200422
REGION1,1,DEMINDDSL,DSL,2028,103.60997927800422
REGION1,1,DEMINDDSL,DSL,2029,105.75997884800428
REGION1,1,DEMINDDSL,DSL,2030,107.92997841400438
REGION1,1,DEMINDDSL,DSL,2031,108.73997825200436
REGION1,1,DEMINDDSL,DSL,2032,108.71997825600435
REGION1,1,DEMINDDSL,DSL,2033,109.54997809000444
REGION1,1,DEMINDDSL,DSL,2034,110.37997792400444
REGION1,1,DEMINDDSL,DSL,2035,110.97997780400448
REGION1,1,DEMINDDSL,DSL,2036,111.43997771200452
REGION1,1,DEMINDDSL,DSL,2037,111.81997763600457
REGION1,1,DEMINDDSL,DSL,2038,112.16997756600496
REGION1,1,DEMINDDSL,DSL,2039,112.68997746200456
REGION1,1,DEMINDDSL,DSL,2040,113.4499773100046
REGION1,1,DEMINDDSL,DSL,2041,114.37997712400464
REGION1,1,DEMINDDSL,DSL,2042,115.38997692200468
REGION1,1,DEMINDDSL,DSL,2043,116.53997669200474
REGION1,1,DEMINDDSL,DSL,2044,117.8499764300047
REGION1,1,DEMINDDSL,DSL,2045,119.36997612600484
REGION1,1,DEMINDDSL,DSL,2046,120.97997580400484
REGION1,1,DEMINDDSL,DSL,2047,122.58997548200482
REGION1,1,DEMINDDSL,DSL,2048,124.22997515400502
REGION1,1,DEMINDDSL,DSL,2049,125.91997481600504
REGION1,1,DEMINDDSL,DSL,2050,127.59997448000506
REGION1,1,DEMINDELCB02,ELCB02,2021,78.52177774828284
REGION1,1,DEMINDELCB02,ELCB02,2022,82.86738109300859
REGION1,1,DEMINDELCB02,ELCB02,2023,88.23079377509373
REGION1,1,DEMINDELCB02,ELCB02,2024,91.05410837176895
REGION1,1,DEMINDELCB02,ELCB02,2025,93.86857245246705
REGION1,1,DEMINDELCB02,ELCB02,2026,96.83349530477484
REGION1,1,DEMINDELCB02,ELCB02,2027,98.42658818064173
REGION1,1,DEMINDELCB02,ELCB02,2028,102.01989766731924
REGION1,1,DEMINDELCB02,ELCB02,2029,108.09135162756743
REGION1,1,DEMINDELCB02,ELCB02,2030,112.72902199953546
REGION1,1,DEMINDELCB02,ELCB02,2031,115.41957885655506
REGION1,1,DEMINDELCB02,ELCB02,2032,121.88045551979292
REGION1,1,DEMINDELCB02,ELCB02,2033,128.23512599130638
REGION1,1,DEMINDELCB02,ELCB02,2034,129.9078735109666
REGION1,1,DEMINDELCB02,ELCB02,2035,131.36820864717788
REGION1,1,DEMINDELCB02,ELCB02,2036,132.71348707568768
REGION1,1,DEMINDELCB02,ELCB02,2037,133.93485828051897
REGION1,1,DEMINDELCB02,ELCB02,2038,135.11197690546504
REGION1,1,DEMINDELCB02,ELCB02,2039,136.3776006901815
REGION1,1,DEMINDELCB02,ELCB02,2040,137.6255234429439
REGION1,1,DEMINDELCB02,ELCB02,2041,138.7229874240966
REGION1,1,DEMINDELCB02,ELCB02,2042,139.80275037329528
REGION1,1,DEMINDELCB02,ELCB02,2043,140.83826074260875
REGION1,1,DEMINDELCB02,ELCB02,2044,141.85607007996816
REGION1,1,DEMINDELCB02,ELCB02,2045,142.90043096525864
REGION1,1,DEMINDELCB02,ELCB02,2046,143.94479185054917
REGION1,1,DEMINDELCB02,ELCB02,2047,144.84754448020706
REGION1,1,DEMINDELCB02,ELCB02,2048,145.69719401400272
REGION1,1,DEMINDELCB02,ELCB02,2049,146.59109612768356
REGION1,1,DEMINDELCB02,ELCB02,2050,147.46729720941036
REGION1,1,DEMINDHDG,HDG,2032,0.689999862000028
REGION1,1,DEMINDHDG,HDG,2038,0.689999862000028
REGION1,1,DEMINDHDG,HDG,2039,0.689999862000028
REGION1,1,DEMINDHDG,HDG,2040,0.689999862000028
REGION1,1,DEMINDHDG,HDG,2041,0.24856623073382775
REGION1,1,DEMINDHDG,HDG,2042,0.26164866393034497
REGION1,1,DEMINDHDG,HDG,2043,0.2747310971268622
REGION1,1,DEMINDHDG,HDG,2044,0.27689646388112177
REGION1,1,DEMINDHDG,HDG,2045,0.2768964638811218
REGION1,1,DEMINDHDG,HDG,2046,0.2894826667848092
REGION1,1,DEMINDHDG,HDG,2047,0.30206886968849656
REGION1,1,DEMINDHDG,HDG,2048,0.31465507259218384
REGION1,1,DEMINDHDG,HDG,2049,0.3272412754958712
REGION1,1,DEMINDHDG,HDG,2050,0.32724127549587123
REGION1,1,DEMINDNGS,NGS,2021,218.3699563260087
REGION1,1,DEMINDNGS,NGS,2022,229.1699541660092
REGION1,1,DEMINDNGS,NGS,2023,236.8799526240095
REGION1,1,DEMINDNGS,NGS,2024,230.17995396400931
REGION1,1,DEMINDNGS,NGS,2025,252.02994959401008
REGION1,1,DEMINDNGS,NGS,2026,275.82994483401114
REGION1,1,DEMINDNGS,NGS,2027,267.25994654801065
REGION1,1,DEMINDNGS,NGS,2028,258.57994828401047
REGION1,1,DEMINDNGS,NGS,2029,276.79994464001106
REGION1,1,DEMINDNGS,NGS,2030,297.3599405280119
REGION1,1,DEMINDNGS,NGS,2031,297.1593394530375
REGION1,1,DEMINDNGS,NGS,2032,293.17994136401177
REGION1,1,DEMINDNGS,NGS,2033,297.9199404160119
REGION1,1,DEMINDNGS,NGS,2034,303.87291229694387
REGION1,1,DEMINDNGS,NGS,2035,304.73993905201223
REGION1,1,DEMINDNGS,NGS,2036,305.1099389780122
REGION1,1,DEMINDNGS,NGS,2037,304.0999391800122
REGION1,1,DEMINDNGS,NGS,2038,303.62993927401214
REGION1,1,DEMINDNGS,NGS,2039,305.1904614057641
REGION1,1,DEMINDNGS,NGS,2040,306.47916020101206
REGION1,1,DEMINDNGS,NGS,2041,307.2099385580123
REGION1,1,DEMINDNGS,NGS,2042,309.0499381900124
REGION1,1,DEMINDNGS,NGS,2043,312.1707549018831
REGION1,1,DEMINDNGS,NGS,2044,313.63993727201256
REGION1,1,DEMINDNGS,NGS,2045,317.77105246166195
REGION1,1,DEMINDNGS,NGS,2046,320.00993599801285
REGION1,1,DEMINDNGS,NGS,2047,323.599935280013
REGION1,1,DEMINDNGS,NGS,2048,327.3999345200131
REGION1,1,DEMINDNGS,NGS,2049,331.4199337160133
REGION1,1,DEMINDNGS,NGS,2050,336.793447449868
REGION1,1,DEMPUBSURBC1,WTRSURBC1,2028,0.9199998160000371
REGION1,1,DEMPUBSURBC1,WTRSURBC1,2030,0.939999812000038
REGION1,1,DEMPUBSURBC1,WTRSURBC1,2031,0.9499998100000384
REGION1,1,DEMPWRGEO,GEO,2028,31.84777783956256
REGION1,1,DEMPWRGEO,GEO,2029,131.65648800497408
REGION1,1,DEMPWRGEO,GEO,2030,114.51239646053772
REGION1,1,DEMPWRGEO,GEO,2031,97.12104613423824
REGION1,1,DEMPWRGEO,GEO,2032,53.8088480186471
REGION1,1,DEMPWRGEO,GEO,2033,59.047289181617415
REGION1,1,DEMPWRGEO,GEO,2034,51.826590688952045
REGION1,1,DEMPWRGEO,GEO,2035,41.032922798716555
REGION1,1,DEMPWRGEO,GEO,2036,57.17027148957765
