REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,1,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,2,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,3,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,4,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,5,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,6,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,7,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,8,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,9,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,10,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,11,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,12,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,13,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,14,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,15,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,16,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,17,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,18,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,19,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,20,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,21,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,22,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,23,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,24,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,25,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,26,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,27,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,28,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,29,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,30,0.4229274630157566
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,1,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,2,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,3,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,4,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,5,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,6,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,7,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,8,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,9,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,10,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,11,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,12,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,13,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,14,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,15,0.5612145194868166
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,16,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,17,0.5612145194868166
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,18,0.5612145194868166
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,19,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,20,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,21,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,22,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,23,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,24,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,25,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,26,0.5612145194868025
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,27,0.5612145194868025
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,28,0.5612145194870116
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,29,0.5612145194868025
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,30,0.5612145194868043
REGION1,DEMCOMBIO,BIO,1,2021,1,0.7599998479999752
REGION1,DEMCOMBIO,BIO,1,2021,2,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,3,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,4,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,5,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,6,0.7599998479999622
REGION1,DEMCOMBIO,BIO,1,2021,7,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,8,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,9,0.7599998479999484
REGION1,DEMCOMBIO,BIO,1,2021,10,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,11,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,12,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,13,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,14,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,15,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,16,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,17,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,18,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,19,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,20,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,21,0.7599998480000134
REGION1,DEMCOMBIO,BIO,1,2021,22,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,23,0.7599998480000305
REGION1,DEMCOMBIO,BIO,1,2021,24,0.7599998480000305
