REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2041,7.294481312210104e-07
REGION1,LNDAGRBC1C01,2042,1.6591639563139854e-06
REGION1,LNDAGRBC1C01,2043,1.9268291763264858e-06
REGION1,LNDAGRBC1C01,2044,2.1522128045407634e-06
REGION1,LNDAGRBC1C01,2045,2.410292573945421e-06
REGION1,LNDAGRBC1C01,2046,2.6420630189451918e-06
REGION1,LNDAGRBC1C01,2047,2.892868524270198e-06
REGION1,LNDAGRBC1C01,2048,3.08679786595498e-06
REGION1,LNDAGRBC1C01,2049,3.328887081696992e-06
REGION1,LNDAGRBC1C01,2050,3.538112951411509e-06
REGION1,LNDAGRBC1C02,2043,6.894159438193041e-07
REGION1,LNDAGRBC1C02,2044,1.4216451552842548e-06
REGION1,LNDAGRBC1C02,2045,1.6068617160120027e-06
REGION1,LNDAGRBC1C02,2046,1.7456487803387022e-06
REGION1,LNDAGRBC1C02,2047,1.9032029765205007e-06
REGION1,LNDAGRBC1C02,2048,2.0578652439174587e-06
REGION1,LNDAGRBC1C02,2049,2.1809949846048323e-06
REGION1,LNDAGRBC1C02,2050,2.358741967574183e-06
REGION1,LNDAGRBC1C03,2037,7.7477128447879e-06
REGION1,LNDAGRBC1C03,2038,1.0896571646873687e-05
REGION1,LNDAGRBC1C03,2039,8.537362075583091e-06
REGION1,LNDAGRBC1C03,2040,1.513388529337765e-05
REGION1,LNDAGRBC1C03,2041,4.515300296163916e-05
REGION1,LNDAGRBC1C03,2042,4.899853215505708e-05
REGION1,LNDAGRBC1C03,2043,9.909847781073265e-05
REGION1,LNDAGRBC1C03,2044,8.448336627159686e-05
REGION1,LNDAGRBC1C03,2045,8.140068859392934e-05
REGION1,LNDAGRBC1C03,2046,0.0001234825531994088
REGION1,LNDAGRBC1C03,2047,3.996766130666654e-05
REGION1,LNDAGRBC1C03,2048,0.00011705007046208796
REGION1,LNDAGRBC1C03,2049,9.342714527996784e-05
REGION1,LNDAGRBC1C03,2050,0.00011610099646156376
REGION1,LNDAGRBC1C04,2046,1.3685343549328503e-06
REGION1,LNDAGRBC1C04,2047,2.7913643655600966e-06
REGION1,LNDAGRBC1C04,2048,2.9784891688352707e-06
REGION1,LNDAGRBC1C04,2049,4.020374136189656e-06
REGION1,LNDAGRBC1C04,2050,3.361818819848252e-05
REGION1,LNDAGRBC1C06,2037,3.2004691588455763e-08
REGION1,LNDAGRBC1C06,2038,6.248535025107189e-08
REGION1,LNDAGRBC1C06,2039,9.15145489743528e-08
