REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMAGRGWTBC1,1,2021,0.3734758746540629
REGION1,DEMAGRGWTBC1,1,2022,0.3763141836737738
REGION1,DEMAGRGWTBC1,1,2024,0.422786565810833
REGION1,DEMAGRGWTBC1,1,2025,0.4223235049117508
REGION1,DEMAGRGWTBC1,1,2026,0.4339787940322093
REGION1,DEMAGRGWTBC1,1,2027,0.43986199888560856
REGION1,DEMAGRGWTBC1,1,2028,0.4629641395504374
REGION1,DEMAGRGWTBC1,1,2029,0.4703748824922892
REGION1,DEMAGRGWTBC1,1,2030,0.47806950159926653
REGION1,DEMAGRGWTBC1,1,2031,0.48740798843703925
REGION1,DEMAGRGWTBC1,1,2032,0.48669694800275853
REGION1,DEMAGRGWTBC1,1,2033,0.4933886887936397
REGION1,DEMAGRGWTBC1,1,2034,0.49932650469438766
REGION1,DEMAGRGWTBC1,1,2035,0.5063253262614238
REGION1,DEMAGRGWTBC1,1,2036,0.5237997166903383
REGION1,DEMAGRGWTBC1,1,2037,0.5311081424136093
REGION1,DEMAGRGWTBC1,1,2038,0.539330269196275
REGION1,DEMAGRGWTBC1,1,2039,0.5363835861122792
REGION1,DEMAGRGWTBC1,1,2040,0.5400687159574858
REGION1,DEMAGRGWTBC1,1,2041,0.547175216237684
REGION1,DEMAGRGWTBC1,1,2042,0.5531392319280088
REGION1,DEMAGRGWTBC1,1,2043,-1.4991133334696374e-13
REGION1,DEMAGRGWTBC1,1,2044,0.5672157179747984
REGION1,DEMAGRGWTBC1,1,2045,0.5738516634897217
REGION1,DEMAGRGWTBC1,1,2046,0.5806595064122011
REGION1,DEMAGRGWTBC1,1,2047,0.5867742290211282
REGION1,DEMAGRGWTBC1,1,2048,0.5934101745358403
REGION1,DEMAGRGWTBC1,1,2049,0.6002657976230545
REGION1,DEMAGRGWTBC1,1,2050,0.6071971868984444
REGION1,DEMAGRSURBC1,1,2023,0.4229275476012492
REGION1,DEMAGRSURBC1,1,2043,0.5612146317298683
REGION1,DEMCOMBIO,1,2021,0.759999999999991
REGION1,DEMCOMBIO,1,2022,1.1999999999999953
REGION1,DEMCOMBIO,1,2023,1.630000000000007
REGION1,DEMCOMBIO,1,2024,2.409999999999999
REGION1,DEMCOMBIO,1,2025,3.610000000000003
