REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2021,0.3734758746540629
REGION1,DEMAGRGWTBC1,2022,0.3763141836737738
REGION1,DEMAGRGWTBC1,2024,0.422786565810833
REGION1,DEMAGRGWTBC1,2025,0.4223235049117508
REGION1,DEMAGRGWTBC1,2026,0.4339787940322093
REGION1,DEMAGRGWTBC1,2027,0.43986199888560856
REGION1,DEMAGRGWTBC1,2028,0.4629641395504374
REGION1,DEMAGRGWTBC1,2029,0.4703748824922892
REGION1,DEMAGRGWTBC1,2030,0.47806950159926653
REGION1,DEMAGRGWTBC1,2031,0.48740798843703925
REGION1,DEMAGRGWTBC1,2032,0.48669694800275853
REGION1,DEMAGRGWTBC1,2033,0.4933886887936397
REGION1,DEMAGRGWTBC1,2034,0.49932650469438766
REGION1,DEMAGRGWTBC1,2035,0.5063253262614238
REGION1,DEMAGRGWTBC1,2036,0.5237997166903383
REGION1,DEMAGRGWTBC1,2037,0.5311081424136093
REGION1,DEMAGRGWTBC1,2038,0.539330269196275
REGION1,DEMAGRGWTBC1,2039,0.5363835861122792
REGION1,DEMAGRGWTBC1,2040,0.5400687159574858
REGION1,DEMAGRGWTBC1,2041,0.547175216237684
REGION1,DEMAGRGWTBC1,2042,0.5531392319280088
REGION1,DEMAGRGWTBC1,2043,-1.4991133334696374e-13
REGION1,DEMAGRGWTBC1,2044,0.5672157179747984
REGION1,DEMAGRGWTBC1,2045,0.5738516634897217
REGION1,DEMAGRGWTBC1,2046,0.5806595064122011
REGION1,DEMAGRGWTBC1,2047,0.5867742290211282
REGION1,DEMAGRGWTBC1,2048,0.5934101745358403
REGION1,DEMAGRGWTBC1,2049,0.6002657976230545
REGION1,DEMAGRGWTBC1,2050,0.6071971868984444
REGION1,DEMAGRSURBC1,2023,0.4229275476012492
REGION1,DEMAGRSURBC1,2043,0.5612146317298683
REGION1,DEMCOMBIO,2021,0.759999999999991
REGION1,DEMCOMBIO,2022,1.1999999999999953
REGION1,DEMCOMBIO,2023,1.630000000000007
REGION1,DEMCOMBIO,2024,2.409999999999999
REGION1,DEMCOMBIO,2025,3.610000000000003
REGION1,DEMCOMBIO,2026,4.810000000000001
REGION1,DEMCOMBIO,2027,6.3700000000000045
REGION1,DEMCOMBIO,2028,7.85
REGION1,DEMCOMBIO,2029,9.760000000000012
REGION1,DEMCOMBIO,2030,11.66
REGION1,DEMCOMBIO,2031,11.519999999999992
REGION1,DEMCOMBIO,2032,11.379999999999995
REGION1,DEMCOMBIO,2033,11.32999999999998
REGION1,DEMCOMBIO,2034,11.299999999999995
REGION1,DEMCOMBIO,2035,11.260000000000002
REGION1,DEMCOMBIO,2036,11.229999999999984
REGION1,DEMCOMBIO,2037,11.180000000000009
REGION1,DEMCOMBIO,2038,11.150000000000013
REGION1,DEMCOMBIO,2039,11.130000000000038
REGION1,DEMCOMBIO,2040,11.109999999999996
REGION1,DEMCOMBIO,2041,11.1
REGION1,DEMCOMBIO,2042,11.090000000000003
REGION1,DEMCOMBIO,2043,11.100000000000012
REGION1,DEMCOMBIO,2044,11.120000000000008
REGION1,DEMCOMBIO,2045,11.140000000000017
REGION1,DEMCOMBIO,2046,11.180000000000003
REGION1,DEMCOMBIO,2047,11.230000000000013
REGION1,DEMCOMBIO,2048,11.300000000000027
REGION1,DEMCOMBIO,2049,11.36
REGION1,DEMCOMBIO,2050,11.450000000000005
REGION1,DEMCOMELCB02,2021,53.02999469699999
REGION1,DEMCOMELCB02,2022,57.049994295000005
REGION1,DEMCOMELCB02,2023,59.439994056
REGION1,DEMCOMELCB02,2024,61.179993882
REGION1,DEMCOMELCB02,2025,62.859993714
REGION1,DEMCOMELCB02,2026,64.67999353200001
REGION1,DEMCOMELCB02,2027,66.56999334300001
REGION1,DEMCOMELCB02,2028,68.08999319099999
REGION1,DEMCOMELCB02,2029,69.37999306200001
REGION1,DEMCOMELCB02,2030,70.58999294099999
REGION1,DEMCOMELCB02,2031,71.88999281100001
REGION1,DEMCOMELCB02,2032,73.259992674
REGION1,DEMCOMELCB02,2033,74.48999255100001
REGION1,DEMCOMELCB02,2034,75.749992425
REGION1,DEMCOMELCB02,2035,77.019992298
REGION1,DEMCOMELCB02,2036,78.36999216299998
REGION1,DEMCOMELCB02,2037,79.69999203000003
REGION1,DEMCOMELCB02,2038,80.95999190399998
REGION1,DEMCOMELCB02,2039,82.189991781
REGION1,DEMCOMELCB02,2040,83.269991673
REGION1,DEMCOMELCB02,2041,84.339991566
REGION1,DEMCOMELCB02,2042,85.359991464
REGION1,DEMCOMELCB02,2043,86.36999136300001
REGION1,DEMCOMELCB02,2044,87.33999126599998
REGION1,DEMCOMELCB02,2045,88.36999116300002
REGION1,DEMCOMELCB02,2046,89.49999105
REGION1,DEMCOMELCB02,2047,90.69999093
REGION1,DEMCOMELCB02,2048,92.029990797
REGION1,DEMCOMELCB02,2049,93.39999066
REGION1,DEMCOMELCB02,2050,94.889990511
REGION1,DEMCOMRPP,2021,6.290000000000004
REGION1,DEMCOMRPP,2022,6.410000000000004
REGION1,DEMCOMRPP,2023,6.49
REGION1,DEMCOMRPP,2024,6.56
REGION1,DEMCOMRPP,2025,6.620000000000006
REGION1,DEMCOMRPP,2026,6.700000000000002
REGION1,DEMCOMRPP,2027,6.810000000000001
REGION1,DEMCOMRPP,2028,6.8999999999999995
REGION1,DEMCOMRPP,2029,6.969999999999997
REGION1,DEMCOMRPP,2030,7.049999999999999
REGION1,DEMCOMRPP,2031,7.1499999999999995
REGION1,DEMCOMRPP,2032,7.269999999999995
REGION1,DEMCOMRPP,2033,7.370000000000003
REGION1,DEMCOMRPP,2034,7.4700000000000015
REGION1,DEMCOMRPP,2035,7.58
REGION1,DEMCOMRPP,2036,7.690000000000007
REGION1,DEMCOMRPP,2037,7.8
REGION1,DEMCOMRPP,2038,7.910000000000003
REGION1,DEMCOMRPP,2039,8.010000000000002
REGION1,DEMCOMRPP,2040,8.100000000000001
REGION1,DEMCOMRPP,2041,8.19
REGION1,DEMCOMRPP,2042,8.279999999999992
REGION1,DEMCOMRPP,2043,8.369999999999997
REGION1,DEMCOMRPP,2044,8.470000000000002
REGION1,DEMCOMRPP,2045,8.57
REGION1,DEMCOMRPP,2046,8.680000000000001
REGION1,DEMCOMRPP,2047,8.800000000000002
REGION1,DEMCOMRPP,2048,8.940000000000003
REGION1,DEMCOMRPP,2049,9.080000000000004
REGION1,DEMCOMRPP,2050,9.239999999999998
REGION1,DEMCOMNGS,2021,74.10000000000004
REGION1,DEMCOMNGS,2022,78.15
REGION1,DEMCOMNGS,2023,79.59000000000003
REGION1,DEMCOMNGS,2024,77.68000000000005
REGION1,DEMCOMNGS,2025,76.34
REGION1,DEMCOMNGS,2026,75.28000000000003
REGION1,DEMCOMNGS,2027,73.11000000000003
REGION1,DEMCOMNGS,2028,70.58000000000006
REGION1,DEMCOMNGS,2029,68.24999999999996
REGION1,DEMCOMNGS,2030,66.00999999999998
REGION1,DEMCOMNGS,2031,65.23
REGION1,DEMCOMNGS,2032,64.45000000000002
REGION1,DEMCOMNGS,2033,64.17000000000002
REGION1,DEMCOMNGS,2034,63.990000000000016
REGION1,DEMCOMNGS,2035,63.80000000000004
REGION1,DEMCOMNGS,2036,63.57999999999997
REGION1,DEMCOMNGS,2037,63.32000000000001
REGION1,DEMCOMNGS,2038,63.13000000000003
REGION1,DEMCOMNGS,2039,63.05000000000001
REGION1,DEMCOMNGS,2040,62.94000000000004
REGION1,DEMCOMNGS,2041,62.870000000000026
REGION1,DEMCOMNGS,2042,62.829999999999984
REGION1,DEMCOMNGS,2043,62.86999999999996
REGION1,DEMCOMNGS,2044,62.96999999999996
REGION1,DEMCOMNGS,2045,63.11
REGION1,DEMCOMNGS,2046,63.32000000000006
REGION1,DEMCOMNGS,2047,63.61
REGION1,DEMCOMNGS,2048,63.970000000000006
REGION1,DEMCOMNGS,2049,64.36000000000001
REGION1,DEMCOMNGS,2050,64.81999999999996
REGION1,DEMINDBIO,2021,185.83000000000004
REGION1,DEMINDBIO,2022,195.7100000000001
REGION1,DEMINDBIO,2023,195.61000000000007
REGION1,DEMINDBIO,2024,199.8800000000001
REGION1,DEMINDBIO,2025,204.2100000000002
REGION1,DEMINDBIO,2026,209.50000000000003
REGION1,DEMINDBIO,2027,217.17000000000007
REGION1,DEMINDBIO,2028,224.51000000000013
REGION1,DEMINDBIO,2029,234.54
REGION1,DEMINDBIO,2030,245.74000000000004
REGION1,DEMINDBIO,2031,248.49
REGION1,DEMINDBIO,2032,249.9200000000002
REGION1,DEMINDBIO,2033,252.42
REGION1,DEMINDBIO,2034,255.14000000000007
REGION1,DEMINDBIO,2035,257.47000000000025
REGION1,DEMINDBIO,2036,259.17
REGION1,DEMINDBIO,2037,260.2900000000003
REGION1,DEMINDBIO,2038,260.9800000000001
REGION1,DEMINDBIO,2039,261.5700000000001
REGION1,DEMINDBIO,2040,262.2200000000001
REGION1,DEMINDBIO,2041,262.7600000000001
REGION1,DEMINDBIO,2042,263.2800000000002
REGION1,DEMINDBIO,2043,263.8300000000001
REGION1,DEMINDBIO,2044,264.56
REGION1,DEMINDBIO,2045,265.44000000000005
REGION1,DEMINDBIO,2046,266.4600000000002
REGION1,DEMINDBIO,2047,267.42000000000024
REGION1,DEMINDBIO,2048,268.4000000000001
REGION1,DEMINDBIO,2049,269.54
REGION1,DEMINDBIO,2050,270.7100000000001
REGION1,DEMINDDSL,2021,96.39
REGION1,DEMINDDSL,2022,95.77000000000004
REGION1,DEMINDDSL,2023,98.45000000000006
REGION1,DEMINDDSL,2024,100.60000000000008
REGION1,DEMINDDSL,2025,102.67000000000002
REGION1,DEMINDDSL,2026,104.42000000000002
REGION1,DEMINDDSL,2027,104.04000000000006
REGION1,DEMINDDSL,2028,103.6100000000001
REGION1,DEMINDDSL,2029,105.76
REGION1,DEMINDDSL,2030,107.93000000000004
REGION1,DEMINDDSL,2031,108.73999999999997
REGION1,DEMINDDSL,2032,108.72000000000006
REGION1,DEMINDDSL,2033,109.55
REGION1,DEMINDDSL,2034,110.38000000000008
REGION1,DEMINDDSL,2035,110.98000000000005
REGION1,DEMINDDSL,2036,111.44000000000004
REGION1,DEMINDDSL,2037,111.82000000000006
REGION1,DEMINDDSL,2038,112.17000000000009
REGION1,DEMINDDSL,2039,112.69
REGION1,DEMINDDSL,2040,113.45000000000005
REGION1,DEMINDDSL,2041,114.38000000000002
REGION1,DEMINDDSL,2042,115.39000000000009
REGION1,DEMINDDSL,2043,116.54000000000002
