REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2023,0.012745759159378941
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2043,0.016913314285909906
REGION1,1,DEMCOMBIO,BIO,2021,0.022904105008218385
REGION1,1,DEMCOMBIO,BIO,2022,0.0361643763287685
REGION1,1,DEMCOMBIO,BIO,2023,0.04912327784657673
REGION1,1,DEMCOMBIO,BIO,2024,0.07263012246027671
REGION1,1,DEMCOMBIO,BIO,2025,0.10879449878904526
REGION1,1,DEMCOMBIO,BIO,2026,0.1449588751178141
REGION1,1,DEMCOMBIO,BIO,2027,0.1967336958939464
REGION1,1,DEMCOMBIO,BIO,2028,0.2365752951506942
REGION1,1,DEMCOMBIO,BIO,2029,0.3126006202722783
REGION1,1,DEMCOMBIO,BIO,2030,0.3692705455095049
REGION1,1,DEMCOMBIO,BIO,2031,0.37435736261072544
REGION1,1,DEMCOMBIO,BIO,2032,0.36980788077344007
REGION1,1,DEMCOMBIO,BIO,2033,0.37762763886404066
REGION1,1,DEMCOMBIO,BIO,2034,0.3672081768664234
REGION1,1,DEMCOMBIO,BIO,2035,0.35660260226732626
REGION1,1,DEMCOMBIO,BIO,2036,0.36161385938243507
REGION1,1,DEMCOMBIO,BIO,2037,0.3730433737785492
REGION1,1,DEMCOMBIO,BIO,2038,0.3822855985077897
REGION1,1,DEMCOMBIO,BIO,2039,0.3620985897861819
REGION1,1,DEMCOMBIO,BIO,2040,0.42132898747645525
REGION1,1,DEMCOMBIO,BIO,2041,0.36789795440682177
REGION1,1,DEMCOMBIO,BIO,2042,0.4112021400012392
REGION1,1,DEMCOMBIO,BIO,2043,0.3976344893373709
REGION1,1,DEMCOMBIO,BIO,2044,0.3636867346491479
REGION1,1,DEMCOMBIO,BIO,2045,0.37225251166838313
REGION1,1,DEMCOMBIO,BIO,2046,0.33693143946302667
REGION1,1,DEMCOMBIO,BIO,2047,0.35906846755772953
REGION1,1,DEMCOMBIO,BIO,2048,0.34544569313714024
REGION1,1,DEMCOMBIO,BIO,2049,0.3472539119535786
REGION1,1,DEMCOMBIO,BIO,2050,0.35783242169812113
REGION1,1,DEMCOMELCB02,ELCB02,2021,1.414457941064569
REGION1,1,DEMCOMELCB02,ELCB02,2022,1.5216825483261112
REGION1,1,DEMCOMELCB02,ELCB02,2023,1.5854305113497642
REGION1,1,DEMCOMELCB02,ELCB02,2024,1.6318411622540139
REGION1,1,DEMCOMELCB02,ELCB02,2025,1.6766514458857031
REGION1,1,DEMCOMELCB02,ELCB02,2026,1.725195919820033
REGION1,1,DEMCOMELCB02,ELCB02,2027,1.7756074889056832
REGION1,1,DEMCOMELCB02,ELCB02,2028,1.8161501264772115
REGION1,1,DEMCOMELCB02,ELCB02,2029,1.8505580228372585
REGION1,1,DEMCOMELCB02,ELCB02,2030,1.8828320961672251
REGION1,1,DEMCOMELCB02,ELCB02,2031,1.9175067204060323
REGION1,1,DEMCOMELCB02,ELCB02,2032,1.95404843979616
REGION1,1,DEMCOMELCB02,ELCB02,2033,1.9868559688836465
REGION1,1,DEMCOMELCB02,ELCB02,2034,2.020463681607413
REGION1,1,DEMCOMELCB02,ELCB02,2035,2.05433812220994
REGION1,1,DEMCOMELCB02,ELCB02,2036,2.090346385842547
REGION1,1,DEMCOMELCB02,ELCB02,2037,2.125821193717635
REGION1,1,DEMCOMELCB02,ELCB02,2038,2.159428906441402
REGION1,1,DEMCOMELCB02,ELCB02,2039,2.192236435528889
REGION1,1,DEMCOMELCB02,ELCB02,2040,2.2210430464349744
REGION1,1,DEMCOMELCB02,ELCB02,2041,2.2495829294622998
REGION1,1,DEMCOMELCB02,ELCB02,2042,2.2767891730958256
REGION1,1,DEMCOMELCB02,ELCB02,2043,2.303728688850591
REGION1,1,DEMCOMELCB02,ELCB02,2044,2.3296012930903167
REGION1,1,DEMCOMELCB02,ELCB02,2045,2.357074264602602
REGION1,1,DEMCOMELCB02,ELCB02,2046,2.3872145149024884
REGION1,1,DEMCOMELCB02,ELCB02,2047,2.419221860353695
REGION1,1,DEMCOMELCB02,ELCB02,2048,2.4546966682287823
REGION1,1,DEMCOMELCB02,ELCB02,2049,2.491238387618909
REGION1,1,DEMCOMELCB02,ELCB02,2050,2.5309808415541575
REGION1,1,DEMCOMNGS,NGS,2021,2.2331502383014556
REGION1,1,DEMCOMNGS,NGS,2022,2.355205008411049
REGION1,1,DEMCOMNGS,NGS,2023,2.3986022600055708
REGION1,1,DEMCOMNGS,NGS,2024,2.341040627682282
REGION1,1,DEMCOMNGS,NGS,2025,2.300657074115156
REGION1,1,DEMCOMNGS,NGS,2026,2.268711875024745
REGION1,1,DEMCOMNGS,NGS,2027,2.203314627830221
REGION1,1,DEMCOMNGS,NGS,2028,2.1270680677370666
REGION1,1,DEMCOMNGS,NGS,2029,2.0568489036987083
REGION1,1,DEMCOMNGS,NGS,2030,1.9893420678850071
REGION1,1,DEMCOMNGS,NGS,2031,1.965835223271308
REGION1,1,DEMCOMNGS,NGS,2032,1.9423283786576089
REGION1,1,DEMCOMNGS,NGS,2033,1.9338900241808954
REGION1,1,DEMCOMNGS,NGS,2034,1.9284653677315802
REGION1,1,DEMCOMNGS,NGS,2035,1.9227393414795249
REGION1,1,DEMCOMNGS,NGS,2036,1.945973950187179
REGION1,1,DEMCOMNGS,NGS,2037,1.9381742831525963
REGION1,1,DEMCOMNGS,NGS,2038,1.9334259950369885
REGION1,1,DEMCOMNGS,NGS,2039,1.9001366062740448
REGION1,1,DEMCOMNGS,NGS,2040,1.8968215384439078
REGION1,1,DEMCOMNGS,NGS,2041,1.9270649237550788
REGION1,1,DEMCOMNGS,NGS,2042,1.9257908501809686
REGION1,1,DEMCOMNGS,NGS,2043,1.8947119498247293
REGION1,1,DEMCOMNGS,NGS,2044,1.8977256478521272
REGION1,1,DEMCOMNGS,NGS,2045,1.9019448250904833
REGION1,1,DEMCOMNGS,NGS,2046,1.908273590948018
REGION1,1,DEMCOMNGS,NGS,2047,1.9170133152274702
REGION1,1,DEMCOMNGS,NGS,2048,1.9278626281261004
REGION1,1,DEMCOMNGS,NGS,2049,1.9752285008071833
REGION1,1,DEMCOMNGS,NGS,2050,1.953479061358978
REGION1,1,DEMCOMRPP,RPP,2021,0.18956160592329493
REGION1,1,DEMCOMRPP,RPP,2022,0.19317804355617188
REGION1,1,DEMCOMRPP,RPP,2023,0.19558900197808965
REGION1,1,DEMCOMRPP,RPP,2024,0.19769859059726777
REGION1,1,DEMCOMRPP,RPP,2025,0.1995068094137063
REGION1,1,DEMCOMRPP,RPP,2026,0.20191776783562423
REGION1,1,DEMCOMRPP,RPP,2027,0.20523283566576123
REGION1,1,DEMCOMRPP,RPP,2028,0.2079451638904189
REGION1,1,DEMCOMRPP,RPP,2029,0.21005475250959701
REGION1,1,DEMCOMRPP,RPP,2030,0.21246571093151487
REGION1,1,DEMCOMRPP,RPP,2031,0.2154794089589124
REGION1,1,DEMCOMRPP,RPP,2032,0.21909584659178916
REGION1,1,DEMCOMRPP,RPP,2033,0.22210954461918667
REGION1,1,DEMCOMRPP,RPP,2034,0.22512324264658395
REGION1,1,DEMCOMRPP,RPP,2035,0.22843831047672106
REGION1,1,DEMCOMRPP,RPP,2036,0.23175337830685816
REGION1,1,DEMCOMRPP,RPP,2037,0.2350684461369953
REGION1,1,DEMCOMRPP,RPP,2038,0.2383835139671324
REGION1,1,DEMCOMRPP,RPP,2039,0.24139721199452976
REGION1,1,DEMCOMRPP,RPP,2040,0.2441095402191874
REGION1,1,DEMCOMRPP,RPP,2041,0.24682186844384493
REGION1,1,DEMCOMRPP,RPP,2042,0.24953419666850263
