r,l,f,y,Demand
REGION1,SEA1D,COMELCB02,2020,8.55
REGION1,SEA1D,COMELCB02,2021,8.7435
REGION1,SEA1D,COMELCB02,2022,8.904
REGION1,SEA1D,COMELCB02,2023,9.036
REGION1,SEA1D,COMELCB02,2024,9.144
REGION1,SEA1D,COMELCB02,2025,9.2535
REGION1,SEA1D,COMELCB02,2026,9.3795
REGION1,SEA1D,COMELCB02,2027,9.51
REGION1,SEA1D,COMELCB02,2028,9.6165
REGION1,SEA1D,COMELCB02,2029,9.732
REGION1,SEA1D,COMELCB02,2030,9.843
REGION1,SEA1D,COMELCB02,2031,9.927
REGION1,SEA1D,COMELCB02,2032,10.0095
REGION1,SEA1D,COMELCB02,2033,10.1115
REGION1,SEA1D,COMELCB02,2034,10.1775
REGION1,SEA1D,COMELCB02,2035,10.2405
REGION1,SEA1D,COMELCB02,2036,10.3035
REGION1,SEA1D,COMELCB02,2037,10.3605
REGION1,SEA1D,COMELCB02,2038,10.431
REGION1,SEA1D,COMELCB02,2039,10.494
REGION1,SEA1D,COMELCB02,2040,10.56
REGION1,SEA1D,COMELCB02,2041,10.6456
REGION1,SEA1D,COMELCB02,2042,10.7162
REGION1,SEA1D,COMELCB02,2043,10.7865
REGION1,SEA1D,COMELCB02,2044,10.8568
REGION1,SEA1D,COMELCB02,2045,10.9272
REGION1,SEA1D,COMELCB02,2046,10.9976
REGION1,SEA1D,COMELCB02,2047,11.068
REGION1,SEA1D,COMELCB02,2048,11.1384
REGION1,SEA1D,COMELCB02,2049,11.2088
REGION1,SEA1D,COMELCB02,2050,11.2791
REGION1,SEA1D,INDELCB02,2020,15.171
REGION1,SEA1D,INDELCB02,2021,15.21
REGION1,SEA1D,INDELCB02,2022,15.2655
REGION1,SEA1D,INDELCB02,2023,15.3525
REGION1,SEA1D,INDELCB02,2024,15.612
REGION1,SEA1D,INDELCB02,2025,15.9285
REGION1,SEA1D,INDELCB02,2026,16.4415
REGION1,SEA1D,INDELCB02,2027,16.4355
REGION1,SEA1D,INDELCB02,2028,16.3665
REGION1,SEA1D,INDELCB02,2029,16.275
REGION1,SEA1D,INDELCB02,2030,16.443
REGION1,SEA1D,INDELCB02,2031,16.707
REGION1,SEA1D,INDELCB02,2032,16.944
REGION1,SEA1D,INDELCB02,2033,16.8615
REGION1,SEA1D,INDELCB02,2034,16.6965
REGION1,SEA1D,INDELCB02,2035,16.557
REGION1,SEA1D,INDELCB02,2036,16.4325
REGION1,SEA1D,INDELCB02,2037,16.3245
REGION1,SEA1D,INDELCB02,2038,16.251
REGION1,SEA1D,INDELCB02,2039,16.179
REGION1,SEA1D,INDELCB02,2040,16.107
REGION1,SEA1D,INDELCB02,2041,16.107
REGION1,SEA1D,INDELCB02,2042,16.0414
REGION1,SEA1D,INDELCB02,2043,15.976
REGION1,SEA1D,INDELCB02,2044,15.9105
REGION1,SEA1D,INDELCB02,2045,15.845
REGION1,SEA1D,INDELCB02,2046,15.7794
REGION1,SEA1D,INDELCB02,2047,15.7138
REGION1,SEA1D,INDELCB02,2048,15.6483
REGION1,SEA1D,INDELCB02,2049,15.5828
REGION1,SEA1D,INDELCB02,2050,15.5172
REGION1,SEA1D,RESELCB02,2020,11.1705
REGION1,SEA1D,RESELCB02,2021,11.4195
REGION1,SEA1D,RESELCB02,2022,11.6565
REGION1,SEA1D,RESELCB02,2023,11.919
REGION1,SEA1D,RESELCB02,2024,12.1605
REGION1,SEA1D,RESELCB02,2025,12.402
REGION1,SEA1D,RESELCB02,2026,12.63
REGION1,SEA1D,RESELCB02,2027,12.834
REGION1,SEA1D,RESELCB02,2028,12.9855
REGION1,SEA1D,RESELCB02,2029,13.125
REGION1,SEA1D,RESELCB02,2030,13.2645
REGION1,SEA1D,RESELCB02,2031,13.3815
REGION1,SEA1D,RESELCB02,2032,13.5
REGION1,SEA1D,RESELCB02,2033,13.6365
REGION1,SEA1D,RESELCB02,2034,13.725
REGION1,SEA1D,RESELCB02,2035,13.803
REGION1,SEA1D,RESELCB02,2036,13.875
REGION1,SEA1D,RESELCB02,2037,13.9455
REGION1,SEA1D,RESELCB02,2038,14.0235
REGION1,SEA1D,RESELCB02,2039,14.097
REGION1,SEA1D,RESELCB02,2040,14.163
REGION1,SEA1D,RESELCB02,2041,14.2936
REGION1,SEA1D,RESELCB02,2042,14.3818
REGION1,SEA1D,RESELCB02,2043,14.4699
REGION1,SEA1D,RESELCB02,2044,14.558
REGION1,SEA1D,RESELCB02,2045,14.6462
REGION1,SEA1D,RESELCB02,2046,14.7342
REGION1,SEA1D,RESELCB02,2047,14.8224
REGION1,SEA1D,RESELCB02,2048,14.9104
REGION1,SEA1D,RESELCB02,2049,14.9986
REGION1,SEA1D,RESELCB02,2050,15.0867
REGION1,SEA1D,TRAELCB02,2020,0.186
REGION1,SEA1D,TRAELCB02,2021,0.243
REGION1,SEA1D,TRAELCB02,2022,0.312
REGION1,SEA1D,TRAELCB02,2023,0.396
REGION1,SEA1D,TRAELCB02,2024,0.489
REGION1,SEA1D,TRAELCB02,2025,0.609
REGION1,SEA1D,TRAELCB02,2026,0.7305
REGION1,SEA1D,TRAELCB02,2027,0.8595
REGION1,SEA1D,TRAELCB02,2028,0.9915
REGION1,SEA1D,TRAELCB02,2029,1.1385
REGION1,SEA1D,TRAELCB02,2030,1.3035
REGION1,SEA1D,TRAELCB02,2031,1.485
REGION1,SEA1D,TRAELCB02,2032,1.6875
REGION1,SEA1D,TRAELCB02,2033,1.9215
REGION1,SEA1D,TRAELCB02,2034,2.154
REGION1,SEA1D,TRAELCB02,2035,2.406
REGION1,SEA1D,TRAELCB02,2036,2.6775
REGION1,SEA1D,TRAELCB02,2037,2.9685
REGION1,SEA1D,TRAELCB02,2038,3.288
REGION1,SEA1D,TRAELCB02,2039,3.6225
REGION1,SEA1D,TRAELCB02,2040,3.963
REGION1,SEA1D,TRAELCB02,2041,4.0942
REGION1,SEA1D,TRAELCB02,2042,4.3604
REGION1,SEA1D,TRAELCB02,2043,4.6264
REGION1,SEA1D,TRAELCB02,2044,4.8924
REGION1,SEA1D,TRAELCB02,2045,5.1585
REGION1,SEA1D,TRAELCB02,2046,5.4246
REGION1,SEA1D,TRAELCB02,2047,5.6906
REGION1,SEA1D,TRAELCB02,2048,5.9566
REGION1,SEA1D,TRAELCB02,2049,6.2227
REGION1,SEA1D,TRAELCB02,2050,6.4888
REGION1,SEA1N,COMELCB02,2020,4.56
REGION1,SEA1N,COMELCB02,2021,4.6632
REGION1,SEA1N,COMELCB02,2022,4.7488
REGION1,SEA1N,COMELCB02,2023,4.8192
REGION1,SEA1N,COMELCB02,2024,4.8768
REGION1,SEA1N,COMELCB02,2025,4.9352
REGION1,SEA1N,COMELCB02,2026,5.0024
REGION1,SEA1N,COMELCB02,2027,5.072
REGION1,SEA1N,COMELCB02,2028,5.1288
REGION1,SEA1N,COMELCB02,2029,5.1904
REGION1,SEA1N,COMELCB02,2030,5.2496
REGION1,SEA1N,COMELCB02,2031,5.2944
REGION1,SEA1N,COMELCB02,2032,5.3384
REGION1,SEA1N,COMELCB02,2033,5.3928
REGION1,SEA1N,COMELCB02,2034,5.428
REGION1,SEA1N,COMELCB02,2035,5.4616
REGION1,SEA1N,COMELCB02,2036,5.4952
REGION1,SEA1N,COMELCB02,2037,5.5256
REGION1,SEA1N,COMELCB02,2038,5.5632
REGION1,SEA1N,COMELCB02,2039,5.5968
REGION1,SEA1N,COMELCB02,2040,5.632
REGION1,SEA1N,COMELCB02,2041,5.6777
REGION1,SEA1N,COMELCB02,2042,5.7153
REGION1,SEA1N,COMELCB02,2043,5.7528
REGION1,SEA1N,COMELCB02,2044,5.7903
REGION1,SEA1N,COMELCB02,2045,5.8278
REGION1,SEA1N,COMELCB02,2046,5.8654
REGION1,SEA1N,COMELCB02,2047,5.903
REGION1,SEA1N,COMELCB02,2048,5.9405
REGION1,SEA1N,COMELCB02,2049,5.978
REGION1,SEA1N,COMELCB02,2050,6.0155
REGION1,SEA1N,INDELCB02,2020,8.0912
REGION1,SEA1N,INDELCB02,2021,8.112
REGION1,SEA1N,INDELCB02,2022,8.1416
REGION1,SEA1N,INDELCB02,2023,8.188
REGION1,SEA1N,INDELCB02,2024,8.3264
REGION1,SEA1N,INDELCB02,2025,8.4952
REGION1,SEA1N,INDELCB02,2026,8.7688
REGION1,SEA1N,INDELCB02,2027,8.7656
REGION1,SEA1N,INDELCB02,2028,8.7288
REGION1,SEA1N,INDELCB02,2029,8.68
REGION1,SEA1N,INDELCB02,2030,8.7696
REGION1,SEA1N,INDELCB02,2031,8.9104
