r,t,y,AnnualVariableOperatingCost
REGION1,DEMAGRDSL,2020,0.0149
REGION1,DEMAGRDSL,2021,0.0156
REGION1,DEMAGRDSL,2022,0.0163
REGION1,DEMAGRDSL,2023,0.0167
REGION1,DEMAGRDSL,2024,0.0176
REGION1,DEMAGRDSL,2025,0.0181
REGION1,DEMAGRDSL,2026,0.0174
REGION1,DEMAGRDSL,2027,0.0167
REGION1,DEMAGRDSL,2028,0.016
REGION1,DEMAGRDSL,2029,0.0152
REGION1,DEMAGRDSL,2030,0.0145
REGION1,DEMAGRDSL,2031,0.0138
REGION1,DEMAGRDSL,2032,0.0131
REGION1,DEMAGRDSL,2033,0.0123
REGION1,DEMAGRDSL,2034,0.0116
REGION1,DEMAGRDSL,2035,0.0109
REGION1,DEMAGRDSL,2036,0.0102
REGION1,DEMAGRDSL,2037,0.0094
REGION1,DEMAGRDSL,2038,0.0087
REGION1,DEMAGRDSL,2039,0.008
REGION1,DEMAGRDSL,2040,0.0073
REGION1,DEMAGRDSL,2041,0.0065
REGION1,DEMAGRDSL,2042,0.0058
REGION1,DEMAGRDSL,2043,0.0051
REGION1,DEMAGRDSL,2044,0.0044
REGION1,DEMAGRDSL,2045,0.0036
REGION1,DEMAGRDSL,2046,0.0029
REGION1,DEMAGRDSL,2047,0.0022
REGION1,DEMAGRDSL,2048,0.0015
REGION1,DEMAGRDSL,2049,0.0007
REGION1,DEMAGRELCB02,2026,0.0014
REGION1,DEMAGRELCB02,2027,0.0028
REGION1,DEMAGRELCB02,2028,0.0041
REGION1,DEMAGRELCB02,2029,0.0055
REGION1,DEMAGRELCB02,2030,0.0069
REGION1,DEMAGRELCB02,2031,0.0083
REGION1,DEMAGRELCB02,2032,0.0096
REGION1,DEMAGRELCB02,2033,0.011
REGION1,DEMAGRELCB02,2034,0.0124
REGION1,DEMAGRELCB02,2035,0.0138
REGION1,DEMAGRELCB02,2036,0.0152
REGION1,DEMAGRELCB02,2037,0.0165
REGION1,DEMAGRELCB02,2038,0.0179
REGION1,DEMAGRELCB02,2039,0.0193
REGION1,DEMAGRELCB02,2040,0.0207
REGION1,DEMAGRELCB02,2041,0.022
REGION1,DEMAGRELCB02,2042,0.0234
REGION1,DEMAGRELCB02,2043,0.0248
REGION1,DEMAGRELCB02,2044,0.0262
REGION1,DEMAGRELCB02,2045,0.0276
REGION1,DEMAGRELCB02,2046,0.0289
REGION1,DEMAGRELCB02,2047,0.0303
REGION1,DEMAGRELCB02,2048,0.0317
REGION1,DEMAGRELCB02,2049,0.0331
REGION1,DEMAGRELCB02,2050,0.0344
REGION1,DEMAGRSURBC1,2020,0.0004
REGION1,DEMAGRSURBC1,2021,0.0004
REGION1,DEMAGRSURBC1,2022,0.0004
REGION1,DEMAGRSURBC1,2023,0.0004
REGION1,DEMAGRSURBC1,2024,0.0004
REGION1,DEMAGRSURBC1,2025,0.0004
REGION1,DEMAGRSURBC1,2026,0.0005
REGION1,DEMAGRSURBC1,2027,0.0006
REGION1,DEMAGRSURBC1,2028,0.0006
REGION1,DEMAGRSURBC1,2029,0.0006
REGION1,DEMAGRSURBC1,2030,0.0007
REGION1,DEMAGRSURBC1,2031,0.0007
REGION1,DEMAGRSURBC1,2032,0.0007
REGION1,DEMAGRSURBC1,2033,0.0008
REGION1,DEMAGRSURBC1,2034,0.0008
REGION1,DEMAGRSURBC1,2035,0.0017
REGION1,DEMAGRSURBC1,2036,0.0018
REGION1,DEMAGRSURBC1,2037,0.0018
REGION1,DEMAGRSURBC1,2038,0.0019
REGION1,DEMAGRSURBC1,2039,0.0019
REGION1,DEMAGRSURBC1,2040,0.0019
REGION1,DEMAGRSURBC1,2041,0.0019
REGION1,DEMAGRSURBC1,2042,0.0019
REGION1,DEMAGRSURBC1,2043,0.0019
REGION1,DEMAGRSURBC1,2044,0.0019
REGION1,DEMAGRSURBC1,2045,0.002
REGION1,DEMAGRSURBC1,2046,0.002
REGION1,DEMAGRSURBC1,2047,0.002
REGION1,DEMAGRSURBC1,2048,0.002
REGION1,DEMAGRSURBC1,2049,0.002
REGION1,DEMAGRSURBC1,2050,0.002
REGION1,DEMCOMBIO,2020,0.0001
REGION1,DEMCOMBIO,2021,0.0002
REGION1,DEMCOMBIO,2022,0.0002
REGION1,DEMCOMBIO,2023,0.0003
REGION1,DEMCOMBIO,2024,0.0003
REGION1,DEMCOMBIO,2025,0.0004
REGION1,DEMCOMBIO,2026,0.0003
REGION1,DEMCOMBIO,2027,0.0003
REGION1,DEMCOMBIO,2028,0.0003
REGION1,DEMCOMBIO,2029,0.0003
REGION1,DEMCOMBIO,2030,0.0003
REGION1,DEMCOMBIO,2031,0.0003
REGION1,DEMCOMBIO,2032,0.0002
REGION1,DEMCOMBIO,2033,0.0002
REGION1,DEMCOMBIO,2034,0.0002
REGION1,DEMCOMBIO,2035,0.0002
REGION1,DEMCOMBIO,2036,0.0002
REGION1,DEMCOMBIO,2037,0.0002
REGION1,DEMCOMBIO,2038,0.0002
REGION1,DEMCOMBIO,2039,0.0001
REGION1,DEMCOMBIO,2040,0.0001
REGION1,DEMCOMBIO,2041,0.0001
REGION1,DEMCOMBIO,2042,0.0001
REGION1,DEMCOMBIO,2043,0.0001
REGION1,DEMCOMBIO,2044,0.0001
REGION1,DEMCOMBIO,2045,0.0001
REGION1,DEMCOMBIO,2046,0.0001
REGION1,DEMCOMBIO,2047,0.0
REGION1,DEMCOMBIO,2048,0.0
REGION1,DEMCOMBIO,2049,0.0
REGION1,DEMCOMELCB02,2020,0.057
REGION1,DEMCOMELCB02,2021,0.0583
REGION1,DEMCOMELCB02,2022,0.0594
REGION1,DEMCOMELCB02,2023,0.0602
REGION1,DEMCOMELCB02,2024,0.061
REGION1,DEMCOMELCB02,2025,0.0617
REGION1,DEMCOMELCB02,2026,0.0636
REGION1,DEMCOMELCB02,2027,0.0654
REGION1,DEMCOMELCB02,2028,0.0673
REGION1,DEMCOMELCB02,2029,0.0692
REGION1,DEMCOMELCB02,2030,0.071
REGION1,DEMCOMELCB02,2031,0.0729
REGION1,DEMCOMELCB02,2032,0.0748
REGION1,DEMCOMELCB02,2033,0.0767
REGION1,DEMCOMELCB02,2034,0.0785
REGION1,DEMCOMELCB02,2035,0.0804
REGION1,DEMCOMELCB02,2036,0.0823
REGION1,DEMCOMELCB02,2037,0.0842
REGION1,DEMCOMELCB02,2038,0.086
REGION1,DEMCOMELCB02,2039,0.0879
REGION1,DEMCOMELCB02,2040,0.0898
REGION1,DEMCOMELCB02,2041,0.0916
REGION1,DEMCOMELCB02,2042,0.0935
