r,t,l,y,RateOfTotalActivity
REGION1,DEMAGRDSL,SEA1D,2020,15.0303
REGION1,DEMAGRDSL,SEA1D,2021,15.7758
REGION1,DEMAGRDSL,SEA1D,2022,16.4313
REGION1,DEMAGRDSL,SEA1D,2023,16.8202
REGION1,DEMAGRDSL,SEA1D,2024,17.7717
REGION1,DEMAGRDSL,SEA1D,2025,18.3242
REGION1,DEMAGRDSL,SEA1D,2026,17.5909
REGION1,DEMAGRDSL,SEA1D,2027,16.8576
REGION1,DEMAGRDSL,SEA1D,2028,16.1253
REGION1,DEMAGRDSL,SEA1D,2029,15.3919
REGION1,DEMAGRDSL,SEA1D,2030,14.6596
REGION1,DEMAGRDSL,SEA1D,2031,13.9263
REGION1,DEMAGRDSL,SEA1D,2032,13.1929
REGION1,DEMAGRDSL,SEA1D,2033,12.4606
REGION1,DEMAGRDSL,SEA1D,2034,11.7273
REGION1,DEMAGRDSL,SEA1D,2035,10.9949
REGION1,DEMAGRDSL,SEA1D,2036,10.2616
REGION1,DEMAGRDSL,SEA1D,2037,9.5293
REGION1,DEMAGRDSL,SEA1D,2038,8.796
REGION1,DEMAGRDSL,SEA1D,2039,8.0626
REGION1,DEMAGRDSL,SEA1D,2040,7.3303
REGION1,DEMAGRDSL,SEA1D,2041,6.597
REGION1,DEMAGRDSL,SEA1D,2042,5.8646
REGION1,DEMAGRDSL,SEA1D,2043,5.1313
REGION1,DEMAGRDSL,SEA1D,2044,4.398
REGION1,DEMAGRDSL,SEA1D,2045,3.6657
REGION1,DEMAGRDSL,SEA1D,2046,2.9323
REGION1,DEMAGRDSL,SEA1D,2047,2.2
REGION1,DEMAGRDSL,SEA1D,2048,1.4667
REGION1,DEMAGRDSL,SEA1D,2049,0.7343
REGION1,DEMAGRDSL,SEA1N,2020,15.0303
REGION1,DEMAGRDSL,SEA1N,2021,15.7758
REGION1,DEMAGRDSL,SEA1N,2022,16.4313
REGION1,DEMAGRDSL,SEA1N,2023,16.8202
REGION1,DEMAGRDSL,SEA1N,2024,17.7717
REGION1,DEMAGRDSL,SEA1N,2025,18.3242
REGION1,DEMAGRDSL,SEA1N,2026,17.5909
REGION1,DEMAGRDSL,SEA1N,2027,16.8576
REGION1,DEMAGRDSL,SEA1N,2028,16.1253
REGION1,DEMAGRDSL,SEA1N,2029,15.3919
REGION1,DEMAGRDSL,SEA1N,2030,14.6596
REGION1,DEMAGRDSL,SEA1N,2031,13.9263
REGION1,DEMAGRDSL,SEA1N,2032,13.1929
REGION1,DEMAGRDSL,SEA1N,2033,12.4606
REGION1,DEMAGRDSL,SEA1N,2034,11.7273
REGION1,DEMAGRDSL,SEA1N,2035,10.9949
REGION1,DEMAGRDSL,SEA1N,2036,10.2616
REGION1,DEMAGRDSL,SEA1N,2037,9.5293
REGION1,DEMAGRDSL,SEA1N,2038,8.796
REGION1,DEMAGRDSL,SEA1N,2039,8.0626
REGION1,DEMAGRDSL,SEA1N,2040,7.3303
REGION1,DEMAGRDSL,SEA1N,2041,6.597
REGION1,DEMAGRDSL,SEA1N,2042,5.8646
REGION1,DEMAGRDSL,SEA1N,2043,5.1313
REGION1,DEMAGRDSL,SEA1N,2044,4.398
REGION1,DEMAGRDSL,SEA1N,2045,3.6657
REGION1,DEMAGRDSL,SEA1N,2046,2.9323
REGION1,DEMAGRDSL,SEA1N,2047,2.2
REGION1,DEMAGRDSL,SEA1N,2048,1.4667
REGION1,DEMAGRDSL,SEA1N,2049,0.7343
REGION1,DEMAGRDSL,SEA2D,2020,15.0303
REGION1,DEMAGRDSL,SEA2D,2021,15.7758
REGION1,DEMAGRDSL,SEA2D,2022,16.4313
REGION1,DEMAGRDSL,SEA2D,2023,16.8202
REGION1,DEMAGRDSL,SEA2D,2024,17.7717
REGION1,DEMAGRDSL,SEA2D,2025,18.3242
REGION1,DEMAGRDSL,SEA2D,2026,17.5909
REGION1,DEMAGRDSL,SEA2D,2027,16.8576
REGION1,DEMAGRDSL,SEA2D,2028,16.1253
REGION1,DEMAGRDSL,SEA2D,2029,15.3919
REGION1,DEMAGRDSL,SEA2D,2030,14.6596
REGION1,DEMAGRDSL,SEA2D,2031,13.9263
REGION1,DEMAGRDSL,SEA2D,2032,13.1929
REGION1,DEMAGRDSL,SEA2D,2033,12.4606
REGION1,DEMAGRDSL,SEA2D,2034,11.7273
REGION1,DEMAGRDSL,SEA2D,2035,10.9949
REGION1,DEMAGRDSL,SEA2D,2036,10.2616
REGION1,DEMAGRDSL,SEA2D,2037,9.5293
REGION1,DEMAGRDSL,SEA2D,2038,8.796
REGION1,DEMAGRDSL,SEA2D,2039,8.0626
REGION1,DEMAGRDSL,SEA2D,2040,7.3303
REGION1,DEMAGRDSL,SEA2D,2041,6.597
REGION1,DEMAGRDSL,SEA2D,2042,5.8646
REGION1,DEMAGRDSL,SEA2D,2043,5.1313
REGION1,DEMAGRDSL,SEA2D,2044,4.398
REGION1,DEMAGRDSL,SEA2D,2045,3.6657
REGION1,DEMAGRDSL,SEA2D,2046,2.9323
REGION1,DEMAGRDSL,SEA2D,2047,2.2
REGION1,DEMAGRDSL,SEA2D,2048,1.4667
REGION1,DEMAGRDSL,SEA2D,2049,0.7343
REGION1,DEMAGRDSL,SEA2N,2020,15.0303
REGION1,DEMAGRDSL,SEA2N,2021,15.7758
REGION1,DEMAGRDSL,SEA2N,2022,16.4313
REGION1,DEMAGRDSL,SEA2N,2023,16.8202
REGION1,DEMAGRDSL,SEA2N,2024,17.7717
REGION1,DEMAGRDSL,SEA2N,2025,18.3242
REGION1,DEMAGRDSL,SEA2N,2026,17.5909
REGION1,DEMAGRDSL,SEA2N,2027,16.8576
REGION1,DEMAGRDSL,SEA2N,2028,16.1253
REGION1,DEMAGRDSL,SEA2N,2029,15.3919
REGION1,DEMAGRDSL,SEA2N,2030,14.6596
REGION1,DEMAGRDSL,SEA2N,2031,13.9263
REGION1,DEMAGRDSL,SEA2N,2032,13.1929
REGION1,DEMAGRDSL,SEA2N,2033,12.4606
REGION1,DEMAGRDSL,SEA2N,2034,11.7273
REGION1,DEMAGRDSL,SEA2N,2035,10.9949
REGION1,DEMAGRDSL,SEA2N,2036,10.2616
REGION1,DEMAGRDSL,SEA2N,2037,9.5293
REGION1,DEMAGRDSL,SEA2N,2038,8.796
REGION1,DEMAGRDSL,SEA2N,2039,8.0626
REGION1,DEMAGRDSL,SEA2N,2040,7.3303
REGION1,DEMAGRDSL,SEA2N,2041,6.597
REGION1,DEMAGRDSL,SEA2N,2042,5.8646
REGION1,DEMAGRDSL,SEA2N,2043,5.1313
REGION1,DEMAGRDSL,SEA2N,2044,4.398
REGION1,DEMAGRDSL,SEA2N,2045,3.6657
REGION1,DEMAGRDSL,SEA2N,2046,2.9323
REGION1,DEMAGRDSL,SEA2N,2047,2.2
REGION1,DEMAGRDSL,SEA2N,2048,1.4667
REGION1,DEMAGRDSL,SEA2N,2049,0.7343
REGION1,DEMAGRDSL,SEA3D,2020,15.0303
REGION1,DEMAGRDSL,SEA3D,2021,15.7758
REGION1,DEMAGRDSL,SEA3D,2022,16.4313
REGION1,DEMAGRDSL,SEA3D,2023,16.8202
REGION1,DEMAGRDSL,SEA3D,2024,17.7717
REGION1,DEMAGRDSL,SEA3D,2025,18.3242
REGION1,DEMAGRDSL,SEA3D,2026,17.5909
REGION1,DEMAGRDSL,SEA3D,2027,16.8576
REGION1,DEMAGRDSL,SEA3D,2028,16.1253
REGION1,DEMAGRDSL,SEA3D,2029,15.3919
REGION1,DEMAGRDSL,SEA3D,2030,14.6596
REGION1,DEMAGRDSL,SEA3D,2031,13.9263
REGION1,DEMAGRDSL,SEA3D,2032,13.1929
REGION1,DEMAGRDSL,SEA3D,2033,12.4606
REGION1,DEMAGRDSL,SEA3D,2034,11.7273
REGION1,DEMAGRDSL,SEA3D,2035,10.9949
REGION1,DEMAGRDSL,SEA3D,2036,10.2616
REGION1,DEMAGRDSL,SEA3D,2037,9.5293
REGION1,DEMAGRDSL,SEA3D,2038,8.796
REGION1,DEMAGRDSL,SEA3D,2039,8.0626
REGION1,DEMAGRDSL,SEA3D,2040,7.3303
REGION1,DEMAGRDSL,SEA3D,2041,6.597
REGION1,DEMAGRDSL,SEA3D,2042,5.8646
REGION1,DEMAGRDSL,SEA3D,2043,5.1313
REGION1,DEMAGRDSL,SEA3D,2044,4.398
REGION1,DEMAGRDSL,SEA3D,2045,3.6657
REGION1,DEMAGRDSL,SEA3D,2046,2.9323
REGION1,DEMAGRDSL,SEA3D,2047,2.2
REGION1,DEMAGRDSL,SEA3D,2048,1.4667
REGION1,DEMAGRDSL,SEA3D,2049,0.7343
REGION1,DEMAGRDSL,SEA3N,2020,15.0303
REGION1,DEMAGRDSL,SEA3N,2021,15.7758
REGION1,DEMAGRDSL,SEA3N,2022,16.4313
REGION1,DEMAGRDSL,SEA3N,2023,16.8202
REGION1,DEMAGRDSL,SEA3N,2024,17.7717
REGION1,DEMAGRDSL,SEA3N,2025,18.3242
REGION1,DEMAGRDSL,SEA3N,2026,17.5909
REGION1,DEMAGRDSL,SEA3N,2027,16.8576
REGION1,DEMAGRDSL,SEA3N,2028,16.1253
REGION1,DEMAGRDSL,SEA3N,2029,15.3919
REGION1,DEMAGRDSL,SEA3N,2030,14.6596
REGION1,DEMAGRDSL,SEA3N,2031,13.9263
REGION1,DEMAGRDSL,SEA3N,2032,13.1929
REGION1,DEMAGRDSL,SEA3N,2033,12.4606
REGION1,DEMAGRDSL,SEA3N,2034,11.7273
REGION1,DEMAGRDSL,SEA3N,2035,10.9949
REGION1,DEMAGRDSL,SEA3N,2036,10.2616
REGION1,DEMAGRDSL,SEA3N,2037,9.5293
REGION1,DEMAGRDSL,SEA3N,2038,8.796
REGION1,DEMAGRDSL,SEA3N,2039,8.0626
REGION1,DEMAGRDSL,SEA3N,2040,7.3303
REGION1,DEMAGRDSL,SEA3N,2041,6.597
REGION1,DEMAGRDSL,SEA3N,2042,5.8646
REGION1,DEMAGRDSL,SEA3N,2043,5.1313
REGION1,DEMAGRDSL,SEA3N,2044,4.398
REGION1,DEMAGRDSL,SEA3N,2045,3.6657
REGION1,DEMAGRDSL,SEA3N,2046,2.9323
REGION1,DEMAGRDSL,SEA3N,2047,2.2
REGION1,DEMAGRDSL,SEA3N,2048,1.4667
REGION1,DEMAGRDSL,SEA3N,2049,0.7343
REGION1,DEMAGRDSL,SEA4D,2020,15.0303
REGION1,DEMAGRDSL,SEA4D,2021,15.7758
REGION1,DEMAGRDSL,SEA4D,2022,16.4313
REGION1,DEMAGRDSL,SEA4D,2023,16.8202
REGION1,DEMAGRDSL,SEA4D,2024,17.7717
REGION1,DEMAGRDSL,SEA4D,2025,18.3242
REGION1,DEMAGRDSL,SEA4D,2026,17.5909
REGION1,DEMAGRDSL,SEA4D,2027,16.8576
REGION1,DEMAGRDSL,SEA4D,2028,16.1253
REGION1,DEMAGRDSL,SEA4D,2029,15.3919
REGION1,DEMAGRDSL,SEA4D,2030,14.6596
REGION1,DEMAGRDSL,SEA4D,2031,13.9263
REGION1,DEMAGRDSL,SEA4D,2032,13.1929
REGION1,DEMAGRDSL,SEA4D,2033,12.4606
REGION1,DEMAGRDSL,SEA4D,2034,11.7273
REGION1,DEMAGRDSL,SEA4D,2035,10.9949
REGION1,DEMAGRDSL,SEA4D,2036,10.2616
REGION1,DEMAGRDSL,SEA4D,2037,9.5293
REGION1,DEMAGRDSL,SEA4D,2038,8.796
REGION1,DEMAGRDSL,SEA4D,2039,8.0626
REGION1,DEMAGRDSL,SEA4D,2040,7.3303
REGION1,DEMAGRDSL,SEA4D,2041,6.597
REGION1,DEMAGRDSL,SEA4D,2042,5.8646
REGION1,DEMAGRDSL,SEA4D,2043,5.1313
REGION1,DEMAGRDSL,SEA4D,2044,4.398
REGION1,DEMAGRDSL,SEA4D,2045,3.6657
REGION1,DEMAGRDSL,SEA4D,2046,2.9323
REGION1,DEMAGRDSL,SEA4D,2047,2.2
REGION1,DEMAGRDSL,SEA4D,2048,1.4667
REGION1,DEMAGRDSL,SEA4D,2049,0.7343
REGION1,DEMAGRDSL,SEA4N,2020,15.0303
REGION1,DEMAGRDSL,SEA4N,2021,15.7758
REGION1,DEMAGRDSL,SEA4N,2022,16.4313
REGION1,DEMAGRDSL,SEA4N,2023,16.8202
REGION1,DEMAGRDSL,SEA4N,2024,17.7717
REGION1,DEMAGRDSL,SEA4N,2025,18.3242
