r,l,f,y,Demand
REGION1,SEA1D,COMELCB02,2020,8.55
REGION1,SEA1D,COMELCB02,2021,8.7435
REGION1,SEA1D,COMELCB02,2022,8.904
REGION1,SEA1D,COMELCB02,2023,9.036
REGION1,SEA1D,COMELCB02,2024,9.144
REGION1,SEA1D,COMELCB02,2025,9.2535
REGION1,SEA1D,COMELCB02,2026,9.4245
REGION1,SEA1D,COMELCB02,2027,9.5955
REGION1,SEA1D,COMELCB02,2028,9.7665
REGION1,SEA1D,COMELCB02,2029,9.9375
REGION1,SEA1D,COMELCB02,2030,10.1085
REGION1,SEA1D,COMELCB02,2031,10.2795
REGION1,SEA1D,COMELCB02,2032,10.4505
REGION1,SEA1D,COMELCB02,2033,10.6215
REGION1,SEA1D,COMELCB02,2034,10.7925
REGION1,SEA1D,COMELCB02,2035,10.9635
REGION1,SEA1D,COMELCB02,2036,11.1345
REGION1,SEA1D,COMELCB02,2037,11.3055
REGION1,SEA1D,COMELCB02,2038,11.4765
REGION1,SEA1D,COMELCB02,2039,11.6475
REGION1,SEA1D,COMELCB02,2040,11.8185
REGION1,SEA1D,COMELCB02,2041,11.9895
REGION1,SEA1D,COMELCB02,2042,12.1605
REGION1,SEA1D,COMELCB02,2043,12.3315
REGION1,SEA1D,COMELCB02,2044,12.5025
REGION1,SEA1D,COMELCB02,2045,12.6735
REGION1,SEA1D,COMELCB02,2046,12.8445
REGION1,SEA1D,COMELCB02,2047,13.0155
REGION1,SEA1D,COMELCB02,2048,13.1865
REGION1,SEA1D,COMELCB02,2049,13.3575
REGION1,SEA1D,COMELCB02,2050,13.5285
REGION1,SEA1D,INDELCB02,2020,15.171
REGION1,SEA1D,INDELCB02,2021,15.21
REGION1,SEA1D,INDELCB02,2022,15.2655
REGION1,SEA1D,INDELCB02,2023,15.3525
REGION1,SEA1D,INDELCB02,2024,17.232
REGION1,SEA1D,INDELCB02,2025,17.5485
REGION1,SEA1D,INDELCB02,2026,18.0615
REGION1,SEA1D,INDELCB02,2027,18.0555
REGION1,SEA1D,INDELCB02,2028,17.9865
REGION1,SEA1D,INDELCB02,2029,17.895
REGION1,SEA1D,INDELCB02,2030,18.063
REGION1,SEA1D,INDELCB02,2031,18.327
REGION1,SEA1D,INDELCB02,2032,18.564
REGION1,SEA1D,INDELCB02,2033,18.4815
REGION1,SEA1D,INDELCB02,2034,18.3165
REGION1,SEA1D,INDELCB02,2035,18.177
REGION1,SEA1D,INDELCB02,2036,18.0525
REGION1,SEA1D,INDELCB02,2037,17.9445
REGION1,SEA1D,INDELCB02,2038,17.871
REGION1,SEA1D,INDELCB02,2039,17.799
REGION1,SEA1D,INDELCB02,2040,17.727
REGION1,SEA1D,INDELCB02,2041,17.727
REGION1,SEA1D,INDELCB02,2042,17.661
REGION1,SEA1D,INDELCB02,2043,17.5965
REGION1,SEA1D,INDELCB02,2044,17.5305
REGION1,SEA1D,INDELCB02,2045,17.4645
REGION1,SEA1D,INDELCB02,2046,17.4
REGION1,SEA1D,INDELCB02,2047,17.334
REGION1,SEA1D,INDELCB02,2048,17.268
REGION1,SEA1D,INDELCB02,2049,17.2035
REGION1,SEA1D,INDELCB02,2050,17.1375
REGION1,SEA1D,RESELCB02,2020,11.1705
REGION1,SEA1D,RESELCB02,2021,11.4195
REGION1,SEA1D,RESELCB02,2022,11.6565
REGION1,SEA1D,RESELCB02,2023,11.919
REGION1,SEA1D,RESELCB02,2024,12.1605
REGION1,SEA1D,RESELCB02,2025,12.402
REGION1,SEA1D,RESELCB02,2026,12.594
REGION1,SEA1D,RESELCB02,2027,12.7845
REGION1,SEA1D,RESELCB02,2028,12.9765
REGION1,SEA1D,RESELCB02,2029,13.167
REGION1,SEA1D,RESELCB02,2030,13.359
REGION1,SEA1D,RESELCB02,2031,13.551
REGION1,SEA1D,RESELCB02,2032,13.7415
REGION1,SEA1D,RESELCB02,2033,13.9335
REGION1,SEA1D,RESELCB02,2034,14.124
REGION1,SEA1D,RESELCB02,2035,14.316
REGION1,SEA1D,RESELCB02,2036,14.508
REGION1,SEA1D,RESELCB02,2037,14.6985
REGION1,SEA1D,RESELCB02,2038,14.8905
REGION1,SEA1D,RESELCB02,2039,15.081
REGION1,SEA1D,RESELCB02,2040,15.273
REGION1,SEA1D,RESELCB02,2041,15.4635
REGION1,SEA1D,RESELCB02,2042,15.6555
REGION1,SEA1D,RESELCB02,2043,15.8475
REGION1,SEA1D,RESELCB02,2044,16.038
REGION1,SEA1D,RESELCB02,2045,16.23
REGION1,SEA1D,RESELCB02,2046,16.4205
REGION1,SEA1D,RESELCB02,2047,16.6125
REGION1,SEA1D,RESELCB02,2048,16.8045
REGION1,SEA1D,RESELCB02,2049,16.995
REGION1,SEA1D,RESELCB02,2050,17.187
REGION1,SEA1D,TRAELCB02,2020,0.186
REGION1,SEA1D,TRAELCB02,2021,0.243
REGION1,SEA1D,TRAELCB02,2022,0.312
REGION1,SEA1D,TRAELCB02,2023,0.396
REGION1,SEA1D,TRAELCB02,2024,0.489
REGION1,SEA1D,TRAELCB02,2025,0.609
REGION1,SEA1D,TRAELCB02,2026,1.0305
REGION1,SEA1D,TRAELCB02,2027,1.452
REGION1,SEA1D,TRAELCB02,2028,1.872
REGION1,SEA1D,TRAELCB02,2029,2.2935
REGION1,SEA1D,TRAELCB02,2030,2.715
REGION1,SEA1D,TRAELCB02,2031,3.1365
REGION1,SEA1D,TRAELCB02,2032,3.558
REGION1,SEA1D,TRAELCB02,2033,3.978
REGION1,SEA1D,TRAELCB02,2034,4.3995
REGION1,SEA1D,TRAELCB02,2035,4.821
REGION1,SEA1D,TRAELCB02,2036,5.2425
REGION1,SEA1D,TRAELCB02,2037,5.664
REGION1,SEA1D,TRAELCB02,2038,6.084
REGION1,SEA1D,TRAELCB02,2039,6.5055
REGION1,SEA1D,TRAELCB02,2040,6.927
REGION1,SEA1D,TRAELCB02,2041,7.3485
REGION1,SEA1D,TRAELCB02,2042,7.77
REGION1,SEA1D,TRAELCB02,2043,8.19
REGION1,SEA1D,TRAELCB02,2044,8.6115
REGION1,SEA1D,TRAELCB02,2045,9.033
REGION1,SEA1D,TRAELCB02,2046,9.4545
REGION1,SEA1D,TRAELCB02,2047,9.8745
REGION1,SEA1D,TRAELCB02,2048,10.296
REGION1,SEA1D,TRAELCB02,2049,10.7175
REGION1,SEA1D,TRAELCB02,2050,11.139
REGION1,SEA1N,COMELCB02,2020,4.56
REGION1,SEA1N,COMELCB02,2021,4.6632
REGION1,SEA1N,COMELCB02,2022,4.7488
REGION1,SEA1N,COMELCB02,2023,4.8192
REGION1,SEA1N,COMELCB02,2024,4.8768
REGION1,SEA1N,COMELCB02,2025,4.9352
REGION1,SEA1N,COMELCB02,2026,5.0264
REGION1,SEA1N,COMELCB02,2027,5.1176
REGION1,SEA1N,COMELCB02,2028,5.2088
REGION1,SEA1N,COMELCB02,2029,5.3
REGION1,SEA1N,COMELCB02,2030,5.3912
REGION1,SEA1N,COMELCB02,2031,5.4824
REGION1,SEA1N,COMELCB02,2032,5.5736
REGION1,SEA1N,COMELCB02,2033,5.6648
REGION1,SEA1N,COMELCB02,2034,5.756
REGION1,SEA1N,COMELCB02,2035,5.8472
REGION1,SEA1N,COMELCB02,2036,5.9384
REGION1,SEA1N,COMELCB02,2037,6.0296
REGION1,SEA1N,COMELCB02,2038,6.1208
REGION1,SEA1N,COMELCB02,2039,6.212
REGION1,SEA1N,COMELCB02,2040,6.3032
REGION1,SEA1N,COMELCB02,2041,6.3944
REGION1,SEA1N,COMELCB02,2042,6.4856
REGION1,SEA1N,COMELCB02,2043,6.5768
REGION1,SEA1N,COMELCB02,2044,6.668
REGION1,SEA1N,COMELCB02,2045,6.7592
REGION1,SEA1N,COMELCB02,2046,6.8504
REGION1,SEA1N,COMELCB02,2047,6.9416
REGION1,SEA1N,COMELCB02,2048,7.0328
REGION1,SEA1N,COMELCB02,2049,7.124
REGION1,SEA1N,COMELCB02,2050,7.2152
REGION1,SEA1N,INDELCB02,2020,8.0912
REGION1,SEA1N,INDELCB02,2021,8.112
REGION1,SEA1N,INDELCB02,2022,8.1416
REGION1,SEA1N,INDELCB02,2023,8.188
REGION1,SEA1N,INDELCB02,2024,9.1904
REGION1,SEA1N,INDELCB02,2025,9.3592
REGION1,SEA1N,INDELCB02,2026,9.6328
REGION1,SEA1N,INDELCB02,2027,9.6296
REGION1,SEA1N,INDELCB02,2028,9.5928
REGION1,SEA1N,INDELCB02,2029,9.544
REGION1,SEA1N,INDELCB02,2030,9.6336
REGION1,SEA1N,INDELCB02,2031,9.7744
