REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRNGSB01,2039,17.164916
REGION1,PWRNGSB01,2040,26.395227
REGION1,PWRNGSB01,2041,21.64416
REGION1,PWRNGSB01,2042,26.751866
REGION1,PWRNGSB01,2043,28.178473
REGION1,PWRNGSB01,2044,29.523104
REGION1,PWRNGSB01,2045,30.851882
REGION1,PWRNGSB01,2046,32.080488
REGION1,PWRNGSB01,2047,33.276761
REGION1,PWRNGSB01,2048,34.388927
REGION1,PWRNGSB01,2049,35.476189
REGION1,PWRNGSB01,2050,36.482746
REGION1,PWRWNDB01,2036,1.7951247e-06
REGION1,PWRWNDB01,2041,3.0282577e-06
REGION1,PWRWNDB01,2045,-6.2477635e-05
REGION1,PWRWNDB01,2046,2.5726903e-05
REGION1,PWRWNDB01,2049,3.4795422e-05
REGION1,PWRWNDB02,2045,-1.1894812e-08
REGION1,PWRWNDB03,2031,4.4729785e-07
REGION1,PWRWNDB03,2045,-9.0868889e-06
REGION1,PWRWNDB04,2030,6.219208e-06
REGION1,PWRWNDB04,2045,-6.0615669e-05
REGION1,PWRWNDB04,2047,3.709347e-05
REGION1,PWRWNDB05,2046,-7.6691246e-05
REGION1,PWRWNDB05,2048,3.3783775e-05
REGION1,PWRWNDB05,2050,4.9480095e-05
REGION1,PWRWNDB06,2029,4.264449e-07
REGION1,PWRWNDB06,2045,-1.9148458e-06
REGION1,PWRWNDB07,2037,1.1161798e-05
REGION1,PWRWNDB07,2045,-1.6261506e-05
REGION1,PWRWNDB07,2050,-2.3536497e-07
REGION1,PWRWNDB08,2045,-4.859941e-05
REGION1,PWRWNDB08,2049,5.422578e-05
REGION1,PWRSOLB01,2041,1.2057785e-08
REGION1,PWRGEOB01,2020,-3.6800608e-08
REGION1,PWRGEOB01,2021,1.2416765e-08
REGION1,PWRGEOB01,2025,-5.9335076e-07
REGION1,PWRGEOB01,2026,-5.4231458e-06
REGION1,PWRGEOB01,2027,-1.0773584e-08
REGION1,PWRGEOB01,2029,-6.3492775e-08
REGION1,PWRGEOB01,2030,7.1517615e-06
REGION1,PWRGEOB01,2032,-2.174163e-06
REGION1,PWRGEOB01,2033,-1.1004743e-06
REGION1,PWRGEOB01,2035,-6.4877625e-06
REGION1,PWRGEOB01,2036,-3.9387757e-06
REGION1,PWRGEOB01,2037,-9.0995396e-06
REGION1,PWRGEOB01,2038,2.3954729e-05
REGION1,PWRGEOB01,2039,-6.6417387e-06
REGION1,PWRGEOB01,2041,6.8531971e-06
REGION1,PWRGEOB01,2042,-1.5223911e-08
REGION1,PWRGEOB01,2043,1.5428812e-08
REGION1,PWRGEOB01,2044,-8.8127675e-06
REGION1,PWRGEOB01,2045,-4.7530642e-08
REGION1,PWRGEOB01,2046,9.0561806e-06
REGION1,PWRGEOB01,2047,-1.9518491e-07
REGION1,PWRGEOB01,2049,2.0857123e-07
REGION1,PWRGEOB02,2021,-3.3768282e-07
REGION1,PWRGEOB02,2022,3.6545269e-07
REGION1,PWRGEOB02,2023,-2.4447622e-07
REGION1,PWRGEOB02,2024,-2.4152954e-07
REGION1,PWRGEOB02,2025,5.2755144e-07
REGION1,PWRGEOB02,2026,-1.5856729e-08
REGION1,PWRGEOB02,2028,1.0150215e-08
REGION1,PWRGEOB02,2029,-3.4325829e-05
REGION1,PWRGEOB02,2030,-2.462543e-08
REGION1,PWRGEOB02,2031,2.3926073e-05
REGION1,PWRGEOB02,2032,-2.2900403e-08
REGION1,PWRGEOB02,2033,-1.7124185e-05
REGION1,PWRGEOB02,2034,3.1313331e-05
REGION1,PWRGEOB02,2035,-1.6872514e-05
REGION1,PWRGEOB02,2037,-2.2560178e-06
REGION1,PWRGEOB02,2039,-9.3240661e-06
REGION1,PWRGEOB02,2040,-7.1632997e-06
REGION1,PWRGEOB02,2042,-6.4583112e-06
REGION1,PWRGEOB02,2045,4.539303e-05
REGION1,PWRGEOB02,2047,1.2267656e-06
REGION1,PWRGEOB02,2048,2.5813817e-07
REGION1,PWRGEOB03,2020,-2.0090084e-08
REGION1,PWRGEOB03,2021,2.1825295e-08
REGION1,PWRGEOB03,2024,-5.9736878e-07
REGION1,PWRGEOB03,2025,-4.8911153e-06
REGION1,PWRGEOB03,2026,5.1289554e-06
REGION1,PWRGEOB03,2027,3.8826067e-08
REGION1,PWRGEOB03,2028,-3.345269e-05
REGION1,PWRGEOB03,2029,4.7904761e-06
REGION1,PWRGEOB03,2030,9.2267528e-06
REGION1,PWRGEOB03,2031,2.074845e-05
REGION1,PWRGEOB03,2032,-6.0672664e-06
REGION1,PWRGEOB03,2033,-1.0065455e-05
REGION1,PWRGEOB03,2034,4.8725996e-06
REGION1,PWRGEOB03,2035,1.4709604e-05
REGION1,PWRGEOB03,2036,-5.9076875e-07
REGION1,PWRGEOB03,2037,-2.6516401e-06
REGION1,PWRGEOB03,2038,3.3157869e-06
REGION1,PWRGEOB03,2039,-8.3927107e-06
REGION1,PWRGEOB03,2040,8.5295979e-06
REGION1,PWRGEOB03,2041,-6.6987956e-06
REGION1,PWRGEOB03,2042,4.9688029e-06
REGION1,PWRGEOB03,2043,-1.1638633e-06
REGION1,PWRGEOB03,2044,-2.4394606e-07
REGION1,PWRGEOB03,2045,2.0582667e-07
REGION1,PWRGEOB03,2049,3.2603855e-06
REGION1,PWRGEOB03,2050,-2.141109e-07
REGION1,PWRURNB01,2020,-1.4000639e-08
REGION1,PWRURNB01,2022,-1.432416e-08
REGION1,PWRURNB01,2025,-1.9722722e-06
REGION1,PWRURNB01,2026,2.1704249e-06
REGION1,PWRURNB01,2027,-2.958938e-06
REGION1,PWRURNB01,2031,-6.1273249e-08
REGION1,PWRURNB01,2032,3.7051177e-06
REGION1,PWRURNB01,2033,1.2509211e-07
REGION1,PWRURNB01,2034,-1.8087874e-05
REGION1,PWRURNB01,2035,-2.4232929e-05
REGION1,PWRURNB01,2036,3.4574458e-05
REGION1,PWRURNB01,2037,-4.9541705e-05
REGION1,PWRURNB01,2038,-4.9304148e-06
REGION1,PWRURNB01,2039,6.725138e-05
REGION1,PWRURNB01,2045,-8.2436538e-08
REGION1,PWRURNB01,2049,-3.5447007e-06
REGION1,PWRWNDB09,2027,2.7078461
REGION1,PWRWNDB09,2028,3.7093877
REGION1,PWRWNDB09,2029,5.2549788
REGION1,PWRWNDB09,2030,12.858656
REGION1,PWRWNDB09,2031,17.395066
REGION1,PWRWNDB09,2032,20.203962
REGION1,PWRWNDB09,2033,14.024687
REGION1,PWRWNDB09,2034,8.9170998
REGION1,PWRWNDB09,2035,15.340517
REGION1,PWRWNDB09,2036,13.532754
REGION1,PWRWNDB09,2037,25.166458
REGION1,PWRWNDB09,2038,34.310398
REGION1,PWRWNDB09,2039,32.169248
REGION1,PWRWNDB09,2040,24.6377
REGION1,PWRWNDB09,2041,22.467293
REGION1,PWRWNDB09,2042,24.196859
REGION1,PWRWNDB09,2043,48.278465
REGION1,PWRWNDB09,2044,26.065952
REGION1,PWRWNDB09,2045,553.15291
REGION1,PWRWNDB09,2046,69.506852
REGION1,PWRWNDB09,2047,70.20601
REGION1,PWRWNDB09,2048,75.624158
REGION1,PWRWNDB09,2049,38.252848
REGION1,PWRWNDB09,2050,30.781765
REGION1,PWRWNDB10,2035,-9.1838812e-06
REGION1,PWRWNDB10,2036,9.9771068e-06
REGION1,PWRWNDB10,2049,-5.8605222e-08
REGION1,PWRWNDB11,2029,2.7036831e-06
REGION1,PWRWNDB11,2042,-1.1049368e-05
REGION1,PWRWNDB11,2047,-7.0194575e-06
REGION1,PWRWNDB11,2049,7.3831035e-06
REGION1,PWRBIOB06,2025,-1.0286477e-08
REGION1,PWRBIOB06,2033,-1.979131e-08
REGION1,PWRBIOB06,2035,1.0554442e-08
REGION1,PWRHYDB13,2025,1102.3
REGION1,MINNGS,2020,0.87197379
REGION1,MINNGS,2024,0.0091538814
REGION1,MINNGS,2025,0.054040948
REGION1,MINNGS,2026,0.078870441
REGION1,MINNGS,2027,0.024337106
REGION1,MINNGS,2028,0.0090467699
REGION1,MINNGS,2029,0.0096034015
REGION1,MINNGS,2030,0.045687076
REGION1,MINNGS,2031,0.063389456
REGION1,MINNGS,2032,0.042048237
REGION1,MINNGS,2033,0.0010896501
REGION1,MINNGS,2034,0.0018236348
REGION1,MINNGS,2035,0.0039366679
REGION1,MINNGS,2036,0.0042260934
REGION1,MINNGS,2037,0.0019129891
REGION1,MINNGS,2038,0.0024692451
REGION1,MINNGS,2039,0.0030700553
REGION1,MINNGS,2040,0.003248214
REGION1,MINNGS,2041,0.065641944
REGION1,MINNGS,2042,0.017388679
REGION1,MINNGS,2043,0.017389532
REGION1,MINNGS,2044,0.017390344
REGION1,MINNGS,2045,0.017388892
REGION1,MINNGS,2046,0.017389629
REGION1,MINNGS,2047,0.017392556
REGION1,MINNGS,2048,0.017390998
REGION1,MINNGS,2049,0.01739386
REGION1,MINNGS,2050,0.017394466
REGION1,MINURN,2038,1.7696595e-08
REGION1,MINURN,2039,-1.7716511e-08
REGION1,LNDALFHIBC1,2037,0.60400293
REGION1,LNDALFHIBC1,2038,1.2161308
REGION1,LNDALFHIBC1,2039,1.727152
REGION1,LNDALFHIBC1,2040,2.2487972
REGION1,LNDALFHIBC1,2041,2.8319067
REGION1,LNDALFHIBC1,2042,3.3197467
REGION1,LNDALFHIBC1,2043,121.46794
REGION1,LNDALFHIBC1,2044,4.0991506
REGION1,LNDALFHIBC1,2045,4.6486658
REGION1,LNDALFHIBC1,2046,4.8970211
REGION1,LNDALFHIBC1,2047,5.2681702
REGION1,LNDALFHIBC1,2048,5.7968181
REGION1,LNDALFHIBC1,2049,6.1431972
REGION1,LNDALFHIBC1,2050,6.2775904
REGION1,LNDALFIIBC1,2041,-3.5482953e-05
REGION1,LNDALFIIBC1,2046,-5.9010031e-06
REGION1,LNDALFIIBC1,2050,0.00016470836
REGION1,LNDALFHRBC1,2047,-1.6582899e-05
REGION1,LNDALFHRBC1,2048,-5.1783232e-05
REGION1,LNDALFHRBC1,2050,7.7594073e-05
REGION1,LNDALFIRBC1,2038,-1.0639896e-07
REGION1,LNDALFIRBC1,2041,-3.1405868e-05
REGION1,LNDALFIRBC1,2043,-1.5292602e-05
REGION1,LNDALFIRBC1,2048,-1.8905648e-06
REGION1,LNDALFIRBC1,2050,9.5868215e-05
REGION1,LNDALFLRBC1,2037,-4.0078572e-06
REGION1,LNDALFLRBC1,2038,-7.2833864e-06
REGION1,LNDALFLRBC1,2039,-2.081868e-06
REGION1,LNDALFLRBC1,2044,-2.6969581e-05
REGION1,LNDALFLRBC1,2046,-1.5592314e-05
REGION1,LNDBARHIBC1,2037,3.5113941e-07
REGION1,LNDBARHIBC1,2039,-5.4670755e-05
REGION1,LNDBARHIBC1,2040,-5.4011577e-05
REGION1,LNDBARHIBC1,2041,0.00029667229
REGION1,LNDBARHIBC1,2042,-1.9628715e-05
REGION1,LNDBARHIBC1,2044,1.0508549e-06
REGION1,LNDBARHIBC1,2045,3.0559758e-07
REGION1,LNDBARHIBC1,2046,-5.4306704e-05
REGION1,LNDBARHIBC1,2047,-2.4359867e-05
REGION1,LNDBARHIBC1,2048,-9.8966716e-06
REGION1,LNDBARHIBC1,2050,0.00012952943
REGION1,LNDBARIIBC1,2037,-7.2660226e-07
REGION1,LNDBARIIBC1,2038,-6.0194639e-06
REGION1,LNDBARIIBC1,2039,-5.1291433e-05
REGION1,LNDBARIIBC1,2040,-2.5864941e-05
REGION1,LNDBARIIBC1,2044,-1.4372774e-05
REGION1,LNDBARIIBC1,2045,1.2223934e-06
REGION1,LNDBARIIBC1,2049,4.3125312e-05
REGION1,LNDBARIIBC1,2050,0.00041314817
REGION1,LNDBARHRBC1,2037,0.0057193353
REGION1,LNDBARHRBC1,2038,0.011154963
REGION1,LNDBARHRBC1,2039,0.024415127
REGION1,LNDBARHRBC1,2040,0.021387636
REGION1,LNDBARHRBC1,2041,0.02580112
REGION1,LNDBARHRBC1,2042,0.030493532
REGION1,LNDBARHRBC1,2043,0.034630518
REGION1,LNDBARHRBC1,2044,0.25638721
REGION1,LNDBARHRBC1,2045,0.34791633
REGION1,LNDBARHRBC1,2046,0.35498442
REGION1,LNDBARHRBC1,2047,0.38150908
REGION1,LNDBARHRBC1,2048,0.40742824
REGION1,LNDBARHRBC1,2049,0.43160159
REGION1,LNDBARHRBC1,2050,0.48390616
REGION1,LNDBARIRBC1,2037,-3.7210935e-07
REGION1,LNDBARIRBC1,2038,-4.0495095e-05
REGION1,LNDBARIRBC1,2040,-4.3498206e-05
REGION1,LNDBARIRBC1,2042,-1.3739527e-05
REGION1,LNDBARIRBC1,2043,-5.1845029e-05
REGION1,LNDBARIRBC1,2044,0.000367517
REGION1,LNDBARIRBC1,2045,-1.2641129e-05
REGION1,LNDBARIRBC1,2050,1.8981593e-05
REGION1,LNDBARLRBC1,2038,-4.5437196e-07
REGION1,LNDBARLRBC1,2039,3.4326425e-07
REGION1,LNDBARLRBC1,2040,-3.5748819e-07
REGION1,LNDBARLRBC1,2041,9.4887083e-07
REGION1,LNDBARLRBC1,2042,-2.9164547e-07
REGION1,LNDBARLRBC1,2043,-3.1061457e-07
REGION1,LNDBARLRBC1,2044,-2.9977477e-07
REGION1,LNDBARLRBC1,2045,7.5864718e-07
REGION1,LNDBARLRBC1,2046,3.9216911e-07
REGION1,LNDBARLRBC1,2047,-1.5669833e-07
REGION1,LNDBARLRBC1,2048,6.5789294e-08
REGION1,LNDBARLRBC1,2049,-2.4094027e-08
REGION1,LNDMAIHIBC1,2037,0.4191927
REGION1,LNDMAIHIBC1,2038,0.78468512
REGION1,LNDMAIHIBC1,2039,0.98942376
REGION1,LNDMAIHIBC1,2040,0.56803795
REGION1,LNDMAIHIBC1,2041,3.3324869
REGION1,LNDMAIHIBC1,2042,1.8441403
REGION1,LNDMAIHIBC1,2043,5.6290172
REGION1,LNDMAIHIBC1,2044,4.5369845
REGION1,LNDMAIHIBC1,2045,2.8229341
REGION1,LNDMAIHIBC1,2046,5.9428592
REGION1,LNDMAIHIBC1,2047,2.2495605
REGION1,LNDMAIHIBC1,2048,4.9405444
REGION1,LNDMAIHIBC1,2049,3.0948791
REGION1,LNDMAIHIBC1,2050,123.93272
REGION1,LNDMAIIIBC1,2038,-1.6918022e-05
REGION1,LNDMAIIIBC1,2039,-1.5635751e-05
REGION1,LNDMAIIIBC1,2041,-1.4501776e-05
REGION1,LNDMAIIIBC1,2044,-5.6396008e-05
REGION1,LNDMAIIIBC1,2046,-7.1619719e-06
REGION1,LNDMAIIIBC1,2048,-3.7452942e-05
REGION1,LNDMAIIIBC1,2049,0.00011387411
REGION1,LNDMAIIIBC1,2050,0.00028219235
REGION1,LNDMAIHRBC1,2037,1.1175648e-08
REGION1,LNDMAIHRBC1,2040,-1.3535433e-05
REGION1,LNDMAIHRBC1,2050,7.092868e-05
REGION1,LNDMAIIRBC1,2037,-1.0728949e-05
REGION1,LNDMAIIRBC1,2038,-3.4805338e-06
REGION1,LNDMAIIRBC1,2040,-2.306948e-06
REGION1,LNDMAIIRBC1,2043,-4.6876365e-05
REGION1,LNDMAIIRBC1,2044,-2.894724e-05
REGION1,LNDMAIIRBC1,2045,4.5093884e-06
REGION1,LNDMAIIRBC1,2046,0.00024482208
REGION1,LNDMAIIRBC1,2047,-5.7846126e-05
REGION1,LNDMAIIRBC1,2050,0.00012406879
REGION1,LNDMAILRBC1,2037,2.0006911e-08
REGION1,LNDMAILRBC1,2038,-9.8004884e-06
REGION1,LNDMAILRBC1,2039,-6.8578556e-08
REGION1,LNDMAILRBC1,2040,-1.4418776e-07
REGION1,LNDMAILRBC1,2041,-3.5377724e-05
REGION1,LNDMAILRBC1,2042,-4.6762657e-07
REGION1,LNDMAILRBC1,2043,-2.7535442e-05
REGION1,LNDMAILRBC1,2044,-4.1898798e-05
REGION1,LNDMAILRBC1,2045,-3.0336996e-05
REGION1,LNDMAILRBC1,2046,-1.3007881e-06
REGION1,LNDMAILRBC1,2047,-4.4543569e-07
REGION1,LNDMAILRBC1,2048,1.3230669e-06
REGION1,LNDMAILRBC1,2049,-1.5186874e-06
REGION1,LNDMAILRBC1,2050,0.00028971472
REGION1,LNDOATHIBC1,2037,0.0055701322
REGION1,LNDOATHIBC1,2038,0.010839904
REGION1,LNDOATHIBC1,2039,0.031859571
REGION1,LNDOATHIBC1,2040,0.084770181
REGION1,LNDOATHIBC1,2041,0.22528684
REGION1,LNDOATHIBC1,2042,0.26399929
REGION1,LNDOATHIBC1,2043,0.33484079
REGION1,LNDOATHIBC1,2044,0.3741099
REGION1,LNDOATHIBC1,2045,0.36977527
REGION1,LNDOATHIBC1,2046,0.40160422
REGION1,LNDOATHIBC1,2047,0.52902242
REGION1,LNDOATHIBC1,2048,0.46130578
REGION1,LNDOATHIBC1,2049,0.48815431
REGION1,LNDOATHIBC1,2050,0.57139247
REGION1,LNDOATIIBC1,2037,-8.9286648e-06
REGION1,LNDOATIIBC1,2039,2.6262764e-05
REGION1,LNDOATIIBC1,2041,-2.887531e-05
REGION1,LNDOATIIBC1,2050,6.7703727e-05
REGION1,LNDOATHRBC1,2037,-3.420313e-05
REGION1,LNDOATHRBC1,2038,-1.0555768e-05
REGION1,LNDOATHRBC1,2039,3.378539e-06
REGION1,LNDOATHRBC1,2042,-5.7984742e-05
REGION1,LNDOATHRBC1,2044,-2.9747522e-05
REGION1,LNDOATHRBC1,2048,-1.1596899e-05
REGION1,LNDOATHRBC1,2049,-6.3195213e-05
REGION1,LNDOATHRBC1,2050,0.00093438475
REGION1,LNDOATIRBC1,2037,-2.9841166e-06
REGION1,LNDOATIRBC1,2038,-2.9039819e-06
REGION1,LNDOATIRBC1,2039,-4.2533975e-05
REGION1,LNDOATIRBC1,2040,6.0409672e-05
REGION1,LNDOATIRBC1,2041,3.0980196e-06
REGION1,LNDOATIRBC1,2042,-4.3182943e-05
REGION1,LNDOATIRBC1,2043,-2.9652481e-05
REGION1,LNDOATIRBC1,2044,-5.1822038e-05
REGION1,LNDOATIRBC1,2045,-3.4427616e-05
REGION1,LNDOATIRBC1,2050,0.00033096118
REGION1,LNDOATLRBC1,2037,-5.7376755e-08
REGION1,LNDOATLRBC1,2038,1.1064839e-07
REGION1,LNDOATLRBC1,2039,-1.5884293e-07
REGION1,LNDOATLRBC1,2040,2.4248132e-07
REGION1,LNDOATLRBC1,2041,-2.4667753e-07
REGION1,LNDOATLRBC1,2042,2.8394608e-07
REGION1,LNDOATLRBC1,2043,-1.5901541e-06
REGION1,LNDOATLRBC1,2044,8.3716207e-07
REGION1,LNDOATLRBC1,2045,1.685397e-07
REGION1,LNDOATLRBC1,2046,-8.6928217e-07
REGION1,LNDOATLRBC1,2047,1.6143744e-06
REGION1,LNDOATLRBC1,2048,3.6186695e-07
REGION1,LNDOATLRBC1,2049,-1.0499906e-06
REGION1,LNDOATLRBC1,2050,9.4428424e-07
REGION1,LNDOTHHIBC1,2037,-1.0121439e-05
REGION1,LNDOTHHIBC1,2038,-2.2108436e-05
REGION1,LNDOTHHIBC1,2039,-4.1074797e-05
REGION1,LNDOTHHIBC1,2040,-5.6662067e-05
REGION1,LNDOTHHIBC1,2041,-2.9194415e-05
REGION1,LNDOTHHIBC1,2042,-1.7083618e-05
REGION1,LNDOTHHIBC1,2043,-5.8058166e-05
REGION1,LNDOTHHIBC1,2044,-2.7818511e-05
REGION1,LNDOTHHIBC1,2045,-1.27607e-06
REGION1,LNDOTHHIBC1,2047,-1.313618e-06
REGION1,LNDOTHHIBC1,2050,0.00092246578
REGION1,LNDOTHIIBC1,2037,0.17663428
REGION1,LNDOTHIIBC1,2038,0.31517388
REGION1,LNDOTHIIBC1,2039,0.59203397
REGION1,LNDOTHIIBC1,2040,0.43123162
REGION1,LNDOTHIIBC1,2041,0.87207475
REGION1,LNDOTHIIBC1,2042,1.0223633
REGION1,LNDOTHIIBC1,2043,1.5350501
REGION1,LNDOTHIIBC1,2044,1.0955006
REGION1,LNDOTHIIBC1,2045,1.8855551
REGION1,LNDOTHIIBC1,2046,1.8020113
REGION1,LNDOTHIIBC1,2047,1.0100849
REGION1,LNDOTHIIBC1,2048,1.9267449
REGION1,LNDOTHIIBC1,2049,2.0420268
REGION1,LNDOTHIIBC1,2050,36.559188
REGION1,LNDOTHHRBC1,2037,-1.0253923e-06
REGION1,LNDOTHHRBC1,2038,2.9101016e-07
REGION1,LNDOTHHRBC1,2039,-1.0895518e-06
REGION1,LNDOTHHRBC1,2040,3.4857963e-06
REGION1,LNDOTHHRBC1,2041,-1.8359476e-06
REGION1,LNDOTHHRBC1,2042,-6.5677627e-06
REGION1,LNDOTHHRBC1,2043,1.1891892e-05
REGION1,LNDOTHHRBC1,2045,-4.1724669e-06
REGION1,LNDOTHHRBC1,2047,-4.6437908e-06
REGION1,LNDOTHHRBC1,2048,8.4652212e-06
REGION1,LNDOTHHRBC1,2049,3.5090097e-07
REGION1,LNDOTHHRBC1,2050,-2.1645997e-05
