REGION,TECHNOLOGY,VALUE
REGION1,DEMINDDSL,3489.091
REGION1,DEMINDBIO,4734.931
REGION1,DEMINDNGS,10130.34
REGION1,DEMINDELCB02,3317.883
REGION1,DEMRESKER,18.31
REGION1,DEMRESBIO,477.455
REGION1,DEMRESNGS,2966.527
REGION1,DEMRESELCB02,2804.126
REGION1,DEMCOMKER,408.779
REGION1,DEMCOMBIO,22.496
REGION1,DEMCOMNGS,2986.405
REGION1,DEMCOMELCB02,2093.008
REGION1,DEMAGRDSL,764.606
REGION1,DEMAGRELCB02,-1.2101606e-07
REGION1,DEMTRAGSL,3493.473
REGION1,DEMTRADSL,2727.176
REGION1,DEMTRAHFO,263.531
REGION1,DEMTRAJFL,1331.151
REGION1,DEMTRABIO,611.057
REGION1,DEMTRANGS,298.679
REGION1,DEMTRALPG,85.44
REGION1,DEMTRAELCB02,575.649
REGION1,DEMPWRSURBC1,0.13023156
REGION1,DEMPWRWND,10891.672
REGION1,PWRWNDB01,22.26827
REGION1,PWRWNDB02,10.409718
REGION1,PWRWNDB03,30.421389
REGION1,PWRWNDB04,44.733444
REGION1,PWRWNDB05,6.708809
REGION1,PWRWNDB06,21.377687
REGION1,PWRWNDB07,5.4531589
REGION1,PWRWNDB08,5.9708983
REGION1,DEMPWRBIO,12.754637
REGION1,PWRBIOB01,0.23651999
REGION1,PWRBIOB02,1.356187
REGION1,PWRBIOB03,0.5298048
REGION1,PWRBIOB04,1.4833751
REGION1,PWRBIOB05,0.86942436
REGION1,DEMPWRSOL,0.32931869
REGION1,PWRSOLB01,0.11555042
REGION1,DEMPWRHYD,7803.765
REGION1,PWRHYDB01,1453.2115
REGION1,PWRHYDB02,373.97331
REGION1,PWRHYDB03,123.01244
REGION1,PWRHYDB04,362.35924
REGION1,PWRHYDB05,23.228156
REGION1,PWRHYDB06,825.08346
REGION1,PWRHYDB07,18.195389
REGION1,PWRHYDB08,284.54491
REGION1,PWRHYDB09,1027.8459
REGION1,PWRHYDB10,936.09469
REGION1,PWRHYDB11,391.97514
REGION1,PWRHYDB12,394.87865
REGION1,PWRWNDB09,3123.4291
REGION1,PWRWNDB10,3.4111695e-08
REGION1,PWRHYDB13,267.87309
REGION1,IMPJFL,1331.151
REGION1,IMPLPG,85.44
REGION1,IMPGSL,3493.473
REGION1,IMPKER,427.089
REGION1,IMPDSL,6980.873
REGION1,IMPHFO,263.531
REGION1,MINNGS,16381.951
REGION1,RNWWND,10891.672
REGION1,RNWHYD,7803.765
REGION1,RNWBIO,5858.6936
REGION1,RNWSOL,0.32931869
REGION1,EXPNGS,-1.1119536e-07
REGION1,DEMAGRGWTBC1,-4.0314062e-06
REGION1,DEMAGRSURBC1,47.428357
REGION1,DEMPUBSURBC1,31.02
REGION1,MINPRCBC1,20906.735
REGION1,MINLNDBC1,28675.0
REGION1,LNDALFHIBC1,262.07806
REGION1,LNDALFIIBC1,1.0294091
REGION1,LNDALFHRBC1,20.405142
REGION1,LNDALFIRBC1,5.1011121
REGION1,LNDALFLRBC1,173.24561
REGION1,LNDBARHIBC1,0.0032633776
REGION1,LNDBARIIBC1,0.00035829853
REGION1,LNDBARHRBC1,3.5124309
REGION1,LNDBARIRBC1,0.082514765
REGION1,LNDBARLRBC1,-1.963834e-06
REGION1,LNDMAIHIBC1,281.05113
REGION1,LNDMAIIIBC1,0.0021232507
REGION1,LNDMAIHRBC1,0.98585831
REGION1,LNDMAIIRBC1,0.24279267
REGION1,LNDMAILRBC1,0.00082746769
REGION1,LNDOATHIBC1,4.3334161
REGION1,LNDOATIIBC1,0.0021374454
REGION1,LNDOATHRBC1,1.5730692
REGION1,LNDOATIRBC1,0.21383391
REGION1,LNDOATLRBC1,-2.8573761e-06
REGION1,LNDOTHHIBC1,3.046025
REGION1,LNDOTHIIBC1,122.79418
REGION1,LNDOTHHRBC1,-3.9520757e-06
REGION1,LNDOTHIRBC1,-4.0737161e-06
REGION1,LNDOTHLRBC1,-3.3325495e-06
REGION1,LNDPEAHIBC1,4.1295053
REGION1,LNDPEAIIBC1,0.0016765697
REGION1,LNDPEAHRBC1,1.1904689
REGION1,LNDPEAIRBC1,0.17520316
