REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRNGSB01,2039,17.164908
REGION1,PWRNGSB01,2040,26.395226
REGION1,PWRNGSB01,2041,21.644162
REGION1,PWRNGSB01,2042,26.751865
REGION1,PWRNGSB01,2043,28.178474
REGION1,PWRNGSB01,2044,29.523099
REGION1,PWRNGSB01,2045,30.851892
REGION1,PWRNGSB01,2046,32.080492
REGION1,PWRNGSB01,2047,33.276761
REGION1,PWRNGSB01,2048,34.388927
REGION1,PWRNGSB01,2049,35.476189
REGION1,PWRNGSB01,2050,36.482745
REGION1,PWRWNDB01,2045,-1.0906282e-08
REGION1,PWRWNDB02,2030,2.6813057e-08
REGION1,PWRWNDB02,2045,-1.113236e-07
REGION1,PWRWNDB03,2045,-2.122905e-05
REGION1,PWRWNDB03,2048,2.3113914e-05
REGION1,PWRWNDB04,2045,-1.2975075e-08
REGION1,PWRWNDB05,2046,-3.5209657e-05
REGION1,PWRWNDB05,2047,1.2345447e-05
REGION1,PWRWNDB05,2048,2.4323795e-05
REGION1,PWRWNDB05,2050,1.8122751e-07
REGION1,PWRWNDB07,2045,-2.0393198e-05
REGION1,PWRWNDB07,2048,2.2203432e-05
REGION1,PWRWNDB08,2045,-4.9572407e-05
REGION1,PWRWNDB08,2046,5.0100225e-05
REGION1,PWRWNDB08,2050,4.4233641e-08
REGION1,PWRSOLB01,2041,2.414235e-08
REGION1,PWRGEOB01,2020,-1.249825e-08
REGION1,PWRGEOB01,2021,1.3577743e-08
REGION1,PWRGEOB01,2032,-3.1981712e-08
REGION1,PWRGEOB01,2034,3.0484515e-08
REGION1,PWRGEOB01,2035,-1.2702582e-08
REGION1,PWRGEOB01,2036,1.0867374e-08
REGION1,PWRGEOB01,2042,-3.9666723e-08
REGION1,PWRGEOB01,2043,3.3479527e-08
REGION1,PWRGEOB01,2044,2.3776108e-08
REGION1,PWRGEOB02,2036,-2.398778e-08
REGION1,PWRGEOB02,2037,2.0660202e-08
REGION1,PWRGEOB02,2047,-1.7042933e-08
REGION1,PWRGEOB02,2048,1.8594078e-08
REGION1,PWRGEOB02,2050,-3.4573486e-08
REGION1,PWRGEOB03,2031,-1.5086191e-08
REGION1,PWRGEOB03,2032,1.3754885e-08
REGION1,PWRGEOB03,2039,-1.4416625e-08
REGION1,PWRGEOB03,2041,-1.8473127e-08
REGION1,PWRGEOB03,2043,3.0258463e-08
REGION1,PWRGEOB03,2046,-1.6457232e-08
REGION1,PWRGEOB03,2047,1.3608305e-08
REGION1,PWRGEOB03,2049,-3.1697387e-08
REGION1,PWRGEOB03,2050,3.1977659e-08
REGION1,PWRURNB01,2025,-1.4424479e-08
REGION1,PWRURNB01,2027,1.6548948e-08
REGION1,PWRURNB01,2041,-2.4989431e-08
REGION1,PWRURNB01,2042,2.5636792e-08
REGION1,PWRURNB01,2043,-6.3134825e-06
REGION1,PWRURNB01,2044,6.4193079e-06
REGION1,PWRURNB01,2050,-6.4096778e-08
REGION1,PWRWNDB09,2027,2.7078459
REGION1,PWRWNDB09,2028,3.7093896
REGION1,PWRWNDB09,2029,5.2549786
REGION1,PWRWNDB09,2030,12.858659
REGION1,PWRWNDB09,2031,17.395066
REGION1,PWRWNDB09,2032,20.203962
REGION1,PWRWNDB09,2033,14.024688
REGION1,PWRWNDB09,2034,8.9170988
REGION1,PWRWNDB09,2035,15.340517
REGION1,PWRWNDB09,2036,13.532753
REGION1,PWRWNDB09,2037,25.166463
REGION1,PWRWNDB09,2038,34.310399
REGION1,PWRWNDB09,2039,32.16925
REGION1,PWRWNDB09,2040,24.637704
REGION1,PWRWNDB09,2041,22.467288
REGION1,PWRWNDB09,2042,24.19685
REGION1,PWRWNDB09,2043,48.278473
REGION1,PWRWNDB09,2044,26.065961
REGION1,PWRWNDB09,2045,553.15286
REGION1,PWRWNDB09,2046,69.506804
REGION1,PWRWNDB09,2047,70.206049
REGION1,PWRWNDB09,2048,75.624126
REGION1,PWRWNDB09,2049,38.253001
REGION1,PWRWNDB09,2050,30.781688
REGION1,PWRWNDB10,2045,-1.1342361e-07
REGION1,PWRWNDB10,2046,-9.3168835e-06
REGION1,PWRWNDB10,2047,9.3530209e-06
REGION1,PWRWNDB10,2048,3.3313674e-07
REGION1,PWRWNDB10,2049,2.7023767e-08
REGION1,PWRWNDB11,2049,-1.7763575e-07
REGION1,PWRWNDB11,2050,-1.3149838e-06
REGION1,PWRHYDB13,2025,1102.3
REGION1,MINNGS,2020,0.87197379
REGION1,MINNGS,2024,0.0091538814
REGION1,MINNGS,2025,0.054040948
REGION1,MINNGS,2026,0.078870441
REGION1,MINNGS,2027,0.024337106
REGION1,MINNGS,2028,0.0090467699
REGION1,MINNGS,2029,0.0096034015
REGION1,MINNGS,2030,0.045687076
REGION1,MINNGS,2031,0.063389456
REGION1,MINNGS,2032,0.042048237
REGION1,MINNGS,2033,0.0010896501
REGION1,MINNGS,2034,0.0018236348
REGION1,MINNGS,2035,0.0039366679
REGION1,MINNGS,2036,0.0042260934
REGION1,MINNGS,2037,0.0019129891
REGION1,MINNGS,2038,0.0024692451
REGION1,MINNGS,2039,0.0030700553
REGION1,MINNGS,2040,0.003248214
REGION1,MINNGS,2041,0.065641944
REGION1,MINNGS,2042,0.017388679
REGION1,MINNGS,2043,0.017389532
REGION1,MINNGS,2044,0.017390344
REGION1,MINNGS,2045,0.017388892
REGION1,MINNGS,2046,0.017389629
REGION1,MINNGS,2047,0.017392556
REGION1,MINNGS,2048,0.017390998
REGION1,MINNGS,2049,0.01739386
REGION1,MINNGS,2050,0.017394466
REGION1,LNDALFHIBC1,2037,0.60397921
REGION1,LNDALFHIBC1,2038,1.2161503
REGION1,LNDALFHIBC1,2039,1.7272594
REGION1,LNDALFHIBC1,2040,2.248813
REGION1,LNDALFHIBC1,2041,2.8316646
REGION1,LNDALFHIBC1,2042,3.319799
REGION1,LNDALFHIBC1,2043,121.46797
REGION1,LNDALFHIBC1,2044,4.0991885
REGION1,LNDALFHIBC1,2045,4.6486687
REGION1,LNDALFHIBC1,2046,4.8970375
REGION1,LNDALFHIBC1,2047,5.2682267
REGION1,LNDALFHIBC1,2048,5.7967689
REGION1,LNDALFHIBC1,2049,6.1432932
REGION1,LNDALFHIBC1,2050,6.2772819
REGION1,LNDALFIIBC1,2037,-1.6488899e-06
REGION1,LNDALFIIBC1,2038,-1.5011456e-05
REGION1,LNDALFIIBC1,2040,-2.0263066e-05
REGION1,LNDALFIIBC1,2044,-2.0256162e-05
REGION1,LNDALFIIBC1,2046,-2.663464e-05
REGION1,LNDALFIIBC1,2047,-5.7601798e-05
REGION1,LNDALFIIBC1,2048,-8.3399251e-06
REGION1,LNDALFIIBC1,2049,-3.9198082e-05
REGION1,LNDALFIIBC1,2050,0.00035561279
REGION1,LNDALFHRBC1,2037,2.6033819e-07
REGION1,LNDALFHRBC1,2050,-8.220605e-06
REGION1,LNDALFIRBC1,2037,6.5207642e-06
REGION1,LNDALFIRBC1,2038,3.026928e-07
REGION1,LNDALFIRBC1,2039,-4.2099382e-05
REGION1,LNDALFIRBC1,2044,-1.5688974e-05
REGION1,LNDALFIRBC1,2047,-9.8491897e-06
REGION1,LNDALFIRBC1,2048,-6.0040221e-07
REGION1,LNDALFIRBC1,2049,-3.2771324e-05
REGION1,LNDALFIRBC1,2050,0.00015460557
REGION1,LNDALFLRBC1,2037,5.7895702e-08
REGION1,LNDALFLRBC1,2040,-2.6472539e-05
REGION1,LNDALFLRBC1,2041,-5.6627765e-06
REGION1,LNDALFLRBC1,2044,-3.2601252e-05
REGION1,LNDALFLRBC1,2046,-3.4413584e-05
REGION1,LNDALFLRBC1,2048,-2.6199134e-05
REGION1,LNDBARHIBC1,2037,-2.5516393e-05
REGION1,LNDBARHIBC1,2038,-4.0157878e-05
REGION1,LNDBARHIBC1,2039,5.8640344e-07
REGION1,LNDBARHIBC1,2041,-1.8440931e-07
REGION1,LNDBARHIBC1,2042,-3.9704839e-07
REGION1,LNDBARHIBC1,2043,-4.3021517e-05
REGION1,LNDBARHIBC1,2050,0.00054502582
REGION1,LNDBARIIBC1,2037,-2.4065684e-05
REGION1,LNDBARIIBC1,2039,-1.400091e-05
REGION1,LNDBARIIBC1,2040,-2.2507026e-06
REGION1,LNDBARIIBC1,2041,-2.8059105e-06
REGION1,LNDBARIIBC1,2042,6.8800869e-05
REGION1,LNDBARIIBC1,2043,-5.4457824e-05
REGION1,LNDBARIIBC1,2045,3.8761719e-05
REGION1,LNDBARIIBC1,2046,-4.7351342e-05
REGION1,LNDBARIIBC1,2047,-1.2023631e-05
REGION1,LNDBARIIBC1,2049,0.00029849432
REGION1,LNDBARIIBC1,2050,0.00019331163
REGION1,LNDBARHRBC1,2037,0.0057187284
REGION1,LNDBARHRBC1,2038,0.01113973
REGION1,LNDBARHRBC1,2039,0.024535584
REGION1,LNDBARHRBC1,2040,0.021291644
REGION1,LNDBARHRBC1,2041,0.025944012
REGION1,LNDBARHRBC1,2042,0.030466996
REGION1,LNDBARHRBC1,2043,0.034615934
REGION1,LNDBARHRBC1,2044,0.25697497
REGION1,LNDBARHRBC1,2045,0.34789606
REGION1,LNDBARHRBC1,2046,0.35500276
REGION1,LNDBARHRBC1,2047,0.38150993
REGION1,LNDBARHRBC1,2048,0.40739296
REGION1,LNDBARHRBC1,2049,0.4313167
REGION1,LNDBARHRBC1,2050,0.48297064
REGION1,LNDBARIRBC1,2038,-2.7001221e-05
REGION1,LNDBARIRBC1,2040,-4.1055377e-05
REGION1,LNDBARIRBC1,2041,-5.3627969e-05
REGION1,LNDBARIRBC1,2044,-3.476259e-05
REGION1,LNDBARIRBC1,2045,-4.6299376e-05
REGION1,LNDBARIRBC1,2047,-1.3644571e-08
REGION1,LNDBARIRBC1,2050,0.00049341376
REGION1,LNDBARLRBC1,2037,-3.4588347e-08
REGION1,LNDBARLRBC1,2038,-1.8410874e-07
REGION1,LNDBARLRBC1,2039,4.4827534e-07
REGION1,LNDBARLRBC1,2040,-2.2203794e-07
