REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2020,2.2545454499999997
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2021,2.3663637
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2022,2.46469695
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2023,2.5230303
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2024,2.66575755
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2025,2.7486363000000003
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2026,2.8433334
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2027,2.9439394500000002
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2028,3.0507576000000003
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2029,3.13999995
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2030,3.2424242999999997
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2031,3.3424241999999995
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2032,3.4404546000000003
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2033,3.5377272
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2034,3.6386363999999998
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2035,3.7366666499999996
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2036,3.83530305
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2037,3.93424245
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2038,4.03348485
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2039,4.13181825
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2040,4.23090915
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2041,4.3296969
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2042,4.4284848
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2043,4.5272727
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2044,4.6262121
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2045,4.725
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2046,4.8237879
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2047,4.9227273
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2048,5.0215152
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2049,5.1203031
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2050,5.21924235
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2035,-3.91066335e-09
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2037,2.39234205e-09
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2038,-2.4562017e-09
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2041,-2.50387575e-09
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2042,4.7571753000000005e-09
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2043,9.6377703e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2029,-5.2166184000000004e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2032,-1.6490545499999998e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2035,-2.0545764e-07
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2036,-1.9556995500000002e-07
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2037,1.382856645e-07
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2038,-1.419769755e-07
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2039,-7.966239449999999e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2041,3.2754236999999996e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2042,8.093215499999999e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2046,-1.277828565e-08
