REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DEMAGRDSL,AGRDSL,2020,14.87999997
REGION1,DEMAGRDSL,AGRDSL,2021,15.618000420000001
REGION1,DEMAGRDSL,AGRDSL,2022,16.26699987
REGION1,DEMAGRDSL,AGRDSL,2023,16.65199998
REGION1,DEMAGRDSL,AGRDSL,2024,17.59399983
REGION1,DEMAGRDSL,AGRDSL,2025,18.140999580000003
REGION1,DEMAGRDSL,AGRDSL,2026,18.766000440000003
REGION1,DEMAGRDSL,AGRDSL,2027,19.430000370000002
REGION1,DEMAGRDSL,AGRDSL,2028,20.13500016
REGION1,DEMAGRDSL,AGRDSL,2029,20.72399967
REGION1,DEMAGRDSL,AGRDSL,2030,21.400000379999998
REGION1,DEMAGRDSL,AGRDSL,2031,22.05999972
REGION1,DEMAGRDSL,AGRDSL,2032,22.707000360000002
REGION1,DEMAGRDSL,AGRDSL,2033,23.34899952
REGION1,DEMAGRDSL,AGRDSL,2034,24.01500024
REGION1,DEMAGRDSL,AGRDSL,2035,24.661999889999997
REGION1,DEMAGRDSL,AGRDSL,2036,25.31300013
REGION1,DEMAGRDSL,AGRDSL,2037,25.96600017
REGION1,DEMAGRDSL,AGRDSL,2038,26.62100001
REGION1,DEMAGRDSL,AGRDSL,2039,27.27000045
REGION1,DEMAGRDSL,AGRDSL,2040,27.924000389999996
REGION1,DEMAGRDSL,AGRDSL,2041,28.575999539999998
REGION1,DEMAGRDSL,AGRDSL,2042,29.22799968
REGION1,DEMAGRDSL,AGRDSL,2043,29.879999820000002
REGION1,DEMAGRDSL,AGRDSL,2044,30.53299986
REGION1,DEMAGRDSL,AGRDSL,2045,31.185
REGION1,DEMAGRDSL,AGRDSL,2046,31.83700014
REGION1,DEMAGRDSL,AGRDSL,2047,32.49000018
REGION1,DEMAGRDSL,AGRDSL,2048,33.14200032
REGION1,DEMAGRDSL,AGRDSL,2049,33.79400046
REGION1,DEMAGRDSL,AGRDSL,2050,34.446999510000005
REGION1,DEMAGRELCB02,AGRELCB02,2022,1.8175800000006967e-12
REGION1,DEMAGRELCB02,AGRELCB02,2027,-7.69344399e-09
REGION1,DEMAGRELCB02,AGRELCB02,2029,-6.57577896e-09
REGION1,DEMAGRELCB02,AGRELCB02,2035,-3.91066335e-09
REGION1,DEMAGRELCB02,AGRELCB02,2036,-7.73846035e-09
REGION1,DEMAGRELCB02,AGRELCB02,2037,-2.7623032700000006e-09
REGION1,DEMAGRELCB02,AGRELCB02,2038,-4.93536897e-09
REGION1,DEMAGRELCB02,AGRELCB02,2039,-8.036170020000001e-09
REGION1,DEMAGRELCB02,AGRELCB02,2040,-6.87601129e-09
REGION1,DEMAGRELCB02,AGRELCB02,2041,-2.1426356200000003e-09
REGION1,DEMAGRELCB02,AGRELCB02,2042,-7.642165439999999e-09
REGION1,DEMAGRELCB02,AGRELCB02,2043,-1.9508868200000004e-09
REGION1,DEMAGRELCB02,AGRELCB02,2044,-8.4467622e-09
REGION1,DEMAGRELCB02,AGRELCB02,2046,1.0463555700000002e-09
REGION1,DEMAGRGWTBC1,AGRWATBC1,2020,-9.959528410000001e-09
REGION1,DEMAGRGWTBC1,AGRWATBC1,2023,-5.732294960000001e-09
REGION1,DEMAGRGWTBC1,AGRWATBC1,2027,-5.062620380000001e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2029,-5.458193514e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2030,-1.4056558859999999e-08
REGION1,DEMAGRGWTBC1,AGRWATBC1,2032,-4.016599999980049e-13
REGION1,DEMAGRGWTBC1,AGRWATBC1,2034,-6.84517626e-08
REGION1,DEMAGRGWTBC1,AGRWATBC1,2035,-2.781266618e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2036,-5.065949394e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2037,-2.853205431e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2038,-4.395463421e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2039,-5.440278593e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2040,-4.3802116530000006e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2041,-8.090085369999998e-08
REGION1,DEMAGRGWTBC1,AGRWATBC1,2042,-5.402936305e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2043,-9.342468640000001e-08
REGION1,DEMAGRGWTBC1,AGRWATBC1,2044,-5.442567527e-07
REGION1,DEMAGRGWTBC1,AGRWATBC1,2046,2.522900000144138e-13
REGION1,DEMAGRGWTBC1,AGRWATBC1,2048,-5.63018239e-08
REGION1,DEMAGRGWTBC1,AGRWATBC1,2049,-4.145000000113623e-13
REGION1,DEMAGRNGS,AGRNGS,2023,1.08632628e-09
REGION1,DEMAGRNGS,AGRNGS,2030,-1.340535905e-08
