REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRNGSB01,2039,77.895032
REGION1,PWRNGSB01,2040,119.78258
REGION1,PWRNGSB01,2041,98.222061
REGION1,PWRNGSB01,2042,121.40102
REGION1,PWRNGSB01,2043,127.87503
REGION1,PWRNGSB01,2044,133.97699
REGION1,PWRNGSB01,2045,140.0071
REGION1,PWRNGSB01,2046,145.58254
REGION1,PWRNGSB01,2047,151.01126
REGION1,PWRNGSB01,2048,156.05831
REGION1,PWRNGSB01,2049,160.99235
REGION1,PWRNGSB01,2050,165.56014
REGION1,PWRWNDB01,2045,-4.949314e-08
REGION1,PWRWNDB02,2030,1.2167871e-07
REGION1,PWRWNDB02,2045,-5.051909e-07
REGION1,PWRWNDB02,2046,2.7172561e-08
REGION1,PWRWNDB03,2045,-9.6338266e-05
REGION1,PWRWNDB03,2048,0.00010489185
REGION1,PWRWNDB04,2045,-5.8881403e-08
REGION1,PWRWNDB05,2046,-0.00015978281
REGION1,PWRWNDB05,2047,5.6024125e-05
REGION1,PWRWNDB05,2048,0.00011038234
REGION1,PWRWNDB05,2050,8.2241761e-07
REGION1,PWRWNDB06,2041,-1.8965501e-08
REGION1,PWRWNDB07,2045,-9.2545136e-05
REGION1,PWRWNDB07,2048,0.00010076005
REGION1,PWRWNDB08,2045,-0.00022496154
REGION1,PWRWNDB08,2046,0.0002273568
REGION1,PWRWNDB08,2050,2.0073401e-07
REGION1,PWRSOLB01,2030,-1.2032331e-08
REGION1,PWRSOLB01,2041,1.0955894e-07
REGION1,PWRSOLB01,2042,-2.3110022e-08
REGION1,PWRGEOB01,2020,-5.6717554e-08
REGION1,PWRGEOB01,2021,6.1616335e-08
REGION1,PWRGEOB01,2023,-2.8553266e-08
REGION1,PWRGEOB01,2024,1.8108321e-08
REGION1,PWRGEOB01,2025,1.3905587e-08
REGION1,PWRGEOB01,2029,-1.8066871e-08
REGION1,PWRGEOB01,2030,-1.8985547e-08
REGION1,PWRGEOB01,2031,2.1128192e-08
REGION1,PWRGEOB01,2032,-1.4513427e-07
REGION1,PWRGEOB01,2034,1.3833993e-07
REGION1,PWRGEOB01,2035,-5.7644821e-08
REGION1,PWRGEOB01,2036,4.9316572e-08
REGION1,PWRGEOB01,2037,2.445518e-08
REGION1,PWRGEOB01,2038,-1.9798591e-08
REGION1,PWRGEOB01,2041,-3.0745958e-08
REGION1,PWRGEOB01,2042,-1.8000915e-07
REGION1,PWRGEOB01,2043,1.5193141e-07
REGION1,PWRGEOB01,2044,1.0789692e-07
REGION1,PWRGEOB01,2045,-1.0990688e-08
REGION1,PWRGEOB01,2046,1.1113736e-08
REGION1,PWRGEOB01,2047,-2.4949836e-08
REGION1,PWRGEOB01,2049,2.5617515e-08
REGION1,PWRGEOB02,2022,1.5021619e-08
REGION1,PWRGEOB02,2023,-1.4183839e-08
REGION1,PWRGEOB02,2027,-1.6244392e-08
REGION1,PWRGEOB02,2029,1.7590418e-08
REGION1,PWRGEOB02,2036,-1.0885749e-07
REGION1,PWRGEOB02,2037,9.3756813e-08
REGION1,PWRGEOB02,2038,1.7594743e-08
REGION1,PWRGEOB02,2047,-7.7341502e-08
REGION1,PWRGEOB02,2048,8.438066e-08
REGION1,PWRGEOB02,2050,-1.5689584e-07
REGION1,PWRGEOB03,2020,-2.902828e-08
REGION1,PWRGEOB03,2021,2.5799856e-08
REGION1,PWRGEOB03,2024,-1.1539871e-08
REGION1,PWRGEOB03,2025,1.216034e-08
REGION1,PWRGEOB03,2027,-2.1101904e-08
REGION1,PWRGEOB03,2031,-6.8461729e-08
REGION1,PWRGEOB03,2032,6.2420209e-08
REGION1,PWRGEOB03,2039,-6.5423213e-08
REGION1,PWRGEOB03,2041,-8.3831781e-08
REGION1,PWRGEOB03,2043,1.373141e-07
REGION1,PWRGEOB03,2044,-1.6982079e-08
REGION1,PWRGEOB03,2045,1.2713531e-08
REGION1,PWRGEOB03,2046,-7.4683567e-08
REGION1,PWRGEOB03,2047,6.1755028e-08
REGION1,PWRGEOB03,2048,1.8466013e-08
REGION1,PWRGEOB03,2049,-1.4384399e-07
REGION1,PWRGEOB03,2050,1.4511588e-07
REGION1,PWRURNB01,2025,-6.5458857e-08
REGION1,PWRURNB01,2027,7.5099778e-08
REGION1,PWRURNB01,2041,-1.1340303e-07
REGION1,PWRURNB01,2042,1.1634078e-07
REGION1,PWRURNB01,2043,-2.8650833e-05
REGION1,PWRURNB01,2044,2.9131073e-05
REGION1,PWRURNB01,2050,-2.9087371e-07
REGION1,PWRWNDB09,2027,12.288312
