r,t,y,CapitalInvestment
"REGION1","DEMINDDSL",2020,1.09555555555556
"REGION1","DEMINDDSL",2021,1.09222222222222
"REGION1","DEMINDDSL",2022,1.08464646464646
"REGION1","DEMINDDSL",2023,1.08030303030303
"REGION1","DEMINDDSL",2024,1.08414141414141
"REGION1","DEMINDDSL",2025,1.09242424242424
"REGION1","DEMINDDSL",2026,1.10555555555556
"REGION1","DEMINDDSL",2027,1.11747474747475
"REGION1","DEMINDDSL",2028,1.12393939393939
"REGION1","DEMINDDSL",2029,1.12414141414141
"REGION1","DEMINDDSL",2030,1.12505050505051
"REGION1","DEMINDDSL",2031,1.12777777777778
"REGION1","DEMINDDSL",2032,1.13252525252525
"REGION1","DEMINDDSL",2033,1.13383838383838
"REGION1","DEMINDDSL",2034,1.13444444444444
"REGION1","DEMINDDSL",2035,1.13575757575758
"REGION1","DEMINDDSL",2036,1.1379797979798
"REGION1","DEMINDDSL",2037,1.14161616161616
"REGION1","DEMINDDSL",2038,1.14676767676768
"REGION1","DEMINDDSL",2039,1.15343434343434
"REGION1","DEMINDDSL",2040,1.16131313131313
"REGION1","DEMINDDSL",2041,1.15763636363636
"REGION1","DEMINDDSL",2042,1.16065656565657
"REGION1","DEMINDDSL",2043,1.16368686868687
"REGION1","DEMINDDSL",2044,1.16670707070707
"REGION1","DEMINDDSL",2045,1.16972727272727
"REGION1","DEMINDDSL",2046,1.17275757575758
"REGION1","DEMINDDSL",2047,1.17577777777778
"REGION1","DEMINDDSL",2048,1.17880808080808
"REGION1","DEMINDDSL",2049,1.18182828282828
"REGION1","DEMINDDSL",2050,1.18484848484849
"REGION1","DEMINDBIO",2020,1.61656565656566
"REGION1","DEMINDBIO",2021,1.62313131313131
"REGION1","DEMINDBIO",2022,1.62747474747475
"REGION1","DEMINDBIO",2023,1.63464646464646
"REGION1","DEMINDBIO",2024,1.64282828282828
"REGION1","DEMINDBIO",2025,1.63777777777778
"REGION1","DEMINDBIO",2026,1.63555555555556
"REGION1","DEMINDBIO",2027,1.63454545454545
"REGION1","DEMINDBIO",2028,1.63313131313131
"REGION1","DEMINDBIO",2029,1.62707070707071
"REGION1","DEMINDBIO",2030,1.61929292929293
"REGION1","DEMINDBIO",2031,1.60929292929293
"REGION1","DEMINDBIO",2032,1.59777777777778
"REGION1","DEMINDBIO",2033,1.58484848484848
"REGION1","DEMINDBIO",2034,1.56959595959596
"REGION1","DEMINDBIO",2035,1.55656565656566
"REGION1","DEMINDBIO",2036,1.54323232323232
"REGION1","DEMINDBIO",2037,1.53
"REGION1","DEMINDBIO",2038,1.51727272727273
"REGION1","DEMINDBIO",2039,1.50525252525253
"REGION1","DEMINDBIO",2040,1.49363636363636
"REGION1","DEMINDBIO",2041,1.48860606060606
"REGION1","DEMINDBIO",2042,1.47754545454545
"REGION1","DEMINDBIO",2043,1.46647474747475
"REGION1","DEMINDBIO",2044,1.45540404040404
"REGION1","DEMINDBIO",2045,1.44434343434343
"REGION1","DEMINDBIO",2046,1.43327272727273
"REGION1","DEMINDBIO",2047,1.42221212121212
"REGION1","DEMINDBIO",2048,1.41114141414141
"REGION1","DEMINDBIO",2049,1.40008080808081
"REGION1","DEMINDBIO",2050,1.3890101010101
"REGION1","DEMINDNGS",2020,2.27131313131313
"REGION1","DEMINDNGS",2021,2.21535353535354
"REGION1","DEMINDNGS",2022,2.16080808080808
"REGION1","DEMINDNGS",2023,2.13767676767677
"REGION1","DEMINDNGS",2024,2.23575757575758
"REGION1","DEMINDNGS",2025,2.45282828282828
"REGION1","DEMINDNGS",2026,2.77909090909091
"REGION1","DEMINDNGS",2027,2.86030303030303
"REGION1","DEMINDNGS",2028,2.87484848484848
"REGION1","DEMINDNGS",2029,2.89454545454545
"REGION1","DEMINDNGS",2030,3.07777777777778
"REGION1","DEMINDNGS",2031,3.3379797979798
"REGION1","DEMINDNGS",2032,3.50030303030303
"REGION1","DEMINDNGS",2033,3.48818181818182
"REGION1","DEMINDNGS",2034,3.47929292929293
"REGION1","DEMINDNGS",2035,3.48090909090909
"REGION1","DEMINDNGS",2036,3.48070707070707
"REGION1","DEMINDNGS",2037,3.47717171717172
