r,l,f,y,Demand
"REGION1","SEA1D","INDDSL",2020,0
"REGION1","SEA1D","INDDSL",2021,0
"REGION1","SEA1D","INDDSL",2022,0
"REGION1","SEA1D","INDDSL",2023,0
"REGION1","SEA1D","INDDSL",2024,0
"REGION1","SEA1D","INDDSL",2025,0
"REGION1","SEA1D","INDDSL",2026,0
"REGION1","SEA1D","INDDSL",2027,0
"REGION1","SEA1D","INDDSL",2028,0
"REGION1","SEA1D","INDDSL",2029,0
"REGION1","SEA1D","INDDSL",2030,0
"REGION1","SEA1D","INDDSL",2031,0
"REGION1","SEA1D","INDDSL",2032,0
"REGION1","SEA1D","INDDSL",2033,0
"REGION1","SEA1D","INDDSL",2034,0
"REGION1","SEA1D","INDDSL",2035,0
"REGION1","SEA1D","INDDSL",2036,0
"REGION1","SEA1D","INDDSL",2037,0
"REGION1","SEA1D","INDDSL",2038,0
"REGION1","SEA1D","INDDSL",2039,0
"REGION1","SEA1D","INDDSL",2040,0
"REGION1","SEA1D","INDDSL",2041,0
"REGION1","SEA1D","INDDSL",2042,0
"REGION1","SEA1D","INDDSL",2043,0
"REGION1","SEA1D","INDDSL",2044,0
"REGION1","SEA1D","INDDSL",2045,0
"REGION1","SEA1D","INDDSL",2046,0
"REGION1","SEA1D","INDDSL",2047,0
"REGION1","SEA1D","INDDSL",2048,0
"REGION1","SEA1D","INDDSL",2049,0
"REGION1","SEA1D","INDDSL",2050,0
"REGION1","SEA1D","DSL",2020,0
"REGION1","SEA1D","DSL",2021,0
"REGION1","SEA1D","DSL",2022,0
"REGION1","SEA1D","DSL",2023,0
"REGION1","SEA1D","DSL",2024,0
"REGION1","SEA1D","DSL",2025,0
"REGION1","SEA1D","DSL",2026,0
"REGION1","SEA1D","DSL",2027,0
"REGION1","SEA1D","DSL",2028,0
"REGION1","SEA1D","DSL",2029,0
"REGION1","SEA1D","DSL",2030,0
"REGION1","SEA1D","DSL",2031,0
"REGION1","SEA1D","DSL",2032,0
"REGION1","SEA1D","DSL",2033,0
"REGION1","SEA1D","DSL",2034,0
"REGION1","SEA1D","DSL",2035,0
"REGION1","SEA1D","DSL",2036,0
"REGION1","SEA1D","DSL",2037,0
"REGION1","SEA1D","DSL",2038,0
"REGION1","SEA1D","DSL",2039,0
"REGION1","SEA1D","DSL",2040,0
"REGION1","SEA1D","DSL",2041,0
"REGION1","SEA1D","DSL",2042,0
"REGION1","SEA1D","DSL",2043,0
"REGION1","SEA1D","DSL",2044,0
"REGION1","SEA1D","DSL",2045,0
"REGION1","SEA1D","DSL",2046,0
"REGION1","SEA1D","DSL",2047,0
"REGION1","SEA1D","DSL",2048,0
"REGION1","SEA1D","DSL",2049,0
"REGION1","SEA1D","DSL",2050,0
"REGION1","SEA1D","INDBIO",2020,0
"REGION1","SEA1D","INDBIO",2021,0
"REGION1","SEA1D","INDBIO",2022,0
"REGION1","SEA1D","INDBIO",2023,0
"REGION1","SEA1D","INDBIO",2024,0
"REGION1","SEA1D","INDBIO",2025,0
"REGION1","SEA1D","INDBIO",2026,0
"REGION1","SEA1D","INDBIO",2027,0
"REGION1","SEA1D","INDBIO",2028,0
"REGION1","SEA1D","INDBIO",2029,0
"REGION1","SEA1D","INDBIO",2030,0
"REGION1","SEA1D","INDBIO",2031,0
"REGION1","SEA1D","INDBIO",2032,0
"REGION1","SEA1D","INDBIO",2033,0
"REGION1","SEA1D","INDBIO",2034,0
"REGION1","SEA1D","INDBIO",2035,0
"REGION1","SEA1D","INDBIO",2036,0
"REGION1","SEA1D","INDBIO",2037,0
"REGION1","SEA1D","INDBIO",2038,0
"REGION1","SEA1D","INDBIO",2039,0
"REGION1","SEA1D","INDBIO",2040,0
"REGION1","SEA1D","INDBIO",2041,0
"REGION1","SEA1D","INDBIO",2042,0
"REGION1","SEA1D","INDBIO",2043,0
"REGION1","SEA1D","INDBIO",2044,0
"REGION1","SEA1D","INDBIO",2045,0
"REGION1","SEA1D","INDBIO",2046,0
"REGION1","SEA1D","INDBIO",2047,0
"REGION1","SEA1D","INDBIO",2048,0
"REGION1","SEA1D","INDBIO",2049,0
"REGION1","SEA1D","INDBIO",2050,0
"REGION1","SEA1D","BIO",2020,0
"REGION1","SEA1D","BIO",2021,0
"REGION1","SEA1D","BIO",2022,0
"REGION1","SEA1D","BIO",2023,0
"REGION1","SEA1D","BIO",2024,0
"REGION1","SEA1D","BIO",2025,0
"REGION1","SEA1D","BIO",2026,0
"REGION1","SEA1D","BIO",2027,0
"REGION1","SEA1D","BIO",2028,0
"REGION1","SEA1D","BIO",2029,0
"REGION1","SEA1D","BIO",2030,0
"REGION1","SEA1D","BIO",2031,0
"REGION1","SEA1D","BIO",2032,0
"REGION1","SEA1D","BIO",2033,0
"REGION1","SEA1D","BIO",2034,0
"REGION1","SEA1D","BIO",2035,0
"REGION1","SEA1D","BIO",2036,0
"REGION1","SEA1D","BIO",2037,0
"REGION1","SEA1D","BIO",2038,0
"REGION1","SEA1D","BIO",2039,0
"REGION1","SEA1D","BIO",2040,0
"REGION1","SEA1D","BIO",2041,0
"REGION1","SEA1D","BIO",2042,0
"REGION1","SEA1D","BIO",2043,0
"REGION1","SEA1D","BIO",2044,0
"REGION1","SEA1D","BIO",2045,0
"REGION1","SEA1D","BIO",2046,0
"REGION1","SEA1D","BIO",2047,0
"REGION1","SEA1D","BIO",2048,0
"REGION1","SEA1D","BIO",2049,0
"REGION1","SEA1D","BIO",2050,0
"REGION1","SEA1D","INDNGS",2020,0
"REGION1","SEA1D","INDNGS",2021,0
"REGION1","SEA1D","INDNGS",2022,0
"REGION1","SEA1D","INDNGS",2023,0
"REGION1","SEA1D","INDNGS",2024,0
"REGION1","SEA1D","INDNGS",2025,0
"REGION1","SEA1D","INDNGS",2026,0
"REGION1","SEA1D","INDNGS",2027,0
"REGION1","SEA1D","INDNGS",2028,0
"REGION1","SEA1D","INDNGS",2029,0
"REGION1","SEA1D","INDNGS",2030,0
"REGION1","SEA1D","INDNGS",2031,0
"REGION1","SEA1D","INDNGS",2032,0
