r,t,y,NewCapacity
"REGION1","DEMINDDSL",2020,109.555555555556
"REGION1","DEMINDDSL",2021,109.222222222222
"REGION1","DEMINDDSL",2022,108.464646464646
"REGION1","DEMINDDSL",2023,108.030303030303
"REGION1","DEMINDDSL",2024,108.414141414141
"REGION1","DEMINDDSL",2025,109.242424242424
"REGION1","DEMINDDSL",2026,110.555555555556
"REGION1","DEMINDDSL",2027,111.747474747475
"REGION1","DEMINDDSL",2028,112.393939393939
"REGION1","DEMINDDSL",2029,112.414141414141
"REGION1","DEMINDDSL",2030,112.505050505051
"REGION1","DEMINDDSL",2031,112.777777777778
"REGION1","DEMINDDSL",2032,113.252525252525
"REGION1","DEMINDDSL",2033,113.383838383838
"REGION1","DEMINDDSL",2034,113.444444444444
"REGION1","DEMINDDSL",2035,113.575757575758
"REGION1","DEMINDDSL",2036,113.79797979798
"REGION1","DEMINDDSL",2037,114.161616161616
"REGION1","DEMINDDSL",2038,114.676767676768
"REGION1","DEMINDDSL",2039,115.343434343434
"REGION1","DEMINDDSL",2040,116.131313131313
"REGION1","DEMINDDSL",2041,115.763636363636
"REGION1","DEMINDDSL",2042,116.065656565657
"REGION1","DEMINDDSL",2043,116.368686868687
"REGION1","DEMINDDSL",2044,116.670707070707
"REGION1","DEMINDDSL",2045,116.972727272727
"REGION1","DEMINDDSL",2046,117.275757575758
"REGION1","DEMINDDSL",2047,117.577777777778
"REGION1","DEMINDDSL",2048,117.880808080808
"REGION1","DEMINDDSL",2049,118.182828282828
"REGION1","DEMINDDSL",2050,118.484848484849
"REGION1","DEMINDBIO",2020,161.656565656566
"REGION1","DEMINDBIO",2021,162.313131313131
"REGION1","DEMINDBIO",2022,162.747474747475
"REGION1","DEMINDBIO",2023,163.464646464646
"REGION1","DEMINDBIO",2024,164.282828282828
"REGION1","DEMINDBIO",2025,163.777777777778
"REGION1","DEMINDBIO",2026,163.555555555556
"REGION1","DEMINDBIO",2027,163.454545454545
"REGION1","DEMINDBIO",2028,163.313131313131
"REGION1","DEMINDBIO",2029,162.707070707071
"REGION1","DEMINDBIO",2030,161.929292929293
"REGION1","DEMINDBIO",2031,160.929292929293
"REGION1","DEMINDBIO",2032,159.777777777778
"REGION1","DEMINDBIO",2033,158.484848484848
"REGION1","DEMINDBIO",2034,156.959595959596
"REGION1","DEMINDBIO",2035,155.656565656566
"REGION1","DEMINDBIO",2036,154.323232323232
"REGION1","DEMINDBIO",2037,153
"REGION1","DEMINDBIO",2038,151.727272727273
"REGION1","DEMINDBIO",2039,150.525252525253
"REGION1","DEMINDBIO",2040,149.363636363636
"REGION1","DEMINDBIO",2041,148.860606060606
"REGION1","DEMINDBIO",2042,147.754545454545
"REGION1","DEMINDBIO",2043,146.647474747475
"REGION1","DEMINDBIO",2044,145.540404040404
"REGION1","DEMINDBIO",2045,144.434343434343
"REGION1","DEMINDBIO",2046,143.327272727273
"REGION1","DEMINDBIO",2047,142.221212121212
"REGION1","DEMINDBIO",2048,141.114141414141
"REGION1","DEMINDBIO",2049,140.008080808081
"REGION1","DEMINDBIO",2050,138.90101010101
"REGION1","DEMINDNGS",2020,227.131313131313
"REGION1","DEMINDNGS",2021,221.535353535354
"REGION1","DEMINDNGS",2022,216.080808080808
"REGION1","DEMINDNGS",2023,213.767676767677
"REGION1","DEMINDNGS",2024,223.575757575758
"REGION1","DEMINDNGS",2025,245.282828282828
"REGION1","DEMINDNGS",2026,277.909090909091
"REGION1","DEMINDNGS",2027,286.030303030303
"REGION1","DEMINDNGS",2028,287.484848484848
"REGION1","DEMINDNGS",2029,289.454545454545
"REGION1","DEMINDNGS",2030,307.777777777778
"REGION1","DEMINDNGS",2031,333.79797979798
"REGION1","DEMINDNGS",2032,350.030303030303
"REGION1","DEMINDNGS",2033,348.818181818182
"REGION1","DEMINDNGS",2034,347.929292929293
"REGION1","DEMINDNGS",2035,348.090909090909
"REGION1","DEMINDNGS",2036,348.070707070707
"REGION1","DEMINDNGS",2037,347.717171717172
"REGION1","DEMINDNGS",2038,347.707070707071
"REGION1","DEMINDNGS",2039,347.969696969697
"REGION1","DEMINDNGS",2040,348.30303030303
"REGION1","DEMINDNGS",2041,371.974747474747
