r,t,l,y,RateOfTotalActivity
"REGION1","DEMINDDSL","SEA1D",2020,109.555555555556
"REGION1","DEMINDDSL","SEA1D",2021,109.222222222222
"REGION1","DEMINDDSL","SEA1D",2022,108.464646464646
"REGION1","DEMINDDSL","SEA1D",2023,108.030303030303
"REGION1","DEMINDDSL","SEA1D",2024,108.414141414141
"REGION1","DEMINDDSL","SEA1D",2025,109.242424242424
"REGION1","DEMINDDSL","SEA1D",2026,110.555555555556
"REGION1","DEMINDDSL","SEA1D",2027,111.747474747475
"REGION1","DEMINDDSL","SEA1D",2028,112.393939393939
"REGION1","DEMINDDSL","SEA1D",2029,112.414141414141
"REGION1","DEMINDDSL","SEA1D",2030,112.50505050505
"REGION1","DEMINDDSL","SEA1D",2031,112.777777777778
"REGION1","DEMINDDSL","SEA1D",2032,113.252525252525
"REGION1","DEMINDDSL","SEA1D",2033,113.383838383838
"REGION1","DEMINDDSL","SEA1D",2034,113.444444444444
"REGION1","DEMINDDSL","SEA1D",2035,113.575757575758
"REGION1","DEMINDDSL","SEA1D",2036,113.79797979798
"REGION1","DEMINDDSL","SEA1D",2037,114.161616161616
"REGION1","DEMINDDSL","SEA1D",2038,114.676767676768
"REGION1","DEMINDDSL","SEA1D",2039,115.343434343434
"REGION1","DEMINDDSL","SEA1D",2040,116.131313131313
"REGION1","DEMINDDSL","SEA1D",2041,115.763636363636
"REGION1","DEMINDDSL","SEA1D",2042,116.065656565657
"REGION1","DEMINDDSL","SEA1D",2043,116.368686868687
"REGION1","DEMINDDSL","SEA1D",2044,116.670707070707
"REGION1","DEMINDDSL","SEA1D",2045,116.972727272727
"REGION1","DEMINDDSL","SEA1D",2046,117.275757575758
"REGION1","DEMINDDSL","SEA1D",2047,117.577777777778
"REGION1","DEMINDDSL","SEA1D",2048,117.880808080808
"REGION1","DEMINDDSL","SEA1D",2049,118.182828282828
"REGION1","DEMINDDSL","SEA1D",2050,118.484848484848
"REGION1","DEMINDDSL","SEA1N",2020,109.555555555556
"REGION1","DEMINDDSL","SEA1N",2021,109.222222222222
"REGION1","DEMINDDSL","SEA1N",2022,108.464646464646
"REGION1","DEMINDDSL","SEA1N",2023,108.030303030303
"REGION1","DEMINDDSL","SEA1N",2024,108.414141414141
"REGION1","DEMINDDSL","SEA1N",2025,109.242424242424
"REGION1","DEMINDDSL","SEA1N",2026,110.555555555556
"REGION1","DEMINDDSL","SEA1N",2027,111.747474747475
"REGION1","DEMINDDSL","SEA1N",2028,112.393939393939
"REGION1","DEMINDDSL","SEA1N",2029,112.414141414141
"REGION1","DEMINDDSL","SEA1N",2030,112.505050505051
"REGION1","DEMINDDSL","SEA1N",2031,112.777777777778
"REGION1","DEMINDDSL","SEA1N",2032,113.252525252525
"REGION1","DEMINDDSL","SEA1N",2033,113.383838383838
