r,t,y,SalvageValue
"REGION1","DEMINDDSL",2020,0
"REGION1","DEMINDDSL",2021,0
"REGION1","DEMINDDSL",2022,0
"REGION1","DEMINDDSL",2023,0
"REGION1","DEMINDDSL",2024,0
"REGION1","DEMINDDSL",2025,0
"REGION1","DEMINDDSL",2026,0
"REGION1","DEMINDDSL",2027,0
"REGION1","DEMINDDSL",2028,0
"REGION1","DEMINDDSL",2029,0
"REGION1","DEMINDDSL",2030,0
"REGION1","DEMINDDSL",2031,0
"REGION1","DEMINDDSL",2032,0
"REGION1","DEMINDDSL",2033,0
"REGION1","DEMINDDSL",2034,0
"REGION1","DEMINDDSL",2035,0
"REGION1","DEMINDDSL",2036,0
"REGION1","DEMINDDSL",2037,0
"REGION1","DEMINDDSL",2038,0
"REGION1","DEMINDDSL",2039,0
"REGION1","DEMINDDSL",2040,0
"REGION1","DEMINDDSL",2041,0
"REGION1","DEMINDDSL",2042,0
"REGION1","DEMINDDSL",2043,0
"REGION1","DEMINDDSL",2044,0
"REGION1","DEMINDDSL",2045,0
"REGION1","DEMINDDSL",2046,0
"REGION1","DEMINDDSL",2047,0
"REGION1","DEMINDDSL",2048,0
"REGION1","DEMINDDSL",2049,0
"REGION1","DEMINDDSL",2050,0
"REGION1","DEMINDBIO",2020,0
"REGION1","DEMINDBIO",2021,0
"REGION1","DEMINDBIO",2022,0
"REGION1","DEMINDBIO",2023,0
"REGION1","DEMINDBIO",2024,0
"REGION1","DEMINDBIO",2025,0
"REGION1","DEMINDBIO",2026,0
"REGION1","DEMINDBIO",2027,0
"REGION1","DEMINDBIO",2028,0
"REGION1","DEMINDBIO",2029,0
"REGION1","DEMINDBIO",2030,0
"REGION1","DEMINDBIO",2031,0
"REGION1","DEMINDBIO",2032,0
"REGION1","DEMINDBIO",2033,0
"REGION1","DEMINDBIO",2034,0
"REGION1","DEMINDBIO",2035,0
"REGION1","DEMINDBIO",2036,0
"REGION1","DEMINDBIO",2037,0
"REGION1","DEMINDBIO",2038,0
"REGION1","DEMINDBIO",2039,0
"REGION1","DEMINDBIO",2040,0
"REGION1","DEMINDBIO",2041,0
"REGION1","DEMINDBIO",2042,0
