r,t,y,TotalTechnologyAnnualActivity
"REGION1","DEMINDDSL",2020,108.46
"REGION1","DEMINDDSL",2021,108.13
"REGION1","DEMINDDSL",2022,107.38
"REGION1","DEMINDDSL",2023,106.95
"REGION1","DEMINDDSL",2024,107.33
"REGION1","DEMINDDSL",2025,108.15
"REGION1","DEMINDDSL",2026,109.45
"REGION1","DEMINDDSL",2027,110.63
"REGION1","DEMINDDSL",2028,111.27
"REGION1","DEMINDDSL",2029,111.29
"REGION1","DEMINDDSL",2030,111.38
"REGION1","DEMINDDSL",2031,111.65
"REGION1","DEMINDDSL",2032,112.12
"REGION1","DEMINDDSL",2033,112.25
"REGION1","DEMINDDSL",2034,112.31
"REGION1","DEMINDDSL",2035,112.44
"REGION1","DEMINDDSL",2036,112.66
"REGION1","DEMINDDSL",2037,113.02
"REGION1","DEMINDDSL",2038,113.53
"REGION1","DEMINDDSL",2039,114.19
"REGION1","DEMINDDSL",2040,114.97
"REGION1","DEMINDDSL",2041,114.606
"REGION1","DEMINDDSL",2042,114.905
"REGION1","DEMINDDSL",2043,115.205
"REGION1","DEMINDDSL",2044,115.504
"REGION1","DEMINDDSL",2045,115.803
"REGION1","DEMINDDSL",2046,116.103
"REGION1","DEMINDDSL",2047,116.402
"REGION1","DEMINDDSL",2048,116.702
"REGION1","DEMINDDSL",2049,117.001
"REGION1","DEMINDDSL",2050,117.3
"REGION1","DEMINDBIO",2020,160.04
"REGION1","DEMINDBIO",2021,160.69
"REGION1","DEMINDBIO",2022,161.12
"REGION1","DEMINDBIO",2023,161.83
"REGION1","DEMINDBIO",2024,162.64
"REGION1","DEMINDBIO",2025,162.14
"REGION1","DEMINDBIO",2026,161.92
"REGION1","DEMINDBIO",2027,161.82
"REGION1","DEMINDBIO",2028,161.68
"REGION1","DEMINDBIO",2029,161.08
"REGION1","DEMINDBIO",2030,160.31
"REGION1","DEMINDBIO",2031,159.32
"REGION1","DEMINDBIO",2032,158.18
"REGION1","DEMINDBIO",2033,156.9
"REGION1","DEMINDBIO",2034,155.39
"REGION1","DEMINDBIO",2035,154.1
"REGION1","DEMINDBIO",2036,152.78
"REGION1","DEMINDBIO",2037,151.47
"REGION1","DEMINDBIO",2038,150.21
"REGION1","DEMINDBIO",2039,149.02
"REGION1","DEMINDBIO",2040,147.87
"REGION1","DEMINDBIO",2041,147.372
"REGION1","DEMINDBIO",2042,146.277
"REGION1","DEMINDBIO",2043,145.181
"REGION1","DEMINDBIO",2044,144.085
"REGION1","DEMINDBIO",2045,142.99
"REGION1","DEMINDBIO",2046,141.894
"REGION1","DEMINDBIO",2047,140.799
"REGION1","DEMINDBIO",2048,139.703
"REGION1","DEMINDBIO",2049,138.608
"REGION1","DEMINDBIO",2050,137.512
"REGION1","DEMINDNGS",2020,224.86
"REGION1","DEMINDNGS",2021,219.32
"REGION1","DEMINDNGS",2022,213.92
"REGION1","DEMINDNGS",2023,211.63
"REGION1","DEMINDNGS",2024,221.34
"REGION1","DEMINDNGS",2025,242.83
"REGION1","DEMINDNGS",2026,275.13
"REGION1","DEMINDNGS",2027,283.17
"REGION1","DEMINDNGS",2028,284.61
"REGION1","DEMINDNGS",2029,286.56
"REGION1","DEMINDNGS",2030,304.7
"REGION1","DEMINDNGS",2031,330.46
"REGION1","DEMINDNGS",2032,346.53
"REGION1","DEMINDNGS",2033,345.33
"REGION1","DEMINDNGS",2034,344.45
"REGION1","DEMINDNGS",2035,344.61
"REGION1","DEMINDNGS",2036,344.59
"REGION1","DEMINDNGS",2037,344.24
"REGION1","DEMINDNGS",2038,344.23
"REGION1","DEMINDNGS",2039,344.49
"REGION1","DEMINDNGS",2040,344.82
"REGION1","DEMINDNGS",2041,368.255
"REGION1","DEMINDNGS",2042,373.721
"REGION1","DEMINDNGS",2043,379.187
"REGION1","DEMINDNGS",2044,384.653
"REGION1","DEMINDNGS",2045,390.119
"REGION1","DEMINDNGS",2046,395.585
"REGION1","DEMINDNGS",2047,401.051
"REGION1","DEMINDNGS",2048,406.517
"REGION1","DEMINDNGS",2049,411.983
"REGION1","DEMINDNGS",2050,417.449
"REGION1","DEMINDELCB02",2020,101.14
"REGION1","DEMINDELCB02",2021,101.4
"REGION1","DEMINDELCB02",2022,101.77
"REGION1","DEMINDELCB02",2023,102.35
"REGION1","DEMINDELCB02",2024,104.08
"REGION1","DEMINDELCB02",2025,106.19
"REGION1","DEMINDELCB02",2026,109.61
"REGION1","DEMINDELCB02",2027,109.57
"REGION1","DEMINDELCB02",2028,109.11
"REGION1","DEMINDELCB02",2029,108.5
"REGION1","DEMINDELCB02",2030,109.62
"REGION1","DEMINDELCB02",2031,111.38
"REGION1","DEMINDELCB02",2032,112.96
"REGION1","DEMINDELCB02",2033,112.41
"REGION1","DEMINDELCB02",2034,111.31
"REGION1","DEMINDELCB02",2035,110.38
"REGION1","DEMINDELCB02",2036,109.55
"REGION1","DEMINDELCB02",2037,108.83
"REGION1","DEMINDELCB02",2038,108.34
"REGION1","DEMINDELCB02",2039,107.86
"REGION1","DEMINDELCB02",2040,107.38
"REGION1","DEMINDELCB02",2041,107.38
"REGION1","DEMINDELCB02",2042,106.943
"REGION1","DEMINDELCB02",2043,106.507
"REGION1","DEMINDELCB02",2044,106.07
"REGION1","DEMINDELCB02",2045,105.633
"REGION1","DEMINDELCB02",2046,105.196
"REGION1","DEMINDELCB02",2047,104.759
"REGION1","DEMINDELCB02",2048,104.322
"REGION1","DEMINDELCB02",2049,103.885
"REGION1","DEMINDELCB02",2050,103.448
"REGION1","DEMRESKER",2020,0.84
"REGION1","DEMRESKER",2021,0.85
"REGION1","DEMRESKER",2022,0.86
"REGION1","DEMRESKER",2023,0.87
"REGION1","DEMRESKER",2024,0.87
"REGION1","DEMRESKER",2025,0.87
"REGION1","DEMRESKER",2026,0.88
"REGION1","DEMRESKER",2027,0.88
"REGION1","DEMRESKER",2028,0.88
"REGION1","DEMRESKER",2029,0.88
"REGION1","DEMRESKER",2030,0.88
"REGION1","DEMRESKER",2031,0.88
"REGION1","DEMRESKER",2032,0.880000000000001
"REGION1","DEMRESKER",2033,0.879999999999999
"REGION1","DEMRESKER",2034,0.88
"REGION1","DEMRESKER",2035,0.88
"REGION1","DEMRESKER",2036,0.88
"REGION1","DEMRESKER",2037,0.87
"REGION1","DEMRESKER",2038,0.87
"REGION1","DEMRESKER",2039,0.87
"REGION1","DEMRESKER",2040,0.86
"REGION1","DEMRESKER",2041,0
"REGION1","DEMRESKER",2042,0
"REGION1","DEMRESKER",2043,0
"REGION1","DEMRESKER",2044,0
"REGION1","DEMRESKER",2045,0
"REGION1","DEMRESKER",2046,0
"REGION1","DEMRESKER",2047,0
"REGION1","DEMRESKER",2048,0
"REGION1","DEMRESKER",2049,0
"REGION1","DEMRESKER",2050,0
"REGION1","DEMRESBIO",2020,12.98
"REGION1","DEMRESBIO",2021,13.23
"REGION1","DEMRESBIO",2022,13.45
"REGION1","DEMRESBIO",2023,13.72
"REGION1","DEMRESBIO",2024,14
"REGION1","DEMRESBIO",2025,14.26
"REGION1","DEMRESBIO",2026,14.51
"REGION1","DEMRESBIO",2027,14.72
"REGION1","DEMRESBIO",2028,14.94
"REGION1","DEMRESBIO",2029,15.14
"REGION1","DEMRESBIO",2030,15.29
"REGION1","DEMRESBIO",2031,15.44
"REGION1","DEMRESBIO",2032,15.59
"REGION1","DEMRESBIO",2033,15.7
"REGION1","DEMRESBIO",2034,15.82
"REGION1","DEMRESBIO",2035,15.91
"REGION1","DEMRESBIO",2036,15.96
"REGION1","DEMRESBIO",2037,15.99
"REGION1","DEMRESBIO",2038,16
"REGION1","DEMRESBIO",2039,15.98
"REGION1","DEMRESBIO",2040,15.96
"REGION1","DEMRESBIO",2041,15.906
"REGION1","DEMRESBIO",2042,15.99
"REGION1","DEMRESBIO",2043,16.075
"REGION1","DEMRESBIO",2044,16.16
"REGION1","DEMRESBIO",2045,16.244
"REGION1","DEMRESBIO",2046,16.329
"REGION1","DEMRESBIO",2047,16.413
"REGION1","DEMRESBIO",2048,16.498
"REGION1","DEMRESBIO",2049,16.583
"REGION1","DEMRESBIO",2050,16.667
"REGION1","DEMRESNGS",2020,81.96
"REGION1","DEMRESNGS",2021,83.29
"REGION1","DEMRESNGS",2022,84.55
"REGION1","DEMRESNGS",2023,86.07
"REGION1","DEMRESNGS",2024,87.65
"REGION1","DEMRESNGS",2025,89.07
"REGION1","DEMRESNGS",2026,90.33
"REGION1","DEMRESNGS",2027,91.4
"REGION1","DEMRESNGS",2028,92.48
"REGION1","DEMRESNGS",2029,93.38
"REGION1","DEMRESNGS",2030,94.07
"REGION1","DEMRESNGS",2031,94.8
"REGION1","DEMRESNGS",2032,95.51
"REGION1","DEMRESNGS",2033,96.01
"REGION1","DEMRESNGS",2034,96.57
"REGION1","DEMRESNGS",2035,96.96
"REGION1","DEMRESNGS",2036,97.2
"REGION1","DEMRESNGS",2037,97.34
"REGION1","DEMRESNGS",2038,97.35
"REGION1","DEMRESNGS",2039,97.29
"REGION1","DEMRESNGS",2040,97.17
"REGION1","DEMRESNGS",2041,99.505
"REGION1","DEMRESNGS",2042,100.195
"REGION1","DEMRESNGS",2043,100.884
"REGION1","DEMRESNGS",2044,101.574
"REGION1","DEMRESNGS",2045,102.263
"REGION1","DEMRESNGS",2046,102.952
"REGION1","DEMRESNGS",2047,103.642
"REGION1","DEMRESNGS",2048,104.331
"REGION1","DEMRESNGS",2049,105.021
"REGION1","DEMRESNGS",2050,105.71
"REGION1","DEMRESELCB02",2020,74.47
"REGION1","DEMRESELCB02",2021,76.13
"REGION1","DEMRESELCB02",2022,77.71
"REGION1","DEMRESELCB02",2023,79.46
"REGION1","DEMRESELCB02",2024,81.07
"REGION1","DEMRESELCB02",2025,82.68
"REGION1","DEMRESELCB02",2026,84.2
"REGION1","DEMRESELCB02",2027,85.56
"REGION1","DEMRESELCB02",2028,86.57
"REGION1","DEMRESELCB02",2029,87.5
"REGION1","DEMRESELCB02",2030,88.43
"REGION1","DEMRESELCB02",2031,89.21
"REGION1","DEMRESELCB02",2032,90
"REGION1","DEMRESELCB02",2033,90.91
