r,t,TotalTechnologyModelPeriodActivity
"REGION1","DEMINDDSL",3489.091
"REGION1","DEMINDBIO",4734.931
"REGION1","DEMINDNGS",10130.34
"REGION1","DEMINDELCB02",3317.883
"REGION1","DEMRESKER",18.31
"REGION1","DEMRESBIO",477.455
"REGION1","DEMRESNGS",2966.527
"REGION1","DEMRESELCB02",2804.126
"REGION1","DEMCOMKER",408.779
"REGION1","DEMCOMBIO",22.496
"REGION1","DEMCOMNGS",2986.405
"REGION1","DEMCOMELCB02",2093.008
"REGION1","DEMAGRDSL",764.606
"REGION1","DEMAGRNGS",0
"REGION1","DEMAGRELCB02",0
"REGION1","DEMTRAGSL",3493.473
"REGION1","DEMTRADSL",2727.176
"REGION1","DEMTRAHFO",263.531
"REGION1","DEMTRAJFL",1331.151
"REGION1","DEMTRABIO",611.057
"REGION1","DEMTRANGS",298.679
"REGION1","DEMTRALPG",85.44
"REGION1","DEMTRAELCB02",575.649
"REGION1","DEMPWRNGS",0
"REGION1","PWRNGSB01",0
"REGION1","DEMPWRSURBC1",0.130231555919999
"REGION1","DEMPWRWND",10891.672353462
"REGION1","PWRWNDB01",22.2682696992
"REGION1","PWRWNDB02",10.40971824
"REGION1","PWRWNDB03",30.421391616
"REGION1","PWRWNDB04",44.7334438752
"REGION1","PWRWNDB05",6.70881096
"REGION1","PWRWNDB06",21.377686752
"REGION1","PWRWNDB07",5.4531609696
"REGION1","PWRWNDB08",5.970900096
"REGION1","DEMPWRBIO",12.7546369199999
"REGION1","PWRBIOB01",0.70956
"REGION1","PWRBIOB02",2.74392065454545
"REGION1","PWRBIOB03",0.378432
"REGION1","PWRBIOB04",0.643398545454523
"REGION1","PWRBIOB05",0
"REGION1","DEMPWRSOL",0.329318716608
"REGION1","PWRSOLB01",0.11555042688
"REGION1","DEMPWRHYD",7803.76496814288
"REGION1","PWRHYDB01",1453.21151976
"REGION1","PWRHYDB02",373.973314176001
"REGION1","PWRHYDB03",123.012443664
"REGION1","PWRHYDB04",362.359236096
"REGION1","PWRHYDB05",23.22815616
"REGION1","PWRHYDB06",825.0834636
"REGION1","PWRHYDB07",18.195388992
"REGION1","PWRHYDB08",284.54491296
"REGION1","PWRHYDB09",1027.84591008
"REGION1","PWRHYDB10",936.094693248
"REGION1","PWRHYDB11",391.9751352
"REGION1","PWRHYDB12",394.87865472
"REGION1","DEMPWRGEO",0
"REGION1","PWRGEOB01",0
"REGION1","PWRGEOB02",0
"REGION1","PWRGEOB03",0
"REGION1","DEMPWRURN",0
"REGION1","PWRURNB01",0
"REGION1","PWRWNDB09",3123.42909630912
"REGION1","PWRWNDB10",0
"REGION1","PWRWNDB11",0
"REGION1","PWRBIOB06",0
"REGION1","PWRHYDB13",267.8730912
"REGION1","IMPCRU",0
"REGION1","IMPCOA",0
"REGION1","IMPJFL",1331.151
"REGION1","IMPLPG",85.44
"REGION1","IMPGSL",3493.473
"REGION1","IMPKER",427.089
"REGION1","IMPDSL",6980.873
"REGION1","IMPHFO",263.531
"REGION1","MINCOA",0
"REGION1","MINNGS",16381.951
"REGION1","MINCRU",0
"REGION1","MINURN",0
"REGION1","RNWWND",10891.672353462
"REGION1","RNWHYD",7803.76496814288
"REGION1","RNWBIO",5858.69363692
"REGION1","RNWSOL",0.329318716608
"REGION1","RNWGEO",0
"REGION1","EXPCRU",0
"REGION1","EXPNGS",0
"REGION1","EXPCOA",0
"REGION1","EXPBIO",0
"REGION1","DEMAGRGWTBC1",0
"REGION1","DEMAGRSURBC1",47.4283670253598
"REGION1","DEMPUBGWTBC1",0
"REGION1","DEMPUBSURBC1",31.02
"REGION1","MINPRCBC1",20906.7352339446
"REGION1","MINLNDBC1",28675
"REGION1","LNDALFHIBC1",262.077799871538
"REGION1","LNDALFIIBC1",1.0296
"REGION1","LNDALFHRBC1",20.4051474
"REGION1","LNDALFIRBC1",5.101272
"REGION1","LNDALFLRBC1",173.245729717021
"REGION1","LNDBARHIBC1",0.0034155
"REGION1","LNDBARIIBC1",0.0006336
"REGION1","LNDBARHRBC1",3.51203911249997
"REGION1","LNDBARIRBC1",0.08263902
"REGION1","LNDBARLRBC1",0
"REGION1","LNDMAIHIBC1",281.050929544737
