REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRNGSB01,2035,7.0790692e-07
REGION1,PWRNGSB01,2039,17.164908
REGION1,PWRNGSB01,2040,26.395226
REGION1,PWRNGSB01,2041,21.644162
REGION1,PWRNGSB01,2042,26.751865
REGION1,PWRNGSB01,2043,28.178473
REGION1,PWRNGSB01,2044,29.5231
REGION1,PWRNGSB01,2045,30.851891
REGION1,PWRNGSB01,2046,32.080492
REGION1,PWRNGSB01,2047,33.276762
REGION1,PWRNGSB01,2048,34.38893
REGION1,PWRNGSB01,2049,35.476189
REGION1,PWRNGSB01,2050,36.482745
REGION1,PWRWNDB01,2039,-4.2606729e-08
REGION1,PWRWNDB01,2041,4.6303473e-08
REGION1,PWRWNDB01,2045,-1.7112816e-08
REGION1,PWRWNDB02,2045,-4.6185452e-05
REGION1,PWRWNDB02,2047,4.8976634e-05
REGION1,PWRWNDB03,2045,-5.8382333e-08
REGION1,PWRWNDB03,2050,4.8312733e-08
REGION1,PWRWNDB04,2045,-3.8114649e-06
REGION1,PWRWNDB04,2046,3.9078358e-06
REGION1,PWRWNDB05,2045,2.2508709e-08
REGION1,PWRWNDB05,2046,-5.0484295e-08
REGION1,PWRWNDB06,2045,-5.8013242e-06
REGION1,PWRWNDB06,2048,-1.5544251e-06
REGION1,PWRWNDB06,2050,8.2351175e-06
REGION1,PWRWNDB07,2045,-5.5112741e-06
REGION1,PWRWNDB07,2046,5.6625831e-06
REGION1,PWRWNDB07,2048,-1.5605103e-08
REGION1,PWRWNDB07,2049,1.9057253e-08
REGION1,PWRWNDB08,2045,-6.6348121e-07
REGION1,PWRWNDB08,2050,7.2308509e-07
REGION1,PWRSOLB01,2041,-1.2916576e-07
REGION1,PWRSOLB01,2044,1.4797808e-07
REGION1,PWRGEOB01,2022,-3.1066455e-08
REGION1,PWRGEOB01,2023,4.1491754e-08
REGION1,PWRGEOB01,2024,-8.7486441e-08
REGION1,PWRGEOB01,2025,9.2190359e-08
REGION1,PWRGEOB01,2036,-1.240511e-07
REGION1,PWRGEOB01,2042,7.736012e-08
REGION1,PWRGEOB01,2043,5.9490014e-08
REGION1,PWRGEOB01,2047,-1.2832382e-06
REGION1,PWRGEOB01,2048,-4.4667434e-06
REGION1,PWRGEOB01,2049,1.7972646e-06
REGION1,PWRGEOB01,2050,-2.8719093e-07
REGION1,PWRGEOB02,2022,-1.2338405e-07
REGION1,PWRGEOB02,2023,1.1802517e-07
REGION1,PWRGEOB02,2025,1.7492771e-08
REGION1,PWRGEOB02,2027,-2.4010292e-08
REGION1,PWRGEOB02,2028,-1.3072891e-08
REGION1,PWRGEOB02,2029,3.4428213e-08
REGION1,PWRGEOB02,2030,-1.9343822e-08
REGION1,PWRGEOB02,2032,2.3622754e-08
REGION1,PWRGEOB02,2033,-1.4720516e-08
REGION1,PWRGEOB02,2034,1.5723533e-08
REGION1,PWRGEOB02,2045,-1.9388578e-07
REGION1,PWRGEOB02,2047,1.9812378e-07
REGION1,PWRGEOB02,2048,-2.3173995e-06
REGION1,PWRGEOB03,2021,-8.0250033e-08
REGION1,PWRGEOB03,2022,-4.692991e-08
REGION1,PWRGEOB03,2023,1.4218948e-07
REGION1,PWRGEOB03,2026,-4.2702056e-07
REGION1,PWRGEOB03,2029,9.1541569e-08
REGION1,PWRGEOB03,2030,2.197623e-07
REGION1,PWRGEOB03,2032,-2.4493766e-07
REGION1,PWRGEOB03,2033,1.0881069e-07
REGION1,PWRGEOB03,2034,3.4786156e-07
REGION1,PWRGEOB03,2044,-7.0129693e-07
REGION1,PWRGEOB03,2046,-1.3107025e-06
REGION1,PWRGEOB03,2048,-3.043631e-06
REGION1,PWRURNB01,2025,-5.7335986e-08
REGION1,PWRURNB01,2026,2.2757596e-08
REGION1,PWRURNB01,2036,1.1082065e-08
REGION1,PWRURNB01,2037,-1.3164536e-08
REGION1,PWRURNB01,2042,7.4973226e-08
REGION1,PWRWNDB09,2027,2.7078459
REGION1,PWRWNDB09,2028,3.7093895
REGION1,PWRWNDB09,2029,5.2549786
REGION1,PWRWNDB09,2030,12.858659
REGION1,PWRWNDB09,2031,17.395066
REGION1,PWRWNDB09,2032,20.203962
REGION1,PWRWNDB09,2033,14.024688
REGION1,PWRWNDB09,2034,8.9170988
REGION1,PWRWNDB09,2035,15.340517
REGION1,PWRWNDB09,2036,13.532753
